n_features,fold,roc_auc,average_precision,balanced_accuracy,accuracy,f1,precision,recall,sensitivity,specificity,brier_score
1,0,0.788888888888889,0.8305608718766613,0.788888888888889,0.7894736842105263,0.8,0.8,0.8,0.8,0.7777777777777778,0.17973359746342332
1,1,0.6818181818181818,0.8167910306068201,0.7556818181818181,0.7368421052631579,0.7368421052631579,0.875,0.6363636363636364,0.6363636363636364,0.875,0.23719944884617997
1,2,0.6079545454545454,0.7016699143493402,0.6306818181818181,0.631578947368421,0.6666666666666666,0.7,0.6363636363636364,0.6363636363636364,0.625,0.3088911590935808
1,3,0.8579545454545454,0.9122246737219999,0.5795454545454546,0.631578947368421,0.7407407407407407,0.625,0.9090909090909091,0.9090909090909091,0.25,0.22159122807017548
1,4,0.6875,0.7114194139194139,0.525,0.5555555555555556,0.6666666666666666,0.5714285714285714,0.8,0.8,0.25,0.274537037037037
1,5,0.7277777777777777,0.8225720551378446,0.7944444444444444,0.7894736842105263,0.7777777777777778,0.875,0.7,0.7,0.8888888888888888,0.21192623862047216
1,6,0.5511363636363636,0.6862535125693021,0.6136363636363636,0.631578947368421,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.5,0.2957047921392859
1,7,0.8238636363636364,0.8751228866202129,0.8295454545454546,0.8421052631578947,0.8695652173913043,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.75,0.15321653419770986
1,8,0.6647727272727273,0.6917994883903975,0.6420454545454546,0.6842105263157895,0.7692307692307693,0.6666666666666666,0.9090909090909091,0.9090909090909091,0.375,0.24729986956254818
1,9,0.74375,0.8339332399626517,0.7875,0.7777777777777778,0.7777777777777778,0.875,0.7,0.7,0.875,0.21105919874015264
1,10,0.7666666666666667,0.7803588516746411,0.7388888888888889,0.7368421052631579,0.7368421052631579,0.7777777777777778,0.7,0.7,0.7777777777777778,0.20278531466733
1,11,0.5227272727272727,0.714765523434254,0.48863636363636365,0.5263157894736842,0.64,0.5714285714285714,0.7272727272727273,0.7272727272727273,0.25,0.33559829485271964
1,12,0.7613636363636364,0.8347632165813984,0.7840909090909092,0.7894736842105263,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.75,0.18829341941550518
1,13,0.7670454545454546,0.8110972360972362,0.6590909090909092,0.6842105263157895,0.75,0.6923076923076923,0.8181818181818182,0.8181818181818182,0.5,0.2204128725344924
1,14,0.6625,0.6776132119514473,0.625,0.6111111111111112,0.5882352941176471,0.7142857142857143,0.5,0.5,0.75,0.26094545250169277
2,0,0.9,0.9332070707070707,0.8444444444444444,0.8421052631578947,0.8421052631578947,0.8888888888888888,0.8,0.8,0.8888888888888888,0.1310897156032922
2,1,0.7159090909090909,0.7802783372302089,0.6477272727272727,0.631578947368421,0.631578947368421,0.75,0.5454545454545454,0.5454545454545454,0.75,0.24277474400259483
2,2,0.7727272727272727,0.8541600111118828,0.5852272727272727,0.5789473684210527,0.6,0.6666666666666666,0.5454545454545454,0.5454545454545454,0.625,0.21916908490026182
2,3,0.7159090909090908,0.838144208732444,0.48863636363636365,0.5263157894736842,0.64,0.5714285714285714,0.7272727272727273,0.7272727272727273,0.25,0.19031330601976199
2,4,0.8625,0.9024281274281274,0.7125,0.7222222222222222,0.7619047619047619,0.7272727272727273,0.8,0.8,0.625,0.16827832431642747
2,5,0.7111111111111111,0.7464285714285714,0.6388888888888888,0.631578947368421,0.5882352941176471,0.7142857142857143,0.5,0.5,0.7777777777777778,0.25653859649122807
2,6,0.6818181818181818,0.783317559633349,0.7045454545454546,0.7368421052631579,0.8,0.7142857142857143,0.9090909090909091,0.9090909090909091,0.5,0.24542865497076025
2,7,0.8409090909090909,0.9118602290851096,0.7840909090909092,0.7894736842105263,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.75,0.1582071881903291
2,8,0.8522727272727273,0.9117105117105118,0.75,0.7894736842105263,0.8461538461538461,0.7333333333333333,1.0,1.0,0.5,0.16246286872705892
2,9,0.6125,0.7255014430014429,0.45,0.4444444444444444,0.4444444444444444,0.5,0.4,0.4,0.5,0.2544870151484223
2,10,0.8,0.8115323565323564,0.6888888888888889,0.6842105263157895,0.6666666666666666,0.75,0.6,0.6,0.7777777777777778,0.1864770889441031
2,11,0.7954545454545454,0.893733777402508,0.7215909090909092,0.7368421052631579,0.782608695652174,0.75,0.8181818181818182,0.8181818181818182,0.625,0.21693577373122588
2,12,0.7613636363636364,0.8538442551600447,0.7386363636363636,0.7368421052631579,0.7619047619047619,0.8,0.7272727272727273,0.7272727272727273,0.75,0.18837543859649122
2,13,0.7045454545454546,0.8019553975436329,0.5965909090909092,0.631578947368421,0.72,0.6428571428571429,0.8181818181818182,0.8181818181818182,0.375,0.24648786263884423
2,14,0.7874999999999999,0.8789529914529913,0.6,0.6111111111111112,0.6666666666666666,0.6363636363636364,0.7,0.7,0.5,0.1790483471396507
3,0,0.9111111111111111,0.9443181818181817,0.788888888888889,0.7894736842105263,0.8,0.8,0.8,0.8,0.7777777777777778,0.12790905891508264
3,1,0.7727272727272727,0.8384627998264362,0.7102272727272727,0.6842105263157895,0.6666666666666666,0.8571428571428571,0.5454545454545454,0.5454545454545454,0.875,0.22884793905561654
3,2,0.75,0.8263569763569765,0.6477272727272727,0.631578947368421,0.631578947368421,0.75,0.5454545454545454,0.5454545454545454,0.75,0.21458982632617288
3,3,0.8181818181818181,0.8944805194805194,0.7045454545454546,0.7368421052631579,0.8,0.7142857142857143,0.9090909090909091,0.9090909090909091,0.5,0.18223095379821588
3,4,0.775,0.8533333333333333,0.5875,0.6111111111111112,0.6956521739130435,0.6153846153846154,0.8,0.8,0.375,0.21498504690198253
3,5,0.6055555555555555,0.693531746031746,0.5333333333333333,0.5263157894736842,0.47058823529411764,0.5714285714285714,0.4,0.4,0.6666666666666666,0.2805900584795321
3,6,0.6647727272727273,0.8014455101142408,0.5511363636363636,0.5789473684210527,0.6666666666666666,0.6153846153846154,0.7272727272727273,0.7272727272727273,0.375,0.26340643274853803
3,7,0.8636363636363636,0.9159011443102352,0.7215909090909092,0.7368421052631579,0.782608695652174,0.75,0.8181818181818182,0.8181818181818182,0.625,0.1751983480266672
3,8,0.7613636363636364,0.8471614541133259,0.5965909090909092,0.631578947368421,0.72,0.6428571428571429,0.8181818181818182,0.8181818181818182,0.375,0.1987540029206852
3,9,0.7375,0.7933225108225107,0.6125,0.6111111111111112,0.631578947368421,0.6666666666666666,0.6,0.6,0.625,0.20684690861400867
3,10,0.9111111111111111,0.8987698412698412,0.8444444444444444,0.8421052631578947,0.8421052631578947,0.8888888888888888,0.8,0.8,0.8888888888888888,0.15808972141498298
3,11,0.7272727272727273,0.8433749257278669,0.5511363636363636,0.5789473684210527,0.6666666666666666,0.6153846153846154,0.7272727272727273,0.7272727272727273,0.375,0.21679452467175694
3,12,0.8522727272727273,0.8872100122100122,0.6761363636363636,0.6842105263157895,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.625,0.15148508543250405
3,13,0.6477272727272727,0.7535121741004094,0.5056818181818181,0.5263157894736842,0.6086956521739131,0.5833333333333334,0.6363636363636364,0.6363636363636364,0.375,0.2592512423633176
3,14,0.85,0.9137626262626262,0.825,0.8333333333333334,0.8571428571428571,0.8181818181818182,0.9,0.9,0.75,0.1613444201921968
4,0,0.9111111111111112,0.9488235294117647,0.8944444444444444,0.8947368421052632,0.9,0.9,0.9,0.9,0.8888888888888888,0.11325086698791297
4,1,0.8181818181818181,0.8880511200029917,0.6931818181818181,0.6842105263157895,0.7,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.75,0.21216687085041064
4,2,0.7272727272727273,0.8336333155851874,0.6931818181818181,0.6842105263157895,0.7,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.75,0.21882622101158977
4,3,0.7840909090909091,0.8644234553325463,0.7215909090909092,0.7368421052631579,0.782608695652174,0.75,0.8181818181818182,0.8181818181818182,0.625,0.18444961289221645
4,4,0.7125,0.8170887445887445,0.55,0.5555555555555556,0.6,0.6,0.6,0.6,0.5,0.2878098982941922
4,5,0.5666666666666667,0.6833757857209869,0.5277777777777778,0.5263157894736842,0.5263157894736842,0.5555555555555556,0.5,0.5,0.5555555555555556,0.26685339396579155
4,6,0.6704545454545454,0.7903938167096063,0.5681818181818181,0.5789473684210527,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5,0.2425148728362996
4,7,0.875,0.9134660793751703,0.7840909090909092,0.7894736842105263,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.75,0.15887480285484726
4,8,0.75,0.8499851455733809,0.6136363636363636,0.631578947368421,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.5,0.19525987157116698
4,9,0.7125,0.7656593406593406,0.6,0.6111111111111112,0.6666666666666666,0.6363636363636364,0.7,0.7,0.5,0.2169320987654321
4,10,0.9555555555555555,0.9622222222222222,0.8944444444444444,0.8947368421052632,0.9,0.9,0.9,0.9,0.8888888888888888,0.14511251287622612
4,11,0.625,0.7749981013138909,0.6136363636363636,0.631578947368421,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.5,0.24941825028876663
4,12,0.8977272727272727,0.9289849039849041,0.8465909090909092,0.8421052631578947,0.8571428571428571,0.9,0.8181818181818182,0.8181818181818182,0.875,0.14189779570797298
4,13,0.6136363636363636,0.7405251611133965,0.6306818181818181,0.631578947368421,0.6666666666666666,0.7,0.6363636363636364,0.6363636363636364,0.625,0.2563532535613829
4,14,0.875,0.9344444444444444,0.8875,0.8888888888888888,0.9,0.9,0.9,0.9,0.875,0.15827175450903877
5,0,0.9111111111111112,0.9488235294117647,0.8388888888888889,0.8421052631578947,0.8571428571428571,0.8181818181818182,0.9,0.9,0.7777777777777778,0.11815556735181776
5,1,0.8636363636363636,0.9056932966023874,0.7102272727272727,0.6842105263157895,0.6666666666666666,0.8571428571428571,0.5454545454545454,0.5454545454545454,0.875,0.18335384400869192
5,2,0.7613636363636364,0.8508379247015612,0.6761363636363636,0.6842105263157895,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.625,0.19819838467960088
5,3,0.9090909090909092,0.9497835497835498,0.7215909090909092,0.7368421052631579,0.782608695652174,0.75,0.8181818181818182,0.8181818181818182,0.625,0.16784328147899852
5,4,0.7,0.8119605394605394,0.6,0.6111111111111112,0.6666666666666666,0.6363636363636364,0.7,0.7,0.5,0.2650459314068938
5,5,0.5777777777777777,0.7101633986928104,0.5777777777777777,0.5789473684210527,0.6,0.6,0.6,0.6,0.5555555555555556,0.28018771929824565
5,6,0.6931818181818182,0.8071289821289822,0.5681818181818181,0.5789473684210527,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5,0.2355391812865497
5,7,0.8977272727272727,0.9135609340154796,0.7670454545454546,0.7894736842105263,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.9090909090909091,0.625,0.13554019097467007
5,8,0.8409090909090909,0.913315850815851,0.6590909090909092,0.6842105263157895,0.75,0.6923076923076923,0.8181818181818182,0.8181818181818182,0.5,0.16153032532188305
5,9,0.8125,0.8604292929292929,0.775,0.7777777777777778,0.8,0.8,0.8,0.8,0.75,0.17148395061728394
5,10,0.9555555555555555,0.9622222222222222,0.8944444444444444,0.8947368421052632,0.9,0.9,0.9,0.9,0.8888888888888888,0.11890877192982457
5,11,0.7840909090909091,0.868519225872167,0.7840909090909092,0.7894736842105263,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.75,0.19011450057436668
5,12,0.9090909090909091,0.9440771349862258,0.8636363636363636,0.8421052631578947,0.8421052631578947,1.0,0.7272727272727273,0.7272727272727273,1.0,0.14231736691002586
5,13,0.6136363636363636,0.7224598930481283,0.5681818181818181,0.5789473684210527,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5,0.2581449333424974
5,14,0.8625,0.9109267040149392,0.8875,0.8888888888888888,0.9,0.9,0.9,0.9,0.875,0.15684554313685065
6,0,0.8444444444444444,0.8951515151515151,0.788888888888889,0.7894736842105263,0.8,0.8,0.8,0.8,0.7777777777777778,0.14029855557229903
6,1,0.8749999999999999,0.916107407150188,0.6647727272727273,0.631578947368421,0.5882352941176471,0.8333333333333334,0.45454545454545453,0.45454545454545453,0.875,0.16851667315967966
6,2,0.7840909090909091,0.8662878787878787,0.6761363636363636,0.6842105263157895,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.625,0.19683872760535207
6,3,0.8977272727272727,0.9339761248852159,0.8295454545454546,0.8421052631578947,0.8695652173913043,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.75,0.15531440357523082
6,4,0.7,0.8108241758241758,0.55,0.5555555555555556,0.6,0.6,0.6,0.6,0.5,0.23961962061144312
6,5,0.6,0.7349253034547152,0.5777777777777777,0.5789473684210527,0.6,0.6,0.6,0.6,0.5555555555555556,0.2535844359180707
6,6,0.7215909090909091,0.805387541751178,0.6761363636363636,0.6842105263157895,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.625,0.21844970760233914
6,7,0.8522727272727273,0.8729732388823299,0.7670454545454546,0.7894736842105263,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.9090909090909091,0.625,0.16197836257309942
6,8,0.8409090909090909,0.9065771349862259,0.6590909090909092,0.6842105263157895,0.75,0.6923076923076923,0.8181818181818182,0.8181818181818182,0.5,0.150096825239474
6,9,0.7625000000000001,0.8215800865800865,0.775,0.7777777777777778,0.8,0.8,0.8,0.8,0.75,0.19203295583435398
6,10,0.9666666666666667,0.9733333333333333,0.8944444444444444,0.8947368421052632,0.9,0.9,0.9,0.9,0.8888888888888888,0.11386523402580317
6,11,0.6931818181818181,0.8277758790916685,0.6931818181818181,0.6842105263157895,0.7,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.75,0.22595089838201327
6,12,0.9090909090909092,0.9430115339206249,0.7215909090909092,0.7368421052631579,0.782608695652174,0.75,0.8181818181818182,0.8181818181818182,0.625,0.12803164729333993
6,13,0.6363636363636365,0.7136838206356922,0.6306818181818181,0.631578947368421,0.6666666666666666,0.7,0.6363636363636364,0.6363636363636364,0.625,0.23893138457421803
6,14,0.875,0.9243181818181818,0.825,0.8333333333333334,0.8571428571428571,0.8181818181818182,0.9,0.9,0.75,0.14296511562118133
7,0,0.8444444444444446,0.9076315789473685,0.7388888888888889,0.7368421052631579,0.7368421052631579,0.7777777777777778,0.7,0.7,0.7777777777777778,0.14568771929824564
7,1,0.875,0.9184458218549127,0.7102272727272727,0.6842105263157895,0.6666666666666666,0.8571428571428571,0.5454545454545454,0.5454545454545454,0.875,0.16353742690058481
7,2,0.8181818181818181,0.8987193362193362,0.7386363636363636,0.7368421052631579,0.7619047619047619,0.8,0.7272727272727273,0.7272727272727273,0.75,0.17299395930053044
7,3,0.8863636363636364,0.9404040404040404,0.8465909090909092,0.8421052631578947,0.8571428571428571,0.9,0.8181818181818182,0.8181818181818182,0.875,0.14445305711305284
7,4,0.7,0.7662554112554112,0.65,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.8,0.8,0.5,0.24355280385620354
7,5,0.6666666666666666,0.7713006356388709,0.5777777777777777,0.5789473684210527,0.6,0.6,0.6,0.6,0.5555555555555556,0.2307122807017544
7,6,0.8181818181818181,0.8925037380919734,0.7386363636363636,0.7368421052631579,0.7619047619047619,0.8,0.7272727272727273,0.7272727272727273,0.75,0.18723508771929823
7,7,0.8409090909090909,0.864134855043946,0.7670454545454546,0.7894736842105263,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.9090909090909091,0.625,0.15650054739529465
7,8,0.8636363636363636,0.9159011443102352,0.7215909090909092,0.7368421052631579,0.782608695652174,0.75,0.8181818181818182,0.8181818181818182,0.625,0.13723323895390785
7,9,0.7625000000000001,0.8180298786181139,0.725,0.7222222222222222,0.7368421052631579,0.7777777777777778,0.7,0.7,0.75,0.21977716049382717
7,10,0.9888888888888888,0.9909090909090909,0.8944444444444444,0.8947368421052632,0.9,0.9,0.9,0.9,0.8888888888888888,0.10235472390555102
7,11,0.6818181818181819,0.823113874429664,0.6931818181818181,0.6842105263157895,0.7,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.75,0.22668830409356724
7,12,0.9147727272727273,0.9456876456876457,0.7840909090909092,0.7894736842105263,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.75,0.13378070175438594
7,13,0.6477272727272727,0.6791198997081349,0.5681818181818181,0.5789473684210527,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5,0.23977446897482477
7,14,0.875,0.9243181818181818,0.825,0.8333333333333334,0.8571428571428571,0.8181818181818182,0.9,0.9,0.75,0.1441795972242462
8,0,0.8666666666666667,0.9276315789473684,0.7333333333333334,0.7368421052631579,0.7619047619047619,0.7272727272727273,0.8,0.8,0.6666666666666666,0.14560350877192982
8,1,0.9090909090909091,0.9505590666018473,0.7727272727272727,0.7368421052631579,0.7058823529411765,1.0,0.5454545454545454,0.5454545454545454,1.0,0.16565818783878464
8,2,0.8295454545454546,0.8933441558441559,0.6761363636363636,0.6842105263157895,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.625,0.17216162349624317
8,3,0.9318181818181818,0.9679144385026739,0.8920454545454546,0.8947368421052632,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.875,0.1353651572233092
8,4,0.675,0.774157509157509,0.5375,0.5555555555555556,0.6363636363636364,0.5833333333333334,0.7,0.7,0.375,0.23536375986770036
8,5,0.6888888888888889,0.802281746031746,0.5777777777777777,0.5789473684210527,0.6,0.6,0.6,0.6,0.5555555555555556,0.22477660818713452
8,6,0.8068181818181818,0.8925185925185926,0.7386363636363636,0.7368421052631579,0.7619047619047619,0.8,0.7272727272727273,0.7272727272727273,0.75,0.17053918128654974
8,7,0.8636363636363636,0.8934083593174502,0.7670454545454546,0.7894736842105263,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.9090909090909091,0.625,0.13825977783933105
8,8,0.8977272727272727,0.9368131868131868,0.7670454545454546,0.7894736842105263,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.9090909090909091,0.625,0.1483871112927437
8,9,0.7875,0.8417063492063492,0.725,0.7222222222222222,0.7368421052631579,0.7777777777777778,0.7,0.7,0.75,0.18628209876543209
8,10,1.0,0.9999999999999999,0.8888888888888888,0.8947368421052632,0.9090909090909091,0.8333333333333334,1.0,1.0,0.7777777777777778,0.09349188738818077
8,11,0.7386363636363635,0.8639868903026799,0.7556818181818181,0.7368421052631579,0.7368421052631579,0.875,0.6363636363636364,0.6363636363636364,0.875,0.20070616316041354
8,12,0.8409090909090909,0.9065771349862259,0.7840909090909092,0.7894736842105263,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.75,0.15557836257309943
8,13,0.6704545454545454,0.7619121075003429,0.5681818181818181,0.5789473684210527,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5,0.2360365375730941
8,14,0.9,0.9488235294117646,0.825,0.8333333333333334,0.8571428571428571,0.8181818181818182,0.9,0.9,0.75,0.12692592592592594
9,0,0.8888888888888888,0.9426315789473684,0.8944444444444444,0.8947368421052632,0.9,0.9,0.9,0.9,0.8888888888888888,0.12854513138557316
9,1,0.9090909090909091,0.936151727060818,0.7556818181818181,0.7368421052631579,0.7368421052631579,0.875,0.6363636363636364,0.6363636363636364,0.875,0.16159946782386989
9,2,0.8409090909090909,0.908065953654189,0.7840909090909092,0.7894736842105263,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.75,0.1675526315789474
9,3,0.9090909090909091,0.9456876456876457,0.7670454545454546,0.7894736842105263,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.9090909090909091,0.625,0.13395796867181742
9,4,0.7125,0.7726190476190475,0.5875,0.6111111111111112,0.6956521739130435,0.6153846153846154,0.8,0.8,0.375,0.21787301892340477
9,5,0.7666666666666667,0.8305984211866564,0.6833333333333333,0.6842105263157895,0.7,0.7,0.7,0.7,0.6666666666666666,0.19747894736842103
9,6,0.875,0.9321969696969697,0.6590909090909092,0.6842105263157895,0.75,0.6923076923076923,0.8181818181818182,0.8181818181818182,0.5,0.14696666666666663
9,7,0.8409090909090909,0.8469020878111788,0.875,0.8947368421052632,0.9166666666666666,0.8461538461538461,1.0,1.0,0.75,0.1374087116394836
9,8,0.8977272727272727,0.9368131868131868,0.7670454545454546,0.7894736842105263,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.9090909090909091,0.625,0.13638845055651985
9,9,0.7687499999999999,0.8322606478488831,0.675,0.6666666666666666,0.6666666666666666,0.75,0.6,0.6,0.75,0.2006895061728395
9,10,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08806526288340268
9,11,0.784090909090909,0.8688721565515825,0.6931818181818181,0.6842105263157895,0.7,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.75,0.18389842481432953
9,12,0.9090909090909092,0.9430115339206249,0.7386363636363636,0.7368421052631579,0.7619047619047619,0.8,0.7272727272727273,0.7272727272727273,0.75,0.147270710102897
9,13,0.6931818181818182,0.7193796399678751,0.5681818181818181,0.5789473684210527,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5,0.22181591455221322
9,14,0.9375,0.9614285714285713,0.7625,0.7777777777777778,0.8181818181818182,0.75,0.9,0.9,0.625,0.12351358024691358
10,0,0.8666666666666667,0.9276315789473685,0.7333333333333334,0.7368421052631579,0.7619047619047619,0.7272727272727273,0.8,0.8,0.6666666666666666,0.14098675115888418
10,1,0.8863636363636364,0.9226124885215794,0.7556818181818181,0.7368421052631579,0.7368421052631579,0.875,0.6363636363636364,0.6363636363636364,0.875,0.16168931211937554
10,2,0.8181818181818182,0.8847614803497157,0.6761363636363636,0.6842105263157895,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.625,0.17187697592671627
10,3,0.9090909090909092,0.9430115339206249,0.7670454545454546,0.7894736842105263,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.9090909090909091,0.625,0.1371081635458651
