n_features,fold,hp_max_depth,hp_max_features,hp_min_samples_leaf,hp_n_estimators
1,0,5.0,sqrt,3,300
1,1,5.0,sqrt,3,300
1,2,,sqrt,3,300
1,3,,sqrt,1,300
1,4,,sqrt,1,300
1,5,5.0,sqrt,3,300
1,6,,sqrt,3,300
1,7,,sqrt,3,300
1,8,,sqrt,3,300
1,9,,sqrt,3,300
1,10,5.0,sqrt,1,300
1,11,5.0,sqrt,1,300
1,12,5.0,sqrt,3,300
1,13,,sqrt,3,300
1,14,,sqrt,3,300
2,0,5.0,sqrt,3,300
2,1,,sqrt,3,300
2,2,,sqrt,3,300
2,3,,sqrt,3,300
2,4,5.0,sqrt,3,300
2,5,,sqrt,1,300
2,6,,sqrt,1,300
2,7,,sqrt,3,300
2,8,,sqrt,3,300
2,9,5.0,sqrt,1,300
2,10,5.0,sqrt,1,300
2,11,5.0,sqrt,1,300
2,12,,sqrt,1,300
2,13,,sqrt,3,300
2,14,5.0,sqrt,3,300
3,0,,sqrt,3,300
3,1,5.0,sqrt,1,300
3,2,,sqrt,3,300
3,3,5.0,sqrt,3,300
3,4,,sqrt,3,300
3,5,,sqrt,1,300
3,6,,sqrt,1,300
3,7,,sqrt,3,300
3,8,5.0,sqrt,1,300
3,9,5.0,sqrt,3,300
3,10,5.0,sqrt,3,300
3,11,,sqrt,3,300
3,12,,sqrt,3,300
3,13,,sqrt,3,300
3,14,,sqrt,3,300
4,0,,0.3,3,300
4,1,,sqrt,3,300
4,2,,0.3,3,300
4,3,5.0,0.3,3,300
4,4,,sqrt,3,300
4,5,5.0,0.3,1,300
4,6,5.0,0.3,3,300
4,7,,0.3,3,300
4,8,,sqrt,3,300
4,9,,0.3,1,300
4,10,,0.3,3,300
4,11,,0.3,3,300
4,12,5.0,0.3,3,300
4,13,,0.3,3,300
4,14,,0.3,3,300
5,0,5.0,0.3,1,300
5,1,,0.3,3,300
5,2,5.0,0.3,3,300
5,3,5.0,0.3,3,300
5,4,,0.3,3,300
5,5,,0.3,1,300
5,6,,sqrt,1,300
5,7,,0.3,3,300
5,8,,0.3,3,300
5,9,,sqrt,1,300
5,10,,0.3,1,300
5,11,5.0,0.3,3,300
5,12,,0.3,3,300
5,13,,0.3,3,300
5,14,,0.3,3,300
6,0,5.0,sqrt,3,300
6,1,,0.3,3,300
6,2,,sqrt,3,300
6,3,5.0,0.3,3,300
6,4,,0.3,3,300
6,5,5.0,sqrt,1,300
6,6,,sqrt,1,300
6,7,,0.3,1,300
6,8,,0.3,3,300
6,9,5.0,0.3,1,300
6,10,,0.3,3,300
6,11,5.0,0.3,1,300
6,12,,0.3,3,300
6,13,,0.3,3,300
6,14,5.0,0.3,1,300
7,0,,sqrt,1,300
7,1,,sqrt,1,300
7,2,,sqrt,3,300
7,3,,sqrt,3,300
7,4,,sqrt,3,300
7,5,,sqrt,1,300
7,6,,sqrt,1,300
7,7,5.0,sqrt,1,300
7,8,5.0,sqrt,3,300
7,9,,sqrt,1,300
7,10,,sqrt,3,300
7,11,,sqrt,1,300
7,12,,sqrt,1,300
7,13,,sqrt,3,300
7,14,5.0,sqrt,1,300
8,0,,sqrt,1,300
8,1,,sqrt,3,300
8,2,5.0,sqrt,1,300
8,3,,sqrt,3,300
8,4,5.0,sqrt,1,300
8,5,,sqrt,1,300
8,6,,sqrt,1,300
8,7,,sqrt,3,300
8,8,5.0,sqrt,1,300
8,9,,sqrt,1,300
8,10,,sqrt,3,300
8,11,,sqrt,3,300
8,12,,sqrt,1,300
8,13,,sqrt,3,300
8,14,,sqrt,1,300
9,0,5.0,0.3,1,300
9,1,,sqrt,3,300
9,2,,0.3,1,300
9,3,,0.3,3,300
9,4,,0.3,3,300
9,5,,0.3,1,300
9,6,,0.3,1,300
9,7,5.0,0.3,3,300
9,8,5.0,0.3,1,300
9,9,,sqrt,1,300
9,10,,0.3,3,300
9,11,5.0,0.3,1,300
9,12,5.0,sqrt,1,300
9,13,,0.3,3,300
9,14,,0.3,1,300
10,0,5.0,sqrt,1,300
10,1,5.0,sqrt,1,300
10,2,,sqrt,3,300
10,3,5.0,sqrt,1,300
10,4,5.0,sqrt,3,300
10,5,5.0,sqrt,1,300
10,6,,sqrt,1,300
10,7,,sqrt,1,300
10,8,,sqrt,3,300
10,9,,sqrt,1,300
10,10,5.0,sqrt,3,300
10,11,5.0,sqrt,3,300
10,12,,sqrt,1,300
