n_features,roc_auc_mean,roc_auc_std,roc_auc_pooled,average_precision_mean,average_precision_std,average_precision_pooled,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_pooled,accuracy_mean,accuracy_std,accuracy_pooled,f1_mean,f1_std,f1_pooled,precision_mean,precision_std,precision_pooled,recall_mean,recall_std,recall_pooled,sensitivity_mean,sensitivity_std,sensitivity_pooled,specificity_mean,specificity_std,specificity_pooled,brier_score_mean,brier_score_std,brier_score_pooled,pooled_youden_balanced_accuracy,pooled_youden_f1,youden_threshold
1,0.7077146464646465,0.09557474435160453,0.7039423224420923,0.7800630084595748,0.07619253132449363,0.7402328959563975,0.6828451178451179,0.1073242282725483,0.6863015799969321,0.6945419103313839,0.0948691966803413,0.6950354609929078,0.7356119408660351,0.07357929621738257,0.7361963190184049,0.7374717874717873,0.1068305666999083,0.718562874251497,0.7527272727272727,0.11556544423324148,0.7547169811320755,0.7527272727272727,0.11556544423324148,0.7547169811320755,0.6129629629629628,0.23929152730135017,0.6178861788617886,0.23661296384948702,0.05076470689267268,0.2364828120880316,0.7105384261389784,0.7678571428571429,0.439096320375702
2,0.7676346801346802,0.07805290016520634,0.7563020913227999,0.8418036565440168,0.06466700168011602,0.8261075325225244,0.6634511784511786,0.10695972164923133,0.6674336554686302,0.6729044834307991,0.10759772307365116,0.6737588652482269,0.704696744414607,0.11287893432538747,0.7125,0.7109042809042809,0.09731469447419201,0.7080745341614907,0.7139393939393938,0.16517554136365847,0.7169811320754716,0.7139393939393938,0.16517554136365847,0.7169811320754716,0.6129629629629628,0.17457010268799905,0.6178861788617886,0.20307160062803012,0.04008396053485176,0.2030978457176741,0.687835557600859,0.6384615384615384,0.6966666666666667
3,0.7765488215488215,0.0925409993891362,0.7562765250294012,0.8469962503852174,0.0670969794114765,0.819874102547264,0.6570959595959596,0.10741656454433707,0.6593035741678172,0.6668615984405458,0.10265178813772721,0.6666666666666666,0.7044815666229046,0.10220283563174211,0.7080745341614907,0.7077474377474378,0.10190499917172385,0.6993865030674846,0.7169696969696969,0.14426734114884296,0.7169811320754716,0.7169696969696969,0.14426734114884296,0.7169811320754716,0.5972222222222222,0.18992769904412976,0.6016260162601627,0.20268823799075067,0.04411829678065295,0.20277649450941757,0.6908268139285166,0.6714801444043321,0.6192741237563435
4,0.7663131313131314,0.11969904551569771,0.7531830035281484,0.8464050110692385,0.08392612456571377,0.8067762446413822,0.7012626262626261,0.13069261410537225,0.7021782481975762,0.7054580896686159,0.12782860350548442,0.7056737588652482,0.736350031864906,0.11715099085521923,0.7365079365079366,0.7456902356902356,0.11905501019223522,0.7435897435897436,0.7303030303030305,0.12415792713208582,0.7295597484276729,0.7303030303030305,0.12415792713208582,0.7295597484276729,0.6722222222222223,0.16050103429754592,0.6747967479674797,0.20319947179821646,0.05199701484088881,0.203010055712493,0.7040190213222887,0.7331189710610932,0.509342342621048
5,0.8061447811447809,0.11538285983551906,0.7915835762131207,0.8719934985790601,0.07943203747495373,0.8405966947150294,0.7261195286195286,0.11603384091244746,0.7260315999386409,0.7307992202729046,0.11205501254890553,0.7304964539007093,0.7611136867200942,0.10035602934164421,0.7610062893081762,0.7694272394272395,0.11667117137512742,0.7610062893081762,0.7624242424242423,0.1197136817748618,0.7610062893081762,0.7624242424242423,0.1197136817748618,0.7610062893081762,0.6898148148148148,0.1677927128150651,0.6910569105691057,0.18554729948788,0.052437622497014266,0.18541703875491056,0.7546402822518792,0.7593220338983051,0.5566666666666666
6,0.7972558922558922,0.10781660709226541,0.7961343764381039,0.863060877083534,0.07603215123752521,0.8438825376536732,0.7152861952861953,0.09693199952797746,0.7156772511121338,0.7198830409356725,0.09973534379632489,0.7198581560283688,0.7468065012566291,0.1009864030362061,0.750788643533123,0.7552473452473454,0.08393344190440304,0.7531645569620253,0.7490909090909091,0.13863050871179358,0.7484276729559748,0.7490909090909091,0.13863050871179358,0.7484276729559748,0.6814814814814815,0.12136090205627588,0.6829268292682927,0.1817649698391932,0.04503655545216582,0.18166098834079103,0.7222733548090198,0.7177700348432056,0.5904936358608108
7,0.8122727272727273,0.09999954678355764,0.8097100782328578,0.8704316755291283,0.08337806008844377,0.8507413141579194,0.731952861952862,0.08933427168452782,0.7319374137137598,0.7341130604288499,0.08915880036624613,0.7340425531914894,0.758413755072794,0.0857978312973685,0.7603833865814696,0.7766067266067267,0.08668524708555725,0.7727272727272727,0.7490909090909093,0.11431227554389606,0.7484276729559748,0.7490909090909093,0.11431227554389606,0.7484276729559748,0.7148148148148148,0.12727933608592495,0.7154471544715447,0.176564071845685,0.04504863769341786,0.17628812381009198,0.7563276576161988,0.7752442996742671,0.5112401442078203
8,0.8271127946127946,0.09912559888650914,0.8295750882037122,0.8907756430094597,0.0705742973781884,0.8722544554869116,0.733939393939394,0.10619299397411687,0.7332412946770978,0.7372319688109161,0.10460475111288585,0.7375886524822695,0.7642366164966784,0.09599698883532445,0.7672955974842768,0.7762846412846414,0.11261468935750994,0.7672955974842768,0.7678787878787879,0.1361412327757759,0.7672955974842768,0.7678787878787879,0.1361412327757759,0.7672955974842768,0.7,0.15851423806217008,0.6991869918699187,0.16900905941265815,0.041435796441572414,0.1688617381136472,0.7609295904279798,0.7676767676767676,0.5772492635225355
9,0.8488930976430975,0.08725243057360156,0.8469857340082836,0.8917746112129731,0.07760726795593156,0.8768606897696526,0.747382154882155,0.11400929333277024,0.7489645651173493,0.75458089668616,0.11286953704048346,0.7553191489361702,0.7844750875872157,0.10221211128295345,0.7863777089783281,0.7799753949753951,0.10068183092331205,0.774390243902439,0.7993939393939394,0.13629724213388122,0.7987421383647799,0.7993939393939394,0.13629724213388122,0.7987421383647799,0.6953703703703703,0.16302796022224816,0.6991869918699187,0.1595349595591533,0.038202026771066454,0.15930988428728912,0.781408191440405,0.7608695652173914,0.6550845261160838
10,0.843543771043771,0.09329670435554438,0.835608733445825,0.8922012869337664,0.07652420105338376,0.8675651974971488,0.7277104377104376,0.10555614745490659,0.7282558674643351,0.7337231968810917,0.10506843278036702,0.7340425531914894,0.7642809989400379,0.09662924426151213,0.7663551401869159,0.7652713952713953,0.1007638646810419,0.7592592592592593,0.7739393939393939,0.1318234063750424,0.7735849056603774,0.7739393939393939,0.1318234063750424,0.7735849056603774,0.6814814814814815,0.15073185171976394,0.6829268292682927,0.16462114010509846,0.04160479544004874,0.16442096057827688,0.7714373370148795,0.7588652482269503,0.6228508311870676
