outcome,n,n_positive,prevalence,auc_mean,auc_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,sensitivity_mean,specificity_mean,pooled_auc,pooled_average_precision,n_selected_features_final
Within1Yr,94,17,0.18085106382978725,0.6325462962962961,0.1735614743857245,0.4951388888888889,0.045094605872942034,0.02666666666666667,0.016666666666666666,0.9736111111111112,0.6362787539258127,0.28558439485617854,33
Within2Yr,94,32,0.3404255319148936,0.6522537647537646,0.13594474465169,0.5867216117216116,0.10895605341196396,0.38711214711214714,0.32857142857142857,0.8448717948717949,0.6370967741935483,0.4692130451395388,50
Within3Yr,94,36,0.3829787234042553,0.6960317460317459,0.07653230145413527,0.6135281385281386,0.11104822239836665,0.4517351167351167,0.3785714285714286,0.8484848484848484,0.694790336313325,0.5858207768929241,48
Within4Yr,94,43,0.4574468085106383,0.6610521885521887,0.0865826814385884,0.5904124579124578,0.06206288298148228,0.5277900061181795,0.49537037037037035,0.6854545454545454,0.6597000557328874,0.6893350397897906,38
Within5Yr,94,47,0.5,0.6940740740740738,0.07103433784356014,0.6448148148148147,0.08214675501321081,0.6336389101094982,0.6237037037037038,0.6659259259259261,0.6934007343694986,0.7224930260599638,46
Within6Yr,94,53,0.5638297872340425,0.7316792929292929,0.10723455773487002,0.6319696969696971,0.1217321883343934,0.7018979772863202,0.7472727272727273,0.5166666666666667,0.7137853454006238,0.7822640159355195,50
Within7Yr,94,56,0.5957446808510638,0.7346320346320346,0.08882575580975885,0.6438311688311688,0.09296239141226621,0.7465244499828787,0.8090909090909089,0.4785714285714286,0.7192982456140351,0.7916508757123012,49
