feature,stability_frequency,rf_importance
BTN3A2,0.94,0.0904962193369181
162_U-PAR,0.96,0.060710542150933
CD83,1.0,0.0496784717176258
MCP-3,0.97,0.0455944227179049
143_RETN,0.67,0.0383226706596182
179_EGFR,0.72,0.0382501194944214
TGF-alpha,0.71,0.0379827839267024
159_XCL1,0.74,0.0355370525348141
NAAA,0.86,0.0354406473984272
CST5,0.75,0.0338118352975088
188_ICAM-2,1.0,0.0330060562173639
LAG3,0.98,0.0319512273985462
157_PRELP,0.89,0.0315670165221814
IL-5R-alpha,0.86,0.0297352971942908
CD200R1,0.95,0.0295393806602789
148_TR-AP,0.95,0.0288071779469439
196_CCL16,0.8,0.0283565464622906
BCAN,0.93,0.0257206839856946
PSG1,0.96,0.0248368830697428
WFIKKN1,0.67,0.0227135895596747
CD63,0.81,0.0217472812970705
SH2D1A,0.96,0.02023018950202
170_DCN,0.69,0.0201215756081337
ITGB6,0.71,0.0198229444188529
CCL20,0.77,0.0191849537452229
DSG3,0.89,0.0191403144128435
LY75,0.86,0.0175175820977702
IRF9,0.68,0.0159210381138159
PTS,0.63,0.0156815783084632
128_TLT-2,0.72,0.0146793916345105
183_COL1A1,0.61,0.0137374231540887
IL-20RA,0.76,0.0127748020234669
175_CHI3L1,0.87,0.0107475774131305
Nr-CAM,0.77,0.0107078486965475
UBE2F,0.62,0.0091062312804792
ARTN,0.71,0.0041849606576306
IL-2RB,0.71,0.0025082133887116
IL-22 RA1,0.79,0.0001274699953583
