n_features,roc_auc_mean,roc_auc_std,roc_auc_pooled,average_precision_mean,average_precision_std,average_precision_pooled,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_pooled,accuracy_mean,accuracy_std,accuracy_pooled,f1_mean,f1_std,f1_pooled,precision_mean,precision_std,precision_pooled,recall_mean,recall_std,recall_pooled,sensitivity_mean,sensitivity_std,sensitivity_pooled,specificity_mean,specificity_std,specificity_pooled,brier_score_mean,brier_score_std,brier_score_pooled,pooled_youden_balanced_accuracy,pooled_youden_f1,youden_threshold
1,0.7718097643097643,0.08441724268828141,0.7637432233875463,0.8173718943364411,0.06361609679421386,0.8045766746059492,0.6896464646464647,0.062011496984870046,0.6897704818361453,0.6943469785575048,0.06197634957735349,0.6950354609929078,0.64982151835093,0.08208444689411538,0.6532258064516129,0.6880327080327079,0.09574131893104447,0.680672268907563,0.6277777777777778,0.10951230673435136,0.627906976744186,0.6277777777777778,0.10951230673435136,0.627906976744186,0.7515151515151516,0.10306212902897098,0.7516339869281046,0.2022585023238735,0.04509130630462242,0.20200367182398746,0.7390180878552972,0.6846846846846847,0.6574209585509979
2,0.7701767676767676,0.10921851878824619,0.7609565790140346,0.8047959397525101,0.10281594653811418,0.7833577849718716,0.7115488215488214,0.08148142682231758,0.7121903024775802,0.7122807017543858,0.0786901344720929,0.7127659574468085,0.6853363801661014,0.10339388501294752,0.6920152091254753,0.677200577200577,0.08492334630666025,0.6791044776119403,0.7037037037037037,0.14573094163086456,0.7054263565891473,0.7037037037037037,0.14573094163086456,0.7054263565891473,0.7193939393939393,0.0785694608175478,0.7189542483660131,0.19421610474184195,0.04911236548910757,0.19381982500226533,0.7211582307341542,0.7063197026022305,0.44333333333333336
3,0.8078703703703705,0.06776349522706718,0.7948523078482037,0.8136928580718357,0.07752184283292368,0.7882726856040689,0.7020117845117846,0.060925356654080116,0.7023863809089528,0.7019493177387913,0.060121748192303766,0.7021276595744681,0.6800658887036595,0.0726253428809529,0.6842105263157895,0.6727922077922078,0.08244817181925505,0.6642335766423357,0.7046296296296296,0.1258203533490207,0.7054263565891473,0.7046296296296296,0.1258203533490207,0.7054263565891473,0.6993939393939393,0.10759069465226805,0.6993464052287581,0.1816139460936163,0.03424115353067431,0.18150770395000432,0.7245782033743731,0.726027397260274,0.3929175573007255
4,0.8245959595959598,0.0705685970122897,0.8163348026549121,0.8379408901283902,0.07111908216339677,0.818634232603154,0.7256649831649831,0.07391263693712742,0.7260981912144703,0.7304093567251463,0.07066281604392496,0.7304964539007093,0.6864614229192234,0.09997762567004972,0.696,0.734119769119769,0.10806197180276035,0.71900826446281,0.6731481481481482,0.17385828964844516,0.6744186046511628,0.6731481481481482,0.17385828964844516,0.6744186046511628,0.7781818181818181,0.12064368879393873,0.7777777777777778,0.17201138115133094,0.03020814988939137,0.17178803781004998,0.7483660130718954,0.7136929460580913,0.5255169957636431
5,0.8240824915824915,0.06739097064469644,0.817221462228302,0.8373751287332729,0.06538559340463025,0.8250205406078063,0.7322390572390572,0.08780992375013444,0.7332421340629275,0.7374269005847953,0.08429837383946148,0.7375886524822695,0.6944452777297038,0.11759227837539202,0.704,0.73484126984127,0.11015739051770923,0.7272727272727273,0.6796296296296297,0.17509025975015524,0.6821705426356589,0.6796296296296297,0.17509025975015524,0.6821705426356589,0.7848484848484848,0.11876313904403289,0.7843137254901961,0.17057125947859184,0.027481028117316026,0.17039473623093174,0.743046055631555,0.7125506072874493,0.5058238549482412
6,0.8362794612794613,0.06636048155328375,0.8355373157014743,0.8496348894467662,0.06398766169440237,0.8284581608547227,0.7466077441077441,0.06312687334075652,0.7487460100319198,0.7514619883040934,0.06302315526329923,0.75177304964539,0.7185782557481306,0.08210265141805581,0.7244094488188977,0.7604160654160653,0.12129077245470264,0.736,0.7101851851851851,0.1441337725366803,0.7131782945736435,0.7101851851851851,0.1441337725366803,0.7131782945736435,0.7830303030303029,0.1384202772724183,0.7843137254901961,0.1652388854972989,0.02249669299018594,0.16510763502880071,0.7705578355373157,0.7565543071161048,0.45
7,0.833459595959596,0.06636542910947939,0.8337386634240259,0.8381586888550683,0.066462143346915,0.8246371869478644,0.7221464646464646,0.07207674755328913,0.7240462076303389,0.7265107212475633,0.07104778963416417,0.7269503546099291,0.6925038085409603,0.09141706001912869,0.6980392156862745,0.7160389610389611,0.09735168565678316,0.7063492063492064,0.6861111111111111,0.12629400764423876,0.689922480620155,0.6861111111111111,0.12629400764423876,0.689922480620155,0.7581818181818182,0.11686579958294288,0.7581699346405228,0.16599800677092397,0.027459871796707284,0.16591992741797418,0.7498860009119928,0.7508532423208191,0.3740688720226108
8,0.8346548821548823,0.06868877298912154,0.8331053351573189,0.850808172632003,0.06450446653674993,0.8380628165845081,0.728442760942761,0.08894980186261271,0.7299741602067183,0.7337231968810917,0.08469058915902006,0.7340425531914894,0.6909574738986505,0.11893473731441377,0.701195219123506,0.7322150072150073,0.12454137529530471,0.7213114754098361,0.6787037037037037,0.17049720664009496,0.6821705426356589,0.6787037037037037,0.17049720664009496,0.6821705426356589,0.7781818181818184,0.1070038452784215,0.7777777777777778,0.1661860687001932,0.026518189431326042,0.1660960919165441,0.7434260525915792,0.7230769230769231,0.47554480812604843
9,0.8504966329966331,0.051933301260075886,0.8497492020063839,0.8678163988415107,0.040379918662625844,0.8600852774507789,0.7525336700336702,0.05672385682297802,0.7540659674722603,0.75906432748538,0.051432075304198875,0.7588652482269503,0.717215149258493,0.0851840617388596,0.7258064516129032,0.7719841269841272,0.08755988895595433,0.7563025210084033,0.6953703703703703,0.15118821951127284,0.6976744186046512,0.6953703703703703,0.15118821951127284,0.6976744186046512,0.8096969696969699,0.09678825015447573,0.8104575163398693,0.15802690291943355,0.02040889877971155,0.15799322296666488,0.7712418300653594,0.7350427350427351,0.5367539859122736
10,0.8513383838383839,0.05833305613272216,0.8426559254192633,0.8626041195137345,0.05638784910893647,0.8466306524955858,0.7596212121212124,0.053725965152383155,0.7618179054567564,0.7654970760233918,0.04668169765238898,0.7659574468085106,0.7256675556985156,0.08677849415450418,0.736,0.7713125763125763,0.08757622381155203,0.7603305785123967,0.7083333333333335,0.14977201957750494,0.7131782945736435,0.7083333333333335,0.14977201957750494,0.7131782945736435,0.8109090909090911,0.08625762461379383,0.8104575163398693,0.1608750629567082,0.024174190047465537,0.1607270087611027,0.7685818513451892,0.7341772151898734,0.5412586043633917
