feature,stability_frequency,rf_importance
BTN3A2,0.71,0.05630063368424166
LAG3,1.0,0.052961609551069
186_MMP-3,0.96,0.0497085888908457
179_EGFR,0.83,0.048027845775344816
CD83,0.96,0.0461132686915533
103_ADM,0.65,0.04153772772454681
185_CTSZ,0.93,0.04013588328056255
FCRL6,0.8,0.03504790887605709
BCAN,0.98,0.0343223921808483
MAPT,0.73,0.033756016687104234
HGF,0.66,0.030722226277370198
CD200R1,0.98,0.029486750822768144
138_CTRC,0.62,0.027748824188744064
157_PRELP,0.91,0.027496061855427995
188_ICAM-2,0.97,0.027434683179691777
CTSC,0.76,0.02545244979336664
CD200,0.95,0.023628856614023634
WFIKKN1,0.88,0.02348850835193534
CST5,0.67,0.022887993391238214
164_CTSD,0.68,0.019739682253509867
PSG1,0.97,0.019477240967960677
PPP3R1,0.69,0.018529310770462933
LY75,0.95,0.018224364812874365
HMOX2,0.69,0.017265210356959645
170_DCN,0.69,0.015404867090551777
102_LDL receptor,0.62,0.014260390849571284
FGF-5,0.74,0.014060980642603946
Flt3L,0.74,0.014057144502911371
AOC1,0.65,0.013959361444600044
145_PAPPA,0.84,0.012799182279435106
IL-20RA,0.8,0.012454152112898227
CD63,0.8,0.012355613349152196
MASP1,0.64,0.011772642470709678
ITGB6,0.72,0.011654738663724015
SH2D1A,0.81,0.011511129686202114
CCL20,0.61,0.010203551836243652
CASP-8,0.7,0.009113352362488331
128_TLT-2,0.64,0.008986345486879037
148_TR-AP,0.91,0.008846891789867382
131_GIF,0.67,0.008584119457983872
189_KLK6,0.74,0.0083762135622126
FKBP7,0.71,0.007214251358651921
IL10.1,0.62,0.007117688259995803
DEFB4A,0.95,0.006488294239636056
ARTN,0.86,0.005500548216410209
175_CHI3L1,0.78,0.005359623719944988
IL-2RB,0.82,0.00042487763881940215
IL-22 RA1,0.72,0.0
