threshold,n,n_positive,roc_auc,average_precision,brier_score,balanced_accuracy,accuracy,precision,recall,sensitivity,specificity,f1,confusion_matrix,fold,best_params,inner_best_score,n_selected_features,train_brier,val_brier
0.5,19,7,0.7797619047619048,0.6338744588744588,0.1891719298245614,0.7023809523809523,0.7368421052631579,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.8333333333333334,0.6153846153846154,"{'tn': 10, 'fp': 2, 'fn': 3, 'tp': 4}",0,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9395555555555555,46,0.022643703703703704,0.1891719298245614
0.5,19,7,0.6071428571428572,0.5445578231292517,0.23058673141709018,0.48809523809523814,0.5789473684210527,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.8333333333333334,0.2,"{'tn': 10, 'fp': 2, 'fn': 6, 'tp': 1}",1,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8958518518518519,40,0.026786229569588666,0.23058673141709024
0.5,19,7,0.7142857142857142,0.7077398791684506,0.18996649076812452,0.7142857142857143,0.7894736842105263,1.0,0.42857142857142855,0.42857142857142855,1.0,0.6,"{'tn': 12, 'fp': 0, 'fn': 4, 'tp': 3}",2,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8124444444444444,48,0.02741100925638026,0.18996649076812452
0.5,19,8,0.625,0.5804775698158051,0.23236998989242977,0.5340909090909092,0.5789473684210527,0.5,0.25,0.25,0.8181818181818182,0.3333333333333333,"{'tn': 9, 'fp': 2, 'fn': 6, 'tp': 2}",3,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.9405925925925926,32,0.045897194010808155,0.23236998989242977
0.5,18,7,0.6233766233766234,0.5035103785103785,0.24528968923215488,0.5064935064935066,0.5555555555555556,0.4,0.2857142857142857,0.2857142857142857,0.7272727272727273,0.3333333333333333,"{'tn': 8, 'fp': 3, 'fn': 5, 'tp': 2}",4,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8858518518518519,45,0.02391049202060796,0.24528968923215486
0.5,19,7,0.8333333333333334,0.8523809523809525,0.17431754385964912,0.7142857142857143,0.7894736842105263,1.0,0.42857142857142855,0.42857142857142855,1.0,0.6,"{'tn': 12, 'fp': 0, 'fn': 4, 'tp': 3}",5,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8872592592592593,33,0.021003999999999995,0.17431754385964912
0.5,19,7,0.6666666666666666,0.5928371348539416,0.2114643274853801,0.5178571428571428,0.5789473684210527,0.4,0.2857142857142857,0.2857142857142857,0.75,0.3333333333333333,"{'tn': 9, 'fp': 3, 'fn': 5, 'tp': 2}",6,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9123703703703704,33,0.022336,0.2114643274853801
0.5,19,7,0.6428571428571429,0.5642547928262214,0.226167670374346,0.5297619047619048,0.631578947368421,0.5,0.14285714285714285,0.14285714285714285,0.9166666666666666,0.2222222222222222,"{'tn': 11, 'fp': 1, 'fn': 6, 'tp': 1}",7,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.884,41,0.052362224392254915,0.226167670374346
0.5,19,8,0.7272727272727273,0.6488553113553114,0.20245146198830408,0.7215909090909092,0.7368421052631579,0.7142857142857143,0.625,0.625,0.8181818181818182,0.6666666666666666,"{'tn': 9, 'fp': 2, 'fn': 3, 'tp': 5}",8,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8847407407407408,44,0.022534814814814817,0.20245146198830408
0.5,18,7,0.7012987012987012,0.7600881261595547,0.19246476885563213,0.7857142857142857,0.8333333333333334,1.0,0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,"{'tn': 11, 'fp': 0, 'fn': 3, 'tp': 4}",9,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8997777777777778,45,0.024617865273510352,0.19246476885563213
0.5,19,7,0.6428571428571428,0.6907963185274109,0.2037803006355757,0.6726190476190476,0.7368421052631579,0.75,0.42857142857142855,0.42857142857142855,0.9166666666666666,0.5454545454545454,"{'tn': 11, 'fp': 1, 'fn': 4, 'tp': 3}",10,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.8469629629629629,40,0.05340922585738068,0.2037803006355757
0.5,19,7,0.6904761904761905,0.5132867132867133,0.21476743212862262,0.4166666666666667,0.5263157894736842,0.0,0.0,0.0,0.8333333333333334,0.0,"{'tn': 10, 'fp': 2, 'fn': 7, 'tp': 0}",11,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.9432592592592591,34,0.049930288319650726,0.21476743212862262
0.5,19,7,0.8452380952380952,0.8238095238095238,0.16416839215688794,0.6726190476190476,0.7368421052631579,0.75,0.42857142857142855,0.42857142857142855,0.9166666666666666,0.5454545454545454,"{'tn': 11, 'fp': 1, 'fn': 4, 'tp': 3}",12,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8868148148148147,39,0.02588603297394536,0.16416839215688794
0.5,19,8,0.6136363636363636,0.6332569085326438,0.24634601485707586,0.5511363636363636,0.5789473684210527,0.5,0.375,0.375,0.7272727272727273,0.42857142857142855,"{'tn': 8, 'fp': 3, 'fn': 5, 'tp': 3}",13,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.8678518518518519,33,0.04789367248296544,0.24634601485707586
0.5,18,7,0.7272727272727273,0.7048229548229548,0.21803381722216664,0.6753246753246753,0.6666666666666666,0.5555555555555556,0.7142857142857143,0.7142857142857143,0.6363636363636364,0.625,"{'tn': 7, 'fp': 4, 'fn': 2, 'tp': 5}",14,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.8744444444444444,39,0.04831819062448198,0.21803381722216664
