feature,mean_selection_freq,selected_in_n_folds
LAG3,0.9813333333333334,15
188_ICAM-2,0.8986666666666666,15
186_MMP-3,0.8893333333333334,15
LY75,0.8066666666666665,14
BCAN,0.7926666666666667,14
CD200R1,0.8493333333333334,13
185_CTSZ,0.7946666666666667,13
CD83,0.7826666666666665,13
ARTN,0.7193333333333333,13
157_PRELP,0.7020000000000001,13
PSG1,0.8026666666666666,12
CD200,0.7500000000000001,12
DEFB4A,0.7326666666666667,12
179_EGFR,0.6773333333333333,11
IL-2RB,0.6526666666666666,11
WFIKKN1,0.6513333333333333,9
FCRL6,0.6400000000000001,9
148_TR-AP,0.628,9
IL-20RA,0.6273333333333334,9
145_PAPPA,0.6240000000000001,8
CST5,0.5813333333333334,8
164_CTSD,0.5679999999999998,8
CTSC,0.5633333333333332,8
103_ADM,0.5226666666666666,8
170_DCN,0.5079999999999999,8
SH2D1A,0.5993333333333334,7
175_CHI3L1,0.5673333333333335,7
FGF-5,0.5379999999999999,7
HGF,0.5273333333333333,7
ITGB6,0.5033333333333333,7
MAPT,0.5793333333333331,6
CD63,0.5326666666666667,6
LILRB4,0.5153333333333333,6
FGF-19,0.5026666666666666,6
PPP3R1,0.47333333333333344,6
CCL20,0.4726666666666667,6
FKBP7,0.45533333333333326,6
184_PON3,0.45333333333333337,6
IL-22 RA1,0.42466666666666664,6
ITGA11,0.40533333333333327,6
BTN3A2,0.564,5
128_TLT-2,0.512,5
138_CTRC,0.5106666666666667,5
177_FABP2,0.454,5
189_KLK6,0.4473333333333333,5
CSF-1,0.438,5
MASP1,0.4306666666666667,5
107_PlGF,0.36866666666666664,5
Flt3L,0.5013333333333333,4
102_LDL receptor,0.4926666666666667,4
HMOX2,0.4639999999999999,4
CASP-8,0.448,4
162_U-PAR,0.43666666666666665,4
AOC1,0.42200000000000004,4
CLSTN1,0.4206666666666667,4
TPPP3,0.41733333333333333,4
CCL23,0.4053333333333333,4
UBE2F,0.3806666666666666,4
156_AMBP,0.36666666666666664,4
131_GIF,0.4506666666666667,3
IL-5R-alpha,0.434,3
CLEC6A,0.42133333333333334,3
IL10.1,0.3973333333333333,3
116_IDUA,0.3906666666666668,3
NEFL,0.38333333333333336,3
PHOSPHO1,0.3673333333333334,3
TGF-alpha,0.35799999999999993,3
PRDX3,0.3446666666666666,3
190_CA5A,0.34199999999999997,3
DUSP3,0.316,3
IL4,0.272,3
135_GDF-15,0.39333333333333326,2
CDH17,0.3746666666666666,2
DCBLD2,0.35266666666666674,2
