threshold,n,n_positive,roc_auc,average_precision,brier_score,balanced_accuracy,accuracy,precision,recall,sensitivity,specificity,f1,confusion_matrix,fold,best_params,inner_best_score,n_selected_features,train_brier,val_brier
0.5,19,10,0.8111111111111111,0.8730555555555556,0.1798767924311557,0.788888888888889,0.7894736842105263,0.8,0.8,0.8,0.7777777777777778,0.8,"{'tn': 7, 'fp': 2, 'fn': 2, 'tp': 8}",0,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.8883597883597885,42,0.05134964011880888,0.1798767924311557
0.5,19,11,0.8636363636363636,0.9023615273615273,0.1821262306132025,0.7556818181818181,0.7368421052631579,0.875,0.6363636363636364,0.6363636363636364,0.875,0.7368421052631579,"{'tn': 7, 'fp': 1, 'fn': 4, 'tp': 7}",1,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.9207671957671959,42,0.04932076629112589,0.1821262306132025
0.5,19,11,0.7386363636363636,0.8508509464391818,0.22768076846107316,0.5511363636363636,0.5789473684210527,0.6153846153846154,0.7272727272727273,0.7272727272727273,0.375,0.6666666666666666,"{'tn': 3, 'fp': 5, 'fn': 3, 'tp': 8}",2,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 300}",0.9167989417989417,34,0.022382511860990658,0.22768076846107316
0.5,19,11,0.6022727272727273,0.7453823953823955,0.22382788682058755,0.5170454545454546,0.5789473684210527,0.5882352941176471,0.9090909090909091,0.9090909090909091,0.125,0.7142857142857143,"{'tn': 1, 'fp': 7, 'fn': 1, 'tp': 10}",3,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.9130952380952382,40,0.052436853671453884,0.22382788682058755
0.5,18,10,0.675,0.7833891108891109,0.24536913032769705,0.6,0.6111111111111112,0.6363636363636364,0.7,0.7,0.5,0.6666666666666666,"{'tn': 4, 'fp': 4, 'fn': 3, 'tp': 7}",4,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.8882275132275133,46,0.048494223172591826,0.24536913032769705
0.5,19,10,0.5333333333333333,0.6517603668261562,0.271266081871345,0.4722222222222222,0.47368421052631576,0.5,0.5,0.5,0.4444444444444444,0.5,"{'tn': 4, 'fp': 5, 'fn': 5, 'tp': 5}",5,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.902910052910053,40,0.019924592592592594,0.271266081871345
0.5,19,11,0.7045454545454546,0.820178840767076,0.21645854935318126,0.5511363636363636,0.5789473684210527,0.6153846153846154,0.7272727272727273,0.7272727272727273,0.375,0.6666666666666666,"{'tn': 3, 'fp': 5, 'fn': 3, 'tp': 8}",6,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9169312169312169,39,0.02437978858566018,0.21645854935318126
0.5,19,11,0.8579545454545454,0.9006561620197984,0.1491812865497076,0.8125,0.8421052631578947,0.7857142857142857,1.0,1.0,0.625,0.88,"{'tn': 5, 'fp': 3, 'fn': 0, 'tp': 11}",7,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8917989417989418,41,0.022974814814814816,0.1491812865497076
0.5,19,11,0.7613636363636364,0.8522727272727273,0.2040077378165435,0.6420454545454546,0.6842105263157895,0.6666666666666666,0.9090909090909091,0.9090909090909091,0.375,0.7692307692307693,"{'tn': 3, 'fp': 5, 'fn': 1, 'tp': 10}",8,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.8674603174603174,45,0.05330993483488868,0.2040077378165435
0.5,18,10,0.6375,0.6897527472527472,0.2443987254490282,0.625,0.6111111111111112,0.7142857142857143,0.5,0.5,0.75,0.5882352941176471,"{'tn': 6, 'fp': 2, 'fn': 5, 'tp': 5}",9,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 300}",0.9425925925925928,50,0.02283001896680138,0.24439872544902816
