feature,mean_selection_freq,selected_in_n_folds
179_EGFR,0.9026666666666666,15
PSG1,0.894,15
DSG3,0.8746666666666667,15
IL-20RA,0.8713333333333335,15
177_FABP2,0.8826666666666666,14
107_PlGF,0.8653333333333334,14
143_RETN,0.7333333333333335,14
140_SPON2,0.8613333333333334,13
103_ITGB2,0.7206666666666667,13
IL10,0.6693333333333332,13
145_PAPPA,0.7513333333333333,12
116_IDUA,0.7366666666666666,12
ATP6V1F,0.7193333333333333,12
RPS6KB1,0.7126666666666667,12
Alpha-2-MRAP,0.7346666666666668,11
CST5,0.7013333333333333,11
DFFA,0.6686666666666666,10
IL33,0.6099999999999999,10
148_TR-AP,0.6053333333333334,10
WFIKKN1,0.5893333333333332,10
159_XCL1,0.6793333333333335,9
CD200R1,0.6473333333333334,9
BCAN,0.6186666666666666,9
169_IL-1RT2,0.5920000000000001,9
NRTN,0.6466666666666666,8
CD83,0.6186666666666667,8
184_PON3,0.5906666666666668,8
186_MMP-3,0.5686666666666668,8
185_CTSZ,0.5666666666666668,8
CXCL12,0.5553333333333333,8
MCP-3,0.634,7
PTS,0.5406666666666666,7
IL10.1,0.532,7
167_MMP-7,0.5126666666666667,7
CCL27,0.4926666666666667,7
170_DCN,0.5586666666666668,6
116_CD163,0.5359999999999999,6
SKR3,0.5359999999999999,6
IL5,0.5253333333333334,6
CLEC4D,0.46,6
162_U-PAR,0.5586666666666668,5
160_PRTN3,0.5173333333333334,5
CLM-6,0.512,5
CCL11.1,0.48533333333333323,5
CCL19,0.44800000000000006,5
DEFB4A,0.4346666666666667,5
109_Protein BOC,0.4293333333333334,5
NXPH1,0.38733333333333336,5
103_ADM,0.47800000000000004,4
SH2D1A,0.4666666666666667,4
135_GDF-15,0.46466666666666673,4
188_ICAM-2,0.45733333333333337,4
ROBO2,0.44333333333333325,4
VEGFA,0.44066666666666665,4
IL32,0.42400000000000004,4
CXCL6,0.4226666666666668,4
AKT1S1,0.42266666666666663,4
155_VSIG2,0.4106666666666667,4
NAAA,0.38199999999999995,4
176_GDF-2,0.334,4
172_LPL,0.326,4
ANXA10,0.31133333333333335,4
UBE2F,0.4926666666666667,3
CCL11,0.48066666666666674,3
CDH17,0.4486666666666666,3
KLB,0.43466666666666665,3
NTRK3,0.41866666666666663,3
BTN3A2,0.39999999999999997,3
LY75,0.3933333333333333,3
TRANCE,0.37533333333333335,3
IL3RA,0.348,3
CARHSP1,0.33533333333333337,3
109_IL2-RA,0.3153333333333333,3
FGF2,0.29000000000000004,3
4E-BP1,0.24733333333333335,3
HGF,0.422,2
114_CSTB,0.4139999999999999,2
NRP2,0.3853333333333333,2
IL-10RB,0.35933333333333334,2
GZMA,0.2933333333333333,2
IL4,0.29266666666666663,2
185_CTSL1,0.2906666666666667,2
TNFRSF13C,0.2866666666666667,2
CXCL1,0.2859999999999999,2
134_TNFRSF10C,0.28400000000000003,2
CSF-1,0.2833333333333333,2
PADI2,0.2700000000000001,2
139_FGF-23,0.264,2
120_MEPE,0.232,2
FKBP7,0.23,2
145_CHIT1,0.22333333333333333,2
TMPRSS5,0.21866666666666665,2
KLRD1,0.21733333333333332,2
LIF,0.1713333333333333,2
FGF-5,0.13533333333333333,2
120_TRAIL-R2,0.39333333333333337,1
CCL20,0.36733333333333323,1
DGKZ,0.35666666666666663,1
IL-5R-alpha,0.3486666666666666,1
CKAP4,0.3433333333333333,1
CLSTN1,0.31933333333333336,1
