n_features,fold,hp_max_depth,hp_max_features,hp_min_samples_leaf,hp_n_estimators
13,11,,sqrt,1,300
13,12,,sqrt,1,300
13,13,,sqrt,1,300
13,14,,sqrt,3,300
14,0,,sqrt,3,300
14,1,,sqrt,1,300
14,2,,0.3,3,300
14,3,,0.3,1,300
14,4,,0.3,3,300
14,5,,sqrt,3,300
14,6,,sqrt,1,300
14,7,,sqrt,1,300
14,8,,sqrt,3,300
14,9,5.0,sqrt,1,300
14,10,,sqrt,3,300
14,11,,sqrt,3,300
14,12,,sqrt,3,300
14,13,,sqrt,3,300
14,14,5.0,sqrt,1,300
15,0,,sqrt,3,300
15,1,,sqrt,1,300
15,2,,sqrt,3,300
15,3,5.0,0.3,1,300
15,4,,sqrt,1,300
15,5,5.0,sqrt,1,300
15,6,,0.3,1,300
15,7,,0.3,1,300
15,8,,sqrt,3,300
15,9,5.0,sqrt,1,300
15,10,,sqrt,3,300
15,11,,sqrt,3,300
15,12,,sqrt,3,300
15,13,,0.3,1,300
15,14,5.0,sqrt,1,300
16,0,,sqrt,3,300
16,1,,sqrt,1,300
16,2,,sqrt,3,300
16,3,5.0,sqrt,1,300
16,4,,sqrt,3,300
16,5,,sqrt,1,300
16,6,,sqrt,1,300
16,7,5.0,sqrt,1,300
16,8,5.0,sqrt,1,300
16,9,5.0,sqrt,1,300
16,10,,sqrt,3,300
16,11,,sqrt,1,300
16,12,,sqrt,3,300
16,13,,sqrt,1,300
16,14,,sqrt,1,300
17,0,,sqrt,3,300
17,1,,sqrt,3,300
17,2,5.0,0.3,1,300
17,3,,0.3,3,300
17,4,5.0,sqrt,1,300
17,5,,sqrt,3,300
17,6,,0.3,1,300
17,7,,sqrt,1,300
17,8,,0.3,3,300
17,9,,sqrt,1,300
17,10,,sqrt,3,300
17,11,,sqrt,3,300
17,12,,sqrt,3,300
17,13,,sqrt,3,300
17,14,,sqrt,1,300
18,0,,sqrt,3,300
18,1,,sqrt,3,300
18,2,5.0,sqrt,1,300
18,3,,sqrt,1,300
18,4,,sqrt,1,300
18,5,,sqrt,1,300
18,6,,0.3,1,300
18,7,5.0,sqrt,1,300
18,8,,0.3,3,300
18,9,5.0,sqrt,1,300
18,10,,0.3,3,300
18,11,,0.3,3,300
18,12,,sqrt,1,300
18,13,5.0,sqrt,1,300
18,14,,sqrt,1,300
19,0,,0.3,1,300
19,1,,sqrt,1,300
19,2,5.0,sqrt,1,300
19,3,,0.3,1,300
19,4,5.0,sqrt,1,300
19,5,,sqrt,3,300
19,6,,0.3,1,300
19,7,,sqrt,3,300
19,8,,sqrt,3,300
19,9,,sqrt,1,300
19,10,,sqrt,3,300
19,11,,sqrt,3,300
19,12,,0.3,3,300
19,13,5.0,sqrt,1,300
19,14,,sqrt,1,300
20,0,,sqrt,3,300
20,1,5.0,sqrt,1,300
20,2,,sqrt,3,300
20,3,,sqrt,1,300
20,4,,sqrt,3,300
20,5,,sqrt,3,300
20,6,5.0,sqrt,1,300
20,7,5.0,sqrt,3,300
20,8,,0.3,3,300
20,9,,0.3,1,300
20,10,,sqrt,3,300
20,11,5.0,sqrt,1,300
20,12,,sqrt,3,300
20,13,,0.3,1,300
20,14,,sqrt,1,300
21,0,5.0,sqrt,1,300
21,1,,sqrt,3,300
21,2,,sqrt,3,300
21,3,,sqrt,1,300
21,4,5.0,sqrt,1,300
21,5,,sqrt,3,300
21,6,,sqrt,3,300
21,7,5.0,sqrt,1,300
21,8,,sqrt,1,300
21,9,5.0,sqrt,1,300
21,10,,0.3,3,300
21,11,,sqrt,1,300
21,12,,sqrt,3,300
21,13,,0.3,1,300
21,14,5.0,sqrt,1,300
22,0,,0.3,3,300
22,1,,sqrt,3,300
22,2,,sqrt,1,300
22,3,,0.3,3,300
22,4,,sqrt,3,300
22,5,,0.3,1,300
22,6,5.0,sqrt,1,300
22,7,,sqrt,1,300
22,8,,sqrt,3,300
22,9,5.0,sqrt,1,300
22,10,,0.3,3,300
22,11,5.0,sqrt,1,300
22,12,,sqrt,1,300
22,13,,sqrt,3,300
22,14,,sqrt,1,300
23,0,,sqrt,3,300
23,1,,0.3,1,300
23,2,5.0,0.3,1,300
23,3,5.0,sqrt,1,300
23,4,5.0,0.3,1,300
23,5,,0.3,1,300
23,6,,sqrt,1,300
23,7,,0.3,1,300
23,8,,sqrt,1,300
23,9,5.0,sqrt,1,300
23,10,,sqrt,3,300
23,11,,sqrt,3,300
23,12,,0.3,1,300
23,13,,sqrt,1,300
23,14,,0.3,1,300
24,0,,sqrt,3,300
24,1,5.0,sqrt,1,300
24,2,,sqrt,3,300
24,3,5.0,sqrt,1,300
24,4,5.0,sqrt,1,300
24,5,,0.3,1,300
24,6,,sqrt,1,300
24,7,5.0,sqrt,1,300
24,8,,sqrt,3,300
24,9,,sqrt,1,300
24,10,,sqrt,3,300
24,11,5.0,sqrt,1,300
24,12,,sqrt,1,300
24,13,5.0,sqrt,1,300
24,14,,sqrt,1,300
25,0,,sqrt,3,300
25,1,,sqrt,1,300
25,2,,sqrt,1,300
25,3,5.0,sqrt,1,300
25,4,,sqrt,1,300
25,5,,0.3,1,300
25,6,5.0,0.3,1,300
