n_features,roc_auc_mean,roc_auc_std,roc_auc_pooled,average_precision_mean,average_precision_std,average_precision_pooled,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_pooled,accuracy_mean,accuracy_std,accuracy_pooled,f1_mean,f1_std,f1_pooled,precision_mean,precision_std,precision_pooled,recall_mean,recall_std,recall_pooled,sensitivity_mean,sensitivity_std,sensitivity_pooled,specificity_mean,specificity_std,specificity_pooled,brier_score_mean,brier_score_std,brier_score_pooled,pooled_youden_balanced_accuracy,pooled_youden_f1,youden_threshold
1,0.7085185185185185,0.19474952446173452,0.676937441643324,0.44818200805042907,0.2005325479441805,0.3003045508771396,0.7076388888888888,0.15568880701460086,0.7097020626432391,0.7875243664717348,0.07091701827526883,0.7872340425531915,0.4695238095238095,0.2380424733672631,0.5,0.4052380952380952,0.2120598683275599,0.43478260869565216,0.5833333333333333,0.31654132857876977,0.5882352941176471,0.5833333333333333,0.31654132857876977,0.5882352941176471,0.8319444444444445,0.07030028186024315,0.8311688311688312,0.1765760273682641,0.058567331100304654,0.17669192059070993,0.7228163992869876,0.512,0.4740314985907013
2,0.7428240740740741,0.14103639037932264,0.7082590612002376,0.43397481498358687,0.1329578560086905,0.2951057560043899,0.64125,0.16627409122499637,0.6399286987522281,0.7732943469785576,0.08059988566165287,0.7730496453900709,0.3777777777777777,0.2528404664592317,0.4074074074074074,0.3563492063492063,0.23481872521428584,0.38596491228070173,0.43333333333333324,0.3276297755718638,0.43137254901960786,0.43333333333333324,0.3276297755718638,0.43137254901960786,0.8491666666666667,0.06676332278909784,0.8484848484848485,0.16677948012057905,0.045732362211012366,0.16699946725799014,0.7175961293608353,0.4861111111111111,0.33601807815573176
3,0.7765740740740743,0.1811208083228567,0.7534165181224004,0.589240832696715,0.2961700118452997,0.4091892979759395,0.7072222222222223,0.19723703275487361,0.7084288260758849,0.8231968810916181,0.1152489147175016,0.8226950354609929,0.4744973544973545,0.33808736891966795,0.5192307692307693,0.4644444444444445,0.3529280394899236,0.5094339622641509,0.5277777777777778,0.3814480901808862,0.5294117647058824,0.5277777777777778,0.3814480901808862,0.5294117647058824,0.8866666666666667,0.1108588406022837,0.8874458874458875,0.14072094492407106,0.051514879447686526,0.14083279324017042,0.7359307359307359,0.5230769230769231,0.38135817856847964
4,0.7900462962962963,0.1738763185991874,0.7668279432985314,0.6083982343192869,0.2623792894398213,0.43878884367487747,0.6856944444444444,0.17175431669752234,0.6866564807741278,0.8124756335282651,0.08846015926149708,0.8120567375886525,0.4406878306878307,0.28912481126077805,0.4854368932038835,0.41888888888888887,0.2715232360680532,0.4807692307692308,0.48888888888888893,0.33903847856414454,0.49019607843137253,0.48888888888888893,0.33903847856414454,0.49019607843137253,0.8825000000000001,0.08330654331281644,0.8831168831168831,0.13437113593556466,0.045222725218605216,0.13469915317831113,0.7359307359307359,0.5230769230769231,0.3424985505863139
5,0.8231481481481482,0.15179578588157533,0.8034122740005094,0.6598860398860398,0.2248221881713374,0.5711061645507345,0.7118055555555556,0.14047923809580842,0.7127578304048892,0.8302144249512671,0.0686842635774227,0.8297872340425532,0.4853968253968254,0.25006294424103803,0.5294117647058824,0.48523809523809525,0.27521996974426066,0.5294117647058824,0.5277777777777778,0.3064561043858385,0.5294117647058824,0.5277777777777778,0.3064561043858385,0.5294117647058824,0.8958333333333335,0.08423618062913422,0.8961038961038961,0.12062309610388063,0.03245702601673882,0.12075826623586208,0.7521008403361344,0.5641025641025641,0.4030183474415176
6,0.8356481481481481,0.13797783201717553,0.803497156438333,0.6441806341806342,0.23959283812284232,0.5808606721345351,0.7230555555555557,0.16072455508048578,0.721415839062898,0.8440545808966863,0.07809705345745975,0.8439716312056738,0.5049735449735449,0.2807892262768579,0.5510204081632653,0.5266666666666667,0.3088509169306267,0.574468085106383,0.5333333333333333,0.3270236145058097,0.5294117647058824,0.5333333333333333,0.3270236145058097,0.5294117647058824,0.9127777777777778,0.07370688588222288,0.9134199134199135,0.11907956524928512,0.03561453588221894,0.1193226871156084,0.7536287242169595,0.5161290322580645,0.253162073489148
7,0.8247685185185183,0.1301395100299701,0.7962397080044139,0.6421751396751396,0.21212928445788706,0.5494808670888047,0.6962500000000001,0.14902793495457622,0.698497580850522,0.8438596491228071,0.07348935261817212,0.8439716312056738,0.47338624338624335,0.2709507448051236,0.5217391304347826,0.5311111111111111,0.3039989209114794,0.5853658536585366,0.4666666666666666,0.3017804310611087,0.47058823529411764,0.4666666666666666,0.3017804310611087,0.47058823529411764,0.9258333333333334,0.07034495503170572,0.9264069264069265,0.118870327177079,0.03884309090854265,0.1190651914510964,0.7526101349630762,0.5093167701863354,0.20666666666666667
8,0.8344444444444445,0.1330676917287235,0.8127917833800187,0.6482586667145489,0.23158284551303854,0.592931595843553,0.6966666666666667,0.17879564296829062,0.6974789915966386,0.8298245614035089,0.08497661603484508,0.8297872340425532,0.45338624338624334,0.3038950473213411,0.5102040816326531,0.47777777777777775,0.330143467290675,0.5319148936170213,0.4888888888888889,0.36442315075229886,0.49019607843137253,0.4888888888888889,0.36442315075229886,0.49019607843137253,0.9044444444444444,0.08165674542910754,0.9047619047619048,0.11655948502265141,0.03882250947857294,0.1168053285514158,0.7566844919786095,0.5401459854014599,0.28747891869539777
9,0.8472222222222221,0.1172968148287047,0.813598166539343,0.6698463573463572,0.22057445607068138,0.5737012980114882,0.6679166666666667,0.14554989462516565,0.6625923096511332,0.8231968810916181,0.07264576583264999,0.8226950354609929,0.42777777777777787,0.23197830282291412,0.45652173913043476,0.5355555555555556,0.3158427041370653,0.5121951219512195,0.4222222222222222,0.30450758237664255,0.4117647058823529,0.4222222222222222,0.30450758237664255,0.4117647058823529,0.913611111111111,0.080694324918634,0.9134199134199135,0.11662417473530948,0.036722975702599525,0.11688951947955824,0.7750190985485104,0.5853658536585366,0.32661380309293087
10,0.8663888888888888,0.11196866491299515,0.8367710720651896,0.6935631498131498,0.2148057094202924,0.5476518633758051,0.6756944444444445,0.14046820329728055,0.673414820473644,0.8407407407407407,0.07652672739186564,0.8404255319148937,0.4614814814814815,0.24807103543771258,0.4827586206896552,0.5855555555555555,0.3197758805110444,0.5833333333333334,0.41666666666666674,0.26726124191242434,0.4117647058823529,0.41666666666666674,0.26726124191242434,0.4117647058823529,0.9347222222222222,0.06611878040082955,0.935064935064935,0.11184341513498786,0.037276145326227784,0.11214614548088937,0.7696715049656226,0.5648854961832062,0.28454267731829397
