feature,stability_frequency,rf_importance
162_U-PAR,0.85,0.0676378632224537
LAMP3,0.84,0.0595581943360731
153_THBS2,0.71,0.0571598499985356
123_LTBR,0.85,0.0495141973312317
EZR,0.74,0.04689746411229
LILRB4,0.8,0.0463579906607228
LAG3,0.91,0.0426298343830624
181_BNP,0.71,0.0423772286640258
CST5,0.8,0.0392655235872114
CDH15,0.79,0.0363046731755976
185_CTSZ,0.61,0.0358927813150918
FCRL6,0.65,0.0328092826651962
159_TNFSF13B,0.68,0.0301651912583331
NEFL,0.99,0.0286380033608605
KLRD1,0.6,0.0277791817559051
IL6,0.66,0.0258942991059035
108_ADAM-TS13,0.61,0.0249397424533673
PD-L1,0.74,0.0245237912870654
148_TR-AP,0.88,0.0242376651273353
184_PD-L2,0.77,0.023980384932173
138_DLK-1,0.68,0.021401330849966
LY75,0.83,0.0213318786939264
sFRP-3,0.7,0.0212315778723688
124_IL1RL2,0.64,0.0210981893476585
156_MMP-2,0.76,0.0206029416066608
TGF-alpha,0.65,0.0199895059407514
DUSP3,0.76,0.0191999792739013
169_IL-1RT2,0.71,0.0189791108159468
RNF31,0.81,0.0184438512891535
HNMT,0.7,0.0177786600851462
102_LDL receptor,0.77,0.0155152622501473
GPNMB,0.8,0.0091356150989194
IL-2RB,0.96,0.0087289541430168
