feature,stability_frequency,rf_importance
BTN3A2,0.71,0.0563006336842416
LAG3,1.0,0.052961609551069
186_MMP-3,0.96,0.0497085888908457
179_EGFR,0.83,0.0480278457753448
CD83,0.96,0.0461132686915533
103_ADM,0.65,0.0415377277245468
185_CTSZ,0.93,0.0401358832805625
FCRL6,0.8,0.035047908876057
BCAN,0.98,0.0343223921808483
MAPT,0.73,0.0337560166871042
HGF,0.66,0.0307222262773701
CD200R1,0.98,0.0294867508227681
138_CTRC,0.62,0.027748824188744
157_PRELP,0.91,0.0274960618554279
188_ICAM-2,0.97,0.0274346831796917
CTSC,0.76,0.0254524497933666
CD200,0.95,0.0236288566140236
WFIKKN1,0.88,0.0234885083519353
CST5,0.67,0.0228879933912382
164_CTSD,0.68,0.0197396822535098
PSG1,0.97,0.0194772409679606
PPP3R1,0.69,0.0185293107704629
LY75,0.95,0.0182243648128743
HMOX2,0.69,0.0172652103569596
170_DCN,0.69,0.0154048670905517
102_LDL receptor,0.62,0.0142603908495712
FGF-5,0.74,0.0140609806426039
Flt3L,0.74,0.0140571445029113
AOC1,0.65,0.0139593614446
145_PAPPA,0.84,0.0127991822794351
IL-20RA,0.8,0.0124541521128982
CD63,0.8,0.0123556133491521
MASP1,0.64,0.0117726424707096
ITGB6,0.72,0.011654738663724
SH2D1A,0.81,0.0115111296862021
CCL20,0.61,0.0102035518362436
CASP-8,0.7,0.0091133523624883
128_TLT-2,0.64,0.008986345486879
148_TR-AP,0.91,0.0088468917898673
131_GIF,0.67,0.0085841194579838
189_KLK6,0.74,0.0083762135622126
FKBP7,0.71,0.0072142513586519
IL10.1,0.62,0.0071176882599958
DEFB4A,0.95,0.006488294239636
ARTN,0.86,0.0055005482164102
175_CHI3L1,0.78,0.0053596237199449
IL-2RB,0.82,0.0004248776388194
IL-22 RA1,0.72,0.0
