n_features,fold,roc_auc,average_precision,balanced_accuracy,accuracy,f1,precision,recall,sensitivity,specificity,brier_score
1,0,0.6130952380952381,0.633086837974056,0.6190476190476191,0.631578947368421,0.5333333333333333,0.5,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.24003008587142038
1,1,0.6785714285714285,0.6644840122283732,0.6488095238095238,0.631578947368421,0.5882352941176471,0.5,0.7142857142857143,0.7142857142857143,0.5833333333333334,0.3091888888888889
1,2,0.8214285714285715,0.8090659340659341,0.7440476190476191,0.7894736842105263,0.6666666666666666,0.8,0.5714285714285714,0.5714285714285714,0.9166666666666666,0.1573551307747346
1,3,0.8238636363636364,0.8226190476190476,0.7840909090909092,0.7894736842105263,0.75,0.75,0.75,0.75,0.8181818181818182,0.16501077777049908
1,4,0.7077922077922078,0.7331432573029211,0.6493506493506493,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7272727272727273,0.20203263978755254
1,5,0.6071428571428571,0.5388990094872448,0.5773809523809523,0.5789473684210527,0.5,0.4444444444444444,0.5714285714285714,0.5714285714285714,0.5833333333333334,0.3095777777777778
1,6,0.6785714285714285,0.7183473389355741,0.6190476190476191,0.631578947368421,0.5333333333333333,0.5,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.24644313266768292
1,7,0.8095238095238095,0.7611832611832612,0.6726190476190476,0.7368421052631579,0.5454545454545454,0.75,0.42857142857142855,0.42857142857142855,0.9166666666666666,0.19434762469347447
1,8,0.5284090909090908,0.5751132639290534,0.4602272727272727,0.47368421052631576,0.375,0.375,0.375,0.375,0.5454545454545454,0.290136868587696
1,9,0.7207792207792209,0.7138605442176871,0.6753246753246753,0.6666666666666666,0.625,0.5555555555555556,0.7142857142857143,0.7142857142857143,0.6363636363636364,0.2176762736500508
1,10,0.9047619047619048,0.8325396825396825,0.7440476190476191,0.7894736842105263,0.6666666666666666,0.8,0.5714285714285714,0.5714285714285714,0.9166666666666666,0.14868706782421473
1,11,0.7440476190476191,0.716017316017316,0.6309523809523809,0.6842105263157895,0.5,0.6,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.19429005230177934
1,12,0.6130952380952381,0.6239718614718615,0.5476190476190476,0.5789473684210527,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.22570671728337158
1,13,0.5397727272727273,0.5493119818777713,0.4431818181818182,0.47368421052631576,0.2857142857142857,0.3333333333333333,0.25,0.25,0.6363636363636364,0.33799977322295555
1,14,0.6493506493506493,0.7420918367346938,0.5584415584415584,0.5555555555555556,0.5,0.4444444444444444,0.5714285714285714,0.5714285714285714,0.5454545454545454,0.2789921978367507
2,0,0.8214285714285715,0.8412698412698412,0.7440476190476191,0.7894736842105263,0.6666666666666666,0.8,0.5714285714285714,0.5714285714285714,0.9166666666666666,0.1622222752438614
2,1,0.5892857142857143,0.5016570730856444,0.5892857142857143,0.631578947368421,0.46153846153846156,0.5,0.42857142857142855,0.42857142857142855,0.75,0.27875957876179686
2,2,0.8571428571428572,0.8274170274170274,0.6607142857142857,0.6842105263157895,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.75,0.1707274063674819
2,3,0.6704545454545454,0.7220760233918129,0.6306818181818181,0.631578947368421,0.5882352941176471,0.5555555555555556,0.625,0.625,0.6363636363636364,0.2240585249748321
2,4,0.6493506493506495,0.5834833933573429,0.6233766233766234,0.6666666666666666,0.5,0.6,0.42857142857142855,0.42857142857142855,0.8181818181818182,0.22855207490272145
2,5,0.6666666666666667,0.5544501133786848,0.6726190476190476,0.7368421052631579,0.5454545454545454,0.75,0.42857142857142855,0.42857142857142855,0.9166666666666666,0.2308637426900585
2,6,0.6309523809523809,0.5138037401195296,0.6488095238095238,0.631578947368421,0.5882352941176471,0.5,0.7142857142857143,0.7142857142857143,0.5833333333333334,0.24694343093592938
2,7,0.5714285714285714,0.4865362811791383,0.6309523809523809,0.6842105263157895,0.5,0.6,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.2539315789473684
2,8,0.6534090909090908,0.6411732456140351,0.6306818181818181,0.631578947368421,0.5882352941176471,0.5555555555555556,0.625,0.625,0.6363636363636364,0.24832640831370442
2,9,0.7402597402597403,0.754707792207792,0.6948051948051948,0.7222222222222222,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.8181818181818182,0.20088073881488622
2,10,0.6666666666666667,0.7402296951169132,0.6607142857142857,0.6842105263157895,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.75,0.21512434247216108
2,11,0.8452380952380952,0.8588744588744588,0.7142857142857143,0.7894736842105263,0.6,1.0,0.42857142857142855,0.42857142857142855,1.0,0.1557564040584162
2,12,0.6309523809523809,0.5445378151260505,0.5178571428571428,0.5789473684210527,0.3333333333333333,0.4,0.2857142857142857,0.2857142857142857,0.75,0.23288538011695908
2,13,0.5227272727272727,0.46783495196324143,0.5681818181818181,0.5789473684210527,0.5,0.5,0.5,0.5,0.6363636363636364,0.3454111111111111
2,14,0.7532467532467532,0.6246031746031746,0.6038961038961039,0.6111111111111112,0.5333333333333333,0.5,0.5714285714285714,0.5714285714285714,0.6363636363636364,0.22306084859041794
3,0,0.8214285714285714,0.8285714285714285,0.7321428571428572,0.7368421052631579,0.6666666666666666,0.625,0.7142857142857143,0.7142857142857143,0.75,0.1704511928352066
3,1,0.7857142857142858,0.706547619047619,0.6607142857142857,0.6842105263157895,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.75,0.18754573215089768
3,2,0.8333333333333333,0.8226190476190476,0.8035714285714286,0.7894736842105263,0.75,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.75,0.15082991193307907
