n_features,roc_auc_mean,roc_auc_std,roc_auc_pooled,average_precision_mean,average_precision_std,average_precision_pooled,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_pooled,accuracy_mean,accuracy_std,accuracy_pooled,f1_mean,f1_std,f1_pooled,precision_mean,precision_std,precision_pooled,recall_mean,recall_std,recall_pooled,sensitivity_mean,sensitivity_std,sensitivity_pooled,specificity_mean,specificity_std,specificity_pooled,brier_score_mean,brier_score_std,brier_score_pooled,pooled_youden_balanced_accuracy,pooled_youden_f1,youden_threshold
1,0.6960137085137086,0.10971768892129086,0.6865421455938697,0.6955823457056318,0.09538638122328348,0.5989622176027829,0.6249458874458874,0.0973264557576927,0.6248403575989783,0.645224171539961,0.10333485492151358,0.6453900709219859,0.5379602750190986,0.11828750459156485,0.5370370370370371,0.5568518518518517,0.15338656180311153,0.5370370370370371,0.5392857142857144,0.13636391244781665,0.5370370370370371,0.5392857142857144,0.13636391244781665,0.5370370370370371,0.7106060606060606,0.1357670934356937,0.7126436781609196,0.23449833392925662,0.05973933098101048,0.23451533354100634,0.6483077905491699,0.55,0.5961424661063319
2,0.6846139971139972,0.09964876356997132,0.671402724563644,0.6441769751136456,0.13662772979748797,0.5594645707916314,0.6393939393939393,0.05721273542070701,0.6414431673052363,0.6701754385964913,0.06671538181139651,0.6702127659574468,0.544218265394736,0.07917311045892526,0.5463414634146342,0.6047089947089948,0.1493306722206219,0.5773195876288659,0.5166666666666666,0.11017533953737955,0.5185185185185185,0.5166666666666666,0.11017533953737955,0.5185185185185185,0.7621212121212122,0.1229181883122751,0.764367816091954,0.22783358975344706,0.047513522875067674,0.22794354403341982,0.6561302681992337,0.5363128491620112,0.5753778849320004
3,0.7736652236652238,0.0642506925267306,0.7661770966368667,0.7408424296291943,0.0926802358360186,0.704048396974131,0.6922799422799422,0.07970041486963095,0.6930076628352491,0.7058479532163743,0.07405226928482113,0.7056737588652482,0.6200112649648254,0.1098914774024955,0.6244343891402715,0.6158104858104859,0.11327639653995332,0.6106194690265486,0.638095238095238,0.14608388167730432,0.6388888888888888,0.638095238095238,0.14608388167730432,0.6388888888888888,0.7464646464646464,0.09594915261771762,0.7471264367816092,0.18846915836851869,0.02807504402944616,0.188592872412412,0.7145593869731801,0.6582278481012658,0.441370712159317
4,0.7834415584415584,0.05263131937449702,0.7751702852277566,0.7625806113043508,0.08282311630681799,0.7174176720127854,0.6801046176046177,0.08984882133257971,0.6819923371647509,0.6986354775828458,0.09669648977794283,0.6985815602836879,0.6084297075473546,0.10997971490866894,0.6082949308755761,0.6333353683353683,0.15304072955802117,0.6055045871559633,0.6107142857142857,0.14192938539047434,0.6111111111111112,0.6107142857142857,0.14192938539047434,0.6111111111111112,0.7494949494949495,0.16028378458216697,0.7528735632183908,0.18590637204850796,0.025804367942705225,0.18593551520410878,0.7037037037037037,0.6231155778894473,0.5588275209037447
5,0.796933621933622,0.06389455291608918,0.797520221370796,0.7739378610807182,0.08242156613772,0.7525890295835194,0.688961038961039,0.08795863283636951,0.691890166028097,0.7015594541910333,0.09720041819725486,0.7021276595744681,0.625312552371376,0.09873330883395137,0.625,0.6422222222222221,0.15546990503766955,0.603448275862069,0.6476190476190475,0.12990848614167952,0.6481481481481481,0.6476190476190475,0.12990848614167952,0.6481481481481481,0.7303030303030302,0.16174350142082788,0.735632183908046,0.1776444055749432,0.025339668901613294,0.17755455419717656,0.7343550446998723,0.6666666666666666,0.544210592128687
6,0.8001082251082251,0.07649822375181216,0.8080566198382291,0.7778384057585738,0.08016322830518158,0.7591768414304133,0.708531746031746,0.06834569720726077,0.7108876117496807,0.7231968810916178,0.0676829233359134,0.723404255319149,0.6384751305339541,0.09632647010825292,0.6454545454545455,0.6642736892736891,0.13156645049008037,0.6339285714285714,0.655952380952381,0.15992816049993844,0.6574074074074074,0.655952380952381,0.15992816049993844,0.6574074074074074,0.761111111111111,0.13074232135599628,0.764367816091954,0.1730460699980491,0.029289658619989407,0.17289912173719446,0.7203065134099617,0.6638297872340425,0.44454576494132614
7,0.790981240981241,0.06531354432438521,0.7895647083865475,0.7513434317005744,0.086100051986359,0.7360296485814503,0.6637265512265512,0.08393583463357485,0.6658684546615581,0.6803118908382066,0.07719256052474074,0.6808510638297872,0.5776222796811032,0.13188888918532135,0.5909090909090909,0.609179894179894,0.1393519061107436,0.5803571428571429,0.6011904761904762,0.18430423626796216,0.6018518518518519,0.6011904761904762,0.18430423626796216,0.6018518518518519,0.7262626262626263,0.12960862319879077,0.7298850574712644,0.18197315951735693,0.02813923818259552,0.18186448666554889,0.6997126436781609,0.6666666666666666,0.22896003028317968
8,0.7962121212121213,0.06750598831926045,0.7955512984248616,0.7705720536077679,0.06781065274204658,0.7424210233597545,0.6856601731601732,0.08467794716890134,0.6877394636015326,0.7052631578947367,0.08340987851807972,0.7056737588652482,0.6078768399356635,0.1096483087610161,0.6139534883720931,0.6447089947089947,0.13991053358488523,0.616822429906542,0.6107142857142857,0.16116716237312503,0.6111111111111112,0.6107142857142857,0.16116716237312503,0.6111111111111112,0.7606060606060606,0.1322677312197705,0.764367816091954,0.1770364699230712,0.02791057203653684,0.17699729531776914,0.7094508301404854,0.6294416243654822,0.564544704532702
9,0.8015151515151515,0.07407978447974764,0.8070455512984249,0.7526112412719554,0.10556022057454774,0.7459462992154487,0.6955447330447331,0.07372046225524034,0.6981162196679438,0.7159844054580895,0.06369655909955892,0.7163120567375887,0.6135486300192182,0.12948355268671044,0.6261682242990654,0.6363227513227513,0.0958583434108045,0.6320754716981132,0.6178571428571428,0.1693808395441017,0.6203703703703703,0.6178571428571428,0.1693808395441017,0.6203703703703703,0.7732323232323232,0.10262152589311914,0.7758620689655172,0.17219259346226193,0.02839670729125135,0.17206475545481598,0.7244572158365261,0.6872852233676976,0.28092216195857095
10,0.8255772005772005,0.07050896552186252,0.8255640698169434,0.7750961108996822,0.09246515784041913,0.7567227042275833,0.6974386724386725,0.09249620833222541,0.6992337164750958,0.7198830409356725,0.08850387090077912,0.7198581560283688,0.6200321075553273,0.12791508156036122,0.6255924170616114,0.6608874458874457,0.14900478447080207,0.6407766990291263,0.6095238095238095,0.16544437613222268,0.6111111111111112,0.6095238095238095,0.16544437613222268,0.6111111111111112,0.7853535353535352,0.12678822781164797,0.7873563218390804,0.16490062991917298,0.028425801935746207,0.16480148289668525,0.7464878671775224,0.6984126984126984,0.3769576701492708
