feature,stability_frequency,rf_importance
162_U-PAR,0.85,0.06763786322245378
LAMP3,0.84,0.059558194336073164
153_THBS2,0.71,0.05715984999853565
123_LTBR,0.85,0.04951419733123175
EZR,0.74,0.04689746411229009
LILRB4,0.8,0.04635799066072285
LAG3,0.91,0.04262983438306248
181_BNP,0.71,0.04237722866402587
CST5,0.8,0.03926552358721143
CDH15,0.79,0.03630467317559761
185_CTSZ,0.61,0.03589278131509185
FCRL6,0.65,0.032809282665196275
159_TNFSF13B,0.68,0.030165191258333144
NEFL,0.99,0.0286380033608605
KLRD1,0.6,0.027779181755905158
IL6,0.66,0.025894299105903594
108_ADAM-TS13,0.61,0.024939742453367345
PD-L1,0.74,0.02452379128706541
148_TR-AP,0.88,0.024237665127335373
184_PD-L2,0.77,0.023980384932173016
138_DLK-1,0.68,0.021401330849966003
LY75,0.83,0.02133187869392649
sFRP-3,0.7,0.021231577872368807
124_IL1RL2,0.64,0.02109818934765857
156_MMP-2,0.76,0.02060294160666084
TGF-alpha,0.65,0.019989505940751415
DUSP3,0.76,0.019199979273901383
169_IL-1RT2,0.71,0.018979110815946863
RNF31,0.81,0.018443851289153518
HNMT,0.7,0.017778660085146242
102_LDL receptor,0.77,0.015515262250147353
GPNMB,0.8,0.00913561509891943
IL-2RB,0.96,0.00872895414301688
