feature,stability_frequency,rf_importance
135_GDF-15,0.97,0.06102604706209786
CKAP4,0.86,0.0609295338361029
162_U-PAR,0.85,0.0549606391919622
179_EGFR,0.98,0.050950182743579375
114_CSTB,0.77,0.048603892208024475
ATP6V1F,0.99,0.042076145457338766
IFI30,0.83,0.04149677630805215
BCAN,0.98,0.032359145721442314
107_PlGF,0.81,0.031233569644207256
177_FABP2,1.0,0.02570377325764605
159_XCL1,0.87,0.02368951536412029
139_FGF-23,0.68,0.022773572347810012
FLRT2,0.61,0.022477591319262198
NRP2,0.66,0.0195280214968822
PSG1,0.97,0.019035498699306954
116_IDUA,0.93,0.018418516842820365
ANXA10,0.77,0.01749896231643254
CD200R1,0.83,0.017399226757916372
TNFRSF13C,0.67,0.01720715780099922
RPS6KB1,0.93,0.017011632305505238
167_MMP-7,0.71,0.016996453983698565
IL-10RB,0.61,0.01675442455465004
Alpha-2-MRAP,0.95,0.016293746786717727
140_SPON2,0.68,0.01627586130385458
IL10,0.81,0.016098762072162733
IL-17C,0.73,0.016071564598081723
DPEP1,0.69,0.015909808649957162
WFIKKN1,0.77,0.015017163452656052
169_IL-1RT2,0.83,0.014258532818838212
DFFA,0.61,0.013353996851949193
138_DLK-1,0.65,0.013328997472883627
148_TR-AP,0.82,0.013298004644367704
134_TNFRSF10C,0.61,0.01279243823153928
186_MMP-3,0.77,0.01268303535326308
145_PAPPA,0.84,0.012678182240272446
CD83,0.79,0.012658596349438068
IL-20RA,0.98,0.01187922729940199
IL10.1,0.72,0.01183855131193961
CCL20,0.64,0.011194963716916901
DEFB4A,0.69,0.010965403139115652
CXCL12,0.89,0.010931836572055697
CDH17,0.77,0.010555743819113478
PTS,0.86,0.010554737340262774
NTRK3,0.68,0.010236220706559745
149_CCL22,0.76,0.010007606676902677
DSG3,0.89,0.007564019904467184
IL5,0.79,0.006394636888694704
FCAR,0.66,0.004823137942674988
NRTN,0.79,0.004204944636055707
