threshold,n,n_positive,roc_auc,average_precision,brier_score,balanced_accuracy,accuracy,precision,recall,sensitivity,specificity,f1,confusion_matrix,fold,best_params,inner_best_score,n_selected_features,train_brier,val_brier
0.5,19,11,0.8181818181818181,0.860368196865523,0.18574862438924047,0.7670454545454546,0.7894736842105263,0.7692307692307693,0.9090909090909091,0.9090909090909091,0.625,0.8333333333333334,"{'tn': 5, 'fp': 3, 'fn': 1, 'tp': 10}",0,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9148148148148149,35,0.02233529306311339,0.18574862438924047
0.5,19,11,0.6931818181818181,0.7740863867658127,0.224059649122807,0.6590909090909092,0.6842105263157895,0.6923076923076923,0.8181818181818182,0.8181818181818182,0.5,0.75,"{'tn': 4, 'fp': 4, 'fn': 2, 'tp': 9}",1,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8925925925925927,36,0.020346814814814818,0.224059649122807
0.5,19,11,0.5909090909090909,0.7804649829171361,0.2529508771929824,0.42613636363636365,0.47368421052631576,0.5333333333333333,0.7272727272727273,0.7272727272727273,0.125,0.6153846153846154,"{'tn': 1, 'fp': 7, 'fn': 3, 'tp': 8}",2,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.937037037037037,44,0.01703140740740741,0.2529508771929824
0.5,19,12,0.6428571428571428,0.7385025853775854,0.22172182488639328,0.5892857142857143,0.631578947368421,0.6923076923076923,0.75,0.75,0.42857142857142855,0.72,"{'tn': 3, 'fp': 4, 'fn': 3, 'tp': 9}",3,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.9407407407407409,40,0.044068157994287704,0.22172182488639328
0.5,18,11,0.7012987012987013,0.7978117841754206,0.19530802469135802,0.6688311688311688,0.7222222222222222,0.7142857142857143,0.9090909090909091,0.9090909090909091,0.42857142857142855,0.8,"{'tn': 3, 'fp': 4, 'fn': 1, 'tp': 10}",4,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9071428571428571,43,0.01955248538011696,0.19530802469135802
0.5,19,11,0.8295454545454545,0.8897564853447206,0.1732625730994152,0.7670454545454546,0.7894736842105263,0.7692307692307693,0.9090909090909091,0.9090909090909091,0.625,0.8333333333333334,"{'tn': 5, 'fp': 3, 'fn': 1, 'tp': 10}",5,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9407407407407409,39,0.020794074074074076,0.1732625730994152
0.5,19,11,0.7727272727272727,0.8179800294773558,0.19377663318556743,0.6477272727272727,0.631578947368421,0.75,0.5454545454545454,0.5454545454545454,0.75,0.631578947368421,"{'tn': 6, 'fp': 2, 'fn': 5, 'tp': 6}",6,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.9222222222222222,45,0.04619907565169562,0.19377663318556743
0.5,19,11,0.5738636363636365,0.7141053391053391,0.26742163742690056,0.5795454545454546,0.631578947368421,0.625,0.9090909090909091,0.9090909090909091,0.25,0.7407407407407407,"{'tn': 2, 'fp': 6, 'fn': 1, 'tp': 10}",7,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9277777777777778,43,0.01936992592592593,0.26742163742690056
0.5,19,12,0.6845238095238095,0.8130494505494505,0.21657251461988306,0.6309523809523809,0.6842105263157895,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.42857142857142855,0.7692307692307693,"{'tn': 3, 'fp': 4, 'fn': 2, 'tp': 10}",8,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9078042328042327,50,0.01995244444444444,0.21657251461988306
0.5,18,11,0.7532467532467533,0.845216681714008,0.2046283950617284,0.551948051948052,0.6111111111111112,0.6428571428571429,0.8181818181818182,0.8181818181818182,0.2857142857142857,0.72,"{'tn': 2, 'fp': 5, 'fn': 2, 'tp': 9}",9,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9296296296296298,40,0.02020804093567251,0.2046283950617284
0.5,19,11,0.8409090909090908,0.8876691490327854,0.18370526315789476,0.7215909090909092,0.7368421052631579,0.75,0.8181818181818182,0.8181818181818182,0.625,0.782608695652174,"{'tn': 5, 'fp': 3, 'fn': 2, 'tp': 9}",10,"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 300}",0.962962962962963,39,0.01834607407407407,0.18370526315789476
0.5,19,11,0.7102272727272727,0.7982446846083211,0.22314736842105262,0.5852272727272727,0.5789473684210527,0.6666666666666666,0.5454545454545454,0.5454545454545454,0.625,0.6,"{'tn': 5, 'fp': 3, 'fn': 5, 'tp': 6}",11,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.888888888888889,38,0.019944592592592594,0.22314736842105262
0.5,19,11,0.7727272727272727,0.8446871310507673,0.1839543859649123,0.7215909090909092,0.7368421052631579,0.75,0.8181818181818182,0.8181818181818182,0.625,0.782608695652174,"{'tn': 5, 'fp': 3, 'fn': 2, 'tp': 9}",12,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8648148148148149,35,0.02196148148148148,0.1839543859649123
0.5,19,12,0.869047619047619,0.9210559728942083,0.15651923462985942,0.6011904761904762,0.6842105263157895,0.6875,0.9166666666666666,0.9166666666666666,0.2857142857142857,0.7857142857142857,"{'tn': 2, 'fp': 5, 'fn': 1, 'tp': 11}",13,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.903968253968254,44,0.023443365098183483,0.15651923462985942
0.5,18,11,0.7662337662337663,0.8095911960885224,0.19843040802060916,0.7402597402597402,0.7777777777777778,0.7692307692307693,0.9090909090909091,0.9090909090909091,0.5714285714285714,0.8333333333333334,"{'tn': 4, 'fp': 3, 'fn': 1, 'tp': 10}",14,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 300}",0.9566137566137567,35,0.02112676029154128,0.19843040802060916
