feature,mean_selection_freq,selected_in_n_folds
177_FABP2,0.9566666666666667,15
135_GDF-15,0.9180000000000003,15
179_EGFR,0.906,15
BCAN,0.892,15
Alpha-2-MRAP,0.8673333333333335,15
IL-20RA,0.8286666666666667,14
PSG1,0.8286666666666667,14
RPS6KB1,0.7773333333333334,14
IL10,0.6486666666666667,13
116_IDUA,0.7913333333333334,12
ATP6V1F,0.7900000000000001,12
DSG3,0.7033333333333333,11
114_CSTB,0.696,10
162_U-PAR,0.674,10
ANXA10,0.634,10
107_PlGF,0.6326666666666667,10
CDH17,0.5973333333333334,10
NRTN,0.5860000000000001,10
IFI30,0.664,9
IL-17C,0.6346666666666666,9
PTS,0.6326666666666667,9
CXCL12,0.6153333333333334,9
CKAP4,0.6586666666666667,8
145_PAPPA,0.62,8
CD83,0.6153333333333334,8
186_MMP-3,0.6000000000000001,8
159_XCL1,0.5966666666666668,8
169_IL-1RT2,0.5913333333333333,8
CD200R1,0.6126666666666668,7
140_SPON2,0.5786666666666666,7
IL5,0.55,7
DPEP1,0.4799999999999999,7
167_MMP-7,0.5980000000000001,6
NRP2,0.538,6
IL10.1,0.5306666666666666,6
148_TR-AP,0.4933333333333334,6
138_DLK-1,0.48200000000000004,6
FCAR,0.4653333333333334,6
TNFRSF13C,0.43599999999999994,6
138_CTRC,0.49,5
CCL20,0.4626666666666666,5
DEFB4A,0.45333333333333325,5
FLRT2,0.444,5
WFIKKN1,0.5373333333333333,4
139_FGF-23,0.498,4
DFFA,0.43600000000000005,4
UBE2F,0.4053333333333333,4
MCP-3,0.39399999999999996,4
IL-10RB,0.39333333333333337,4
CRTAM,0.38999999999999996,4
CST5,0.38400000000000006,4
152_TIM,0.35799999999999993,4
143_RETN,0.33999999999999997,4
IL-5R-alpha,0.3293333333333333,4
149_CCL22,0.5013333333333334,3
NTRK3,0.46599999999999997,3
ROBO2,0.4293333333333333,3
CLSTN1,0.42666666666666664,3
FKBP7,0.42,3
ITGB6,0.4066666666666667,3
SRP14,0.3773333333333334,3
123_LTBR,0.36599999999999994,3
158_MB,0.36266666666666675,3
TRANCE,0.36199999999999993,3
IKZF2,0.34,3
CCL3,0.31933333333333336,3
KLB,0.2433333333333333,3
sFRP-3,0.22399999999999995,3
107_MMP-9,0.21,3
TNF,0.41800000000000004,2
176_GDF-2,0.38933333333333336,2
4E-BP1,0.38399999999999995,2
184_PON3,0.3733333333333333,2
TSLP,0.36866666666666664,2
HGF,0.364,2
185_CTSZ,0.35866666666666674,2
Flt3L,0.34800000000000003,2
CTF1,0.344,2
SIT1,0.33066666666666666,2
BTN3A2,0.32800000000000007,2
120_MEPE,0.328,2
196_CCL16,0.32000000000000006,2
101_TNFRSF14,0.31133333333333335,2
163_OPN,0.3026666666666667,2
CXCL6,0.2986666666666666,2
MAPT,0.29800000000000004,2
PADI2,0.29266666666666663,2
188_TGM2,0.286,2
Nr-CAM,0.2859999999999999,2
NCAN,0.2826666666666667,2
141_GH,0.2813333333333333,2
CLEC4C,0.2653333333333333,2
LAG3,0.24866666666666665,2
102_LDL receptor,0.24000000000000005,2
142_IL-6RA,0.23066666666666671,2
120_TRAIL-R2,0.23,2
DUSP3,0.22933333333333333,2
SH2D1A,0.22666666666666668,2
AOC1,0.21866666666666665,2
179_MARCO,0.21333333333333332,2
