outcome,n_samples,n_positive,prevalence,n_total_features,best_k_auc,best_auc_mean,best_k_balanced_accuracy,best_balanced_accuracy_mean,best_k_f1,best_f1_mean,best_k_average_precision,best_average_precision_mean,elapsed_seconds
Within1Yr,94,17,0.18085106382978725,33,13,0.8666666666666667,6,0.7230555555555557,14,0.5111111111111112,13,0.7114508177008178,299.24032640457153
Within2Yr,94,32,0.3404255319148936,50,42,0.8776149776149775,3,0.7478327228327228,3,0.6498544048544049,20,0.8009891871796634,463.50357580184937
Within3Yr,94,36,0.3829787234042553,48,34,0.8984126984126983,23,0.7523268398268397,24,0.6826376891082774,23,0.855380621362764,445.0279326438904
Within4Yr,94,43,0.4574468085106383,38,16,0.892415824915825,17,0.8125084175084175,17,0.7848543303961263,15,0.9017083274578117,350.1510660648346
Within5Yr,94,47,0.5,46,46,0.8775720164609055,8,0.8037037037037038,8,0.8072858617131063,46,0.9052933650106851,426.4042224884033
Within6Yr,94,53,0.5638297872340425,50,41,0.8755345117845117,13,0.7964225589225589,13,0.8236362381579773,41,0.9204857098734105,466.28259229660034
Within7Yr,94,56,0.5957446808510638,49,26,0.8976190476190476,19,0.8104978354978355,46,0.8630226681531031,21,0.9364666465632787,454.4272880554199
