feature,mean_selection_freq,selected_in_n_folds
CD83,0.9506666666666667,15
188_ICAM-2,0.9486666666666668,15
MCP-3,0.8813333333333334,14
LAG3,0.8599999999999999,14
CD200R1,0.8553333333333332,14
BTN3A2,0.8393333333333335,14
PSG1,0.8059999999999998,13
SH2D1A,0.7686666666666665,12
DSG3,0.7260000000000001,12
148_TR-AP,0.7433333333333333,11
BCAN,0.7293333333333333,11
CCL20,0.5579999999999999,11
162_U-PAR,0.696,10
175_CHI3L1,0.6773333333333333,10
NAAA,0.6266666666666667,10
IL-22 RA1,0.5153333333333333,10
IL-5R-alpha,0.6553333333333333,9
159_XCL1,0.6226666666666668,9
ITGB6,0.5493333333333335,9
CD63,0.6686666666666667,8
196_CCL16,0.6293333333333334,8
CST5,0.6093333333333334,8
ARTN,0.5366666666666667,7
179_EGFR,0.518,7
LY75,0.596,6
128_TLT-2,0.5393333333333333,6
157_PRELP,0.5393333333333333,6
TGF-alpha,0.5280000000000001,6
Nr-CAM,0.4686666666666667,6
153_THBS2,0.46,6
IRF9,0.43066666666666664,6
135_GDF-15,0.418,6
IL-20RA,0.5693333333333334,5
WFIKKN1,0.4993333333333334,5
170_DCN,0.4600000000000001,5
IL-2RB,0.452,5
DCBLD2,0.44599999999999995,5
CD200,0.42066666666666663,5
183_COL1A1,0.4613333333333334,4
143_RETN,0.46066666666666667,4
139_FGF-23,0.4386666666666666,4
CXCL12,0.4366666666666666,4
114_CSTB,0.428,4
112_IL-1ra,0.392,4
177_FABP2,0.388,4
CCL3,0.37533333333333335,4
176_GDF-2,0.3713333333333334,4
PHOSPHO1,0.36200000000000004,4
IL33,0.45000000000000007,3
Alpha-2-MRAP,0.42133333333333334,3
CCL11,0.41333333333333333,3
129_FABP4,0.4073333333333332,3
167_MMP-7,0.3966666666666668,3
107_PlGF,0.39199999999999996,3
DEFB4A,0.38466666666666677,3
169_IL-1RT2,0.36600000000000005,3
HMOX2,0.3426666666666666,3
109_IL2-RA,0.3266666666666666,3
138_DLK-1,0.30466666666666664,3
103_ADM,0.2973333333333334,3
TNFRSF12A,0.292,3
116_IDUA,0.26999999999999996,3
ING1,0.25999999999999995,3
UBE2F,0.44266666666666665,2
HGF,0.4313333333333333,2
131_GIF,0.37533333333333335,2
186_MMP-3,0.374,2
145_PAPPA,0.36866666666666664,2
155_VSIG2,0.3646666666666666,2
PTS,0.36266666666666664,2
IL10.1,0.3453333333333333,2
120_MEPE,0.3413333333333334,2
NTRK3,0.3413333333333333,2
IL-10RB,0.32866666666666666,2
SKR3,0.3206666666666667,2
CSF-1,0.31733333333333336,2
FKBP7,0.31,2
166_CCL3,0.30733333333333335,2
CLEC4A,0.30599999999999994,2
CCL25,0.30333333333333334,2
PAEP,0.28800000000000003,2
FGF-5,0.2773333333333333,2
CLEC1B,0.2766666666666666,2
GPNMB,0.2693333333333333,2
IL2,0.2653333333333333,2
140_SPON2,0.26266666666666666,2
Flt3L,0.25466666666666665,2
IKZF2,0.22733333333333333,2
FGF-19,0.22533333333333336,2
HSP90B1,0.22533333333333333,2
TNFRSF21,0.224,2
103_ITGB2,0.21,2
SIGLEC1,0.2046666666666667,2
AOC1,0.2013333333333333,2
128_CXCL1,0.19333333333333333,2
116_CD163,0.18799999999999997,2
G-CSF,0.18333333333333332,2
191_HSP 27,0.15666666666666668,2
KIR2DL3,0.3526666666666667,1
NRTN,0.3406666666666667,1
LILRB4,0.326,1
CLEC4C,0.30866666666666664,1
CCL19,0.2913333333333333,1
184_PON3,0.2906666666666667,1
ROBO2,0.29066666666666663,1
102_LDL receptor,0.2853333333333333,1
FGF-23,0.2826666666666667,1
185_CTSZ,0.27733333333333327,1
DUSP3,0.27733333333333327,1
NXPH1,0.2753333333333334,1
GGT5,0.27266666666666667,1
CTF1,0.2673333333333333,1
MASP1,0.2653333333333333,1
ATP6V1F,0.26266666666666666,1
110_OPG,0.2613333333333333,1
109_Protein BOC,0.2566666666666667,1
VSTM1,0.23600000000000002,1
141_GH,0.228,1
MAPT,0.224,1
KLB,0.222,1
151_MERTK,0.22,1
IL-20,0.2173333333333333,1
HNMT,0.21666666666666667,1
PPP3R1,0.214,1
N-CDase,0.21133333333333332,1
131_PAI,0.20800000000000002,1
CCL27,0.206,1
ASGR1,0.2053333333333333,1
LAIR-2,0.2006666666666667,1
CNTN5,0.20066666666666666,1
CDH15,0.2,1
CLEC4D,0.198,1
RGMA,0.192,1
ISLR2,0.19199999999999998,1
IL4,0.19133333333333338,1
CDH6,0.19,1
TREM1,0.18533333333333335,1
CXCL6,0.17933333333333337,1
CRTAM,0.1766666666666667,1
SMOC2,0.1753333333333333,1
CD6,0.17,1
PLA2G10,0.16533333333333336,1
120_TRAIL-R2,0.164,1
TRIM21,0.15933333333333335,1
CXCL9,0.15733333333333333,1
CLM-6,0.1566666666666667,1
138_CTRC,0.152,1
108_ADAM-TS13,0.15,1
GALNT3,0.14466666666666667,1
TN-R,0.138,1
IL-24,0.1366666666666667,1
182_MMP-12,0.13466666666666666,1
LIF,0.12733333333333335,1
NEFL,0.12733333333333335,1
140_MPO,0.126,1
181_CD93,0.11733333333333333,1
TPSAB1,0.11666666666666671,1
EREG,0.10133333333333333,1
CASP-8,0.09800000000000002,1
IL10,0.3373333333333334,0
GZMA,0.31666666666666665,0
ADAM 22,0.26666666666666666,0
160_PRTN3,0.2573333333333333,0
178_SCGB3A2,0.254,0
CDH17,0.25399999999999995,0
142_FS,0.24800000000000005,0
IL-18R1,0.24666666666666665,0
CLEC6A,0.246,0
ITGA11,0.24066666666666667,0
IL5,0.23066666666666663,0
156_AMBP,0.228,0
188_TGM2,0.22533333333333333,0
163_OPN,0.22466666666666668,0
RSPO1,0.22000000000000006,0
TPPP3,0.21733333333333332,0
IL-10RA,0.2113333333333333,0
190_CA5A,0.20800000000000002,0
RNF31,0.20600000000000002,0
142_IL-6RA,0.204,0
KPNA1,0.19933333333333333,0
NRP2,0.19799999999999998,0
NTF4,0.19666666666666666,0
ECE1,0.19400000000000003,0
190_PDGF subunit A,0.19333333333333333,0
105_IL-17RA,0.19066666666666665,0
KLRD1,0.18866666666666668,0
DPEP1,0.18866666666666668,0
CD33,0.18800000000000003,0
NFATC3,0.18600000000000003,0
IL-17C,0.184,0
CCL11.1,0.18333333333333332,0
CEACAM3,0.17866666666666667,0
118_GRN,0.17800000000000002,0
CLEC4G,0.17733333333333332,0
VEGFA,0.17466666666666666,0
GM-CSF-R-alpha,0.17466666666666666,0
MCP-2,0.16800000000000004,0
172_LPL,0.16466666666666668,0
CD244,0.16200000000000003,0
ARNT,0.16066666666666668,0
134_TNFRSF10C,0.16,0
164_CTSD,0.1593333333333333,0
ANXA10,0.15733333333333333,0
FCAR,0.15600000000000006,0
RPS6KB1,0.15333333333333335,0
185_CTSL1,0.15066666666666667,0
145_CHIT1,0.15,0
IFI30,0.15,0
DDR1,0.14933333333333332,0
HSD11B1,0.14866666666666667,0
107_MMP-9,0.14866666666666664,0
CCL23,0.14733333333333334,0
TDGF1,0.14533333333333334,0
161_PCSK9,0.14400000000000002,0
TRAIL,0.14333333333333334,0
MMP-10,0.14200000000000002,0
EIF5A,0.14133333333333334,0
FCRL6,0.14133333333333334,0
MMP-1,0.14133333333333334,0
CRIP2,0.13933333333333336,0
149_CCL22,0.1366666666666667,0
134_FGF-21,0.1366666666666667,0
JAM-B,0.136,0
IL12RB1,0.13466666666666668,0
170_SHPS-1,0.13466666666666666,0
168_IgG Fc receptor II-b,0.13333333333333336,0
164_PSGL-1,0.13200000000000003,0
189_KLK6,0.12866666666666668,0
N2DL-2,0.12866666666666668,0
NT-3,0.12666666666666668,0
EDA2R,0.126,0
133_TR,0.12533333333333335,0
122_TIE2,0.12533333333333335,0
FLRT2,0.12466666666666668,0
136_SELE,0.12400000000000003,0
124_Notch 3,0.12400000000000001,0
sFRP-3,0.12400000000000001,0
PRDX3,0.12333333333333334,0
160_IL16,0.12200000000000003,0
194_VEGF-D,0.12133333333333333,0
IFNL1,0.12133333333333333,0
CXADR,0.11933333333333335,0
152_Ep-CAM,0.11533333333333334,0
EDAR,0.11466666666666668,0
SMOC1,0.11466666666666668,0
176_ST2,0.114,0
SCF,0.11333333333333336,0
CPA2,0.11333333333333336,0
NBL1,0.11266666666666668,0
149_REN,0.11200000000000002,0
132_CCL24,0.11133333333333334,0
CXCL5,0.11133333333333333,0
193_vWF,0.10933333333333335,0
CTSC,0.10933333333333334,0
CLEC7A,0.10866666666666669,0
148_SERPINA12,0.10800000000000003,0
IL7,0.10666666666666669,0
168_Gal-4,0.10533333333333333,0
EPHA10,0.10466666666666669,0
NEP,0.10466666666666669,0
156_MMP-2,0.10400000000000002,0
136_RAGE,0.10400000000000002,0
ITM2A,0.10266666666666668,0
187_TNFRSF13B,0.10266666666666667,0
NCAN,0.10133333333333333,0
CDSN,0.1006666666666667,0
123_LTBR,0.09933333333333333,0
187_RARRES2,0.09933333333333333,0
184_PD-L2,0.09866666666666668,0
FGFR2,0.09800000000000002,0
HAGH,0.09733333333333334,0
CPM,0.09733333333333334,0
113_IL-6,0.09666666666666668,0
ABHD14B,0.09666666666666668,0
171_CCL15,0.09533333333333335,0
173_uPA,0.09466666666666669,0
SNCG,0.09133333333333335,0
SMPD1,0.09133333333333334,0
ADGRB3,0.09,0
FcRL2,0.08933333333333335,0
Beta-NGF.1,0.08933333333333333,0
IL-1 alpha,0.08933333333333332,0
DDX58,0.08866666666666667,0
101_TNFRSF14,0.08800000000000002,0
143_GLO1,0.08800000000000002,0
TSLP,0.08800000000000002,0
IL15,0.08733333333333333,0
CARHSP1,0.08733333333333333,0
189_LEP,0.08666666666666668,0
GDNF,0.08600000000000001,0
PLXNA4,0.08533333333333333,0
COL4A3BP,0.08400000000000002,0
PTH1R,0.084,0
IL32,0.084,0
CXCL11,0.08200000000000002,0
117_Gal-3,0.082,0
BMP-4,0.08000000000000002,0
IFN-gamma,0.07933333333333334,0
ADA,0.078,0
IL6,0.07733333333333334,0
183_ACE2,0.07666666666666667,0
124_IL1RL2,0.07600000000000001,0
PIK3AP1,0.07600000000000001,0
STC1,0.07600000000000001,0
CTSS,0.07600000000000001,0
177_t-PA,0.076,0
MILR1,0.07400000000000002,0
139_SPON1,0.07400000000000001,0
186_hOSCAR,0.07400000000000001,0
LAMP3,0.07400000000000001,0
GDNFR-alpha-3,0.07400000000000001,0
166_CPA1,0.07266666666666667,0
KIRREL2,0.07266666666666667,0
135_PIgR,0.07200000000000002,0
CLEC10A,0.07200000000000001,0
GLB1,0.07133333333333333,0
uPA,0.07066666666666667,0
4E-BP1,0.07,0
IL-17A,0.06933333333333333,0
HCLS1,0.06866666666666667,0
PLXNB1,0.06866666666666667,0
IL18,0.068,0
MCP-1,0.06733333333333334,0
CADM3,0.06733333333333334,0
IL13,0.066,0
CETN2,0.066,0
MDGA1,0.06533333333333334,0
RBKS,0.06466666666666668,0
ADAM15,0.06466666666666666,0
FCRL3,0.06200000000000001,0
OPG,0.06200000000000001,0
IL-15RA,0.06133333333333334,0
IL5.1,0.060666666666666674,0
CLM-1,0.060666666666666674,0
163_PTX3,0.06066666666666667,0
MCP-4,0.06000000000000001,0
194_PECAM-1,0.060000000000000005,0
181_BNP,0.058666666666666666,0
KRT19,0.058,0
PADI2,0.05600000000000001,0
Beta-NGF,0.05600000000000001,0
TNFRSF13C,0.05533333333333334,0
SLAMF1,0.05466666666666666,0
PTPN1,0.05400000000000002,0
FGF-21,0.054000000000000006,0
TNFB,0.053333333333333344,0
CCL28,0.05333333333333334,0
Siglec-9,0.05333333333333334,0
158_MB,0.052666666666666674,0
179_MARCO,0.05266666666666667,0
DNER,0.05266666666666666,0
153_AP-N,0.05200000000000001,0
127_CDH5,0.05133333333333335,0
IL3RA,0.05133333333333334,0
195_PARP-1,0.051333333333333335,0
PD-L1,0.051333333333333335,0
150_PSP-D,0.05066666666666667,0
133_IL-18,0.05066666666666667,0
PRTG,0.04933333333333334,0
121_BLM hydrolase,0.04866666666666667,0
IFNLR1,0.04866666666666667,0
GCP5,0.04866666666666667,0
EPHB6,0.048666666666666664,0
174_AGRP,0.047333333333333345,0
CD28,0.046666666666666676,0
OSM,0.046666666666666676,0
TNF,0.04666666666666667,0
130_TFPI,0.04666666666666666,0
LAP TGF-beta-1,0.04666666666666666,0
174_CPB1,0.04600000000000001,0
158_HO-1,0.045333333333333344,0
MSR1,0.044666666666666674,0
178_THPO,0.043333333333333335,0
FAM3B,0.04266666666666667,0
FUT8,0.04266666666666667,0
CD302,0.04200000000000001,0
122_PLC,0.04133333333333334,0
132_SCF,0.03933333333333334,0
106_SLAMF7,0.038666666666666676,0
ST1A1,0.03866666666666667,0
126_IL27,0.03866666666666666,0
137_AZU1,0.038,0
SFRP1,0.037333333333333336,0
SCARB2,0.037333333333333336,0
121_PRSS27,0.03666666666666667,0
NDRG1,0.03666666666666667,0
127_IL-17D,0.036000000000000004,0
IL12,0.036000000000000004,0
173_PRSS8,0.03533333333333334,0
DAPP1,0.03533333333333334,0
CCL4,0.03466666666666667,0
EN-RAGE,0.034666666666666665,0
GDNF.1,0.034666666666666665,0
TMPRSS5,0.034666666666666665,0
161_SORT1,0.034,0
FKBP5,0.034,0
PPP1R9B,0.03266666666666667,0
CLSTN1,0.03266666666666666,0
MATN3,0.03266666666666666,0
115_MCP-1,0.03200000000000001,0
115_STK4,0.03133333333333334,0
180_GT,0.03133333333333334,0
FGF2,0.03133333333333334,0
MANF,0.03133333333333334,0
141_CXCL16,0.03133333333333333,0
118_PAR-1,0.03133333333333333,0
PRDX1,0.030666666666666665,0
DGKZ,0.030000000000000006,0
144_IGFBP-1,0.030000000000000002,0
JUN,0.029333333333333333,0
DRAXIN,0.028666666666666674,0
GSTP1,0.02866666666666667,0
PVR,0.02866666666666667,0
CD40,0.028000000000000004,0
125_PDGF subunit B,0.026000000000000002,0
165_CCL17,0.026000000000000002,0
169_ITGB1BP2,0.026000000000000002,0
SPRY2,0.026000000000000002,0
126_CNTN1,0.025333333333333336,0
114_TNFRSF10A,0.025333333333333333,0
PSME1,0.025333333333333333,0
AKT1S1,0.024666666666666667,0
102_ANG-1,0.024,0
137_SOD2,0.024,0
196_HAOX1,0.024,0
CXCL1,0.02333333333333333,0
GDF-8,0.02333333333333333,0
MGMT,0.022666666666666672,0
TRANCE,0.022666666666666672,0
TWEAK,0.02266666666666667,0
VWC2,0.02266666666666667,0
LAT,0.022666666666666665,0
GBP2,0.022000000000000006,0
CD38,0.022000000000000006,0
152_TIM,0.022,0
106_TNF-R2,0.02133333333333333,0
144_CD84,0.02066666666666667,0
CNTNAP2,0.02066666666666667,0
SCARA5,0.02066666666666667,0
CDH3,0.020666666666666667,0
171_Dkk-1,0.020000000000000004,0
EIF4G1,0.020000000000000004,0
