feature,stability_frequency,rf_importance
BTN3A2,0.94,0.09049621933691814
162_U-PAR,0.96,0.060710542150933
CD83,1.0,0.04967847171762583
MCP-3,0.97,0.04559442271790492
143_RETN,0.67,0.0383226706596182
179_EGFR,0.72,0.03825011949442147
TGF-alpha,0.71,0.03798278392670247
159_XCL1,0.74,0.03553705253481415
NAAA,0.86,0.03544064739842725
CST5,0.75,0.033811835297508884
188_ICAM-2,1.0,0.03300605621736394
LAG3,0.98,0.031951227398546264
157_PRELP,0.89,0.031567016522181406
IL-5R-alpha,0.86,0.029735297194290838
CD200R1,0.95,0.029539380660278957
148_TR-AP,0.95,0.02880717794694391
196_CCL16,0.8,0.028356546462290626
BCAN,0.93,0.02572068398569469
PSG1,0.96,0.024836883069742865
WFIKKN1,0.67,0.022713589559674754
CD63,0.81,0.02174728129707051
SH2D1A,0.96,0.020230189502020098
170_DCN,0.69,0.02012157560813371
ITGB6,0.71,0.019822944418852916
CCL20,0.77,0.019184953745222957
DSG3,0.89,0.019140314412843508
LY75,0.86,0.017517582097770296
IRF9,0.68,0.01592103811381591
PTS,0.63,0.015681578308463288
128_TLT-2,0.72,0.014679391634510586
183_COL1A1,0.61,0.013737423154088777
IL-20RA,0.76,0.012774802023466902
175_CHI3L1,0.87,0.010747577413130564
Nr-CAM,0.77,0.010707848696547517
UBE2F,0.62,0.009106231280479224
ARTN,0.71,0.0041849606576306085
IL-2RB,0.71,0.0025082133887116163
IL-22 RA1,0.79,0.00012746999535839888
