threshold,n,n_positive,roc_auc,average_precision,brier_score,balanced_accuracy,accuracy,precision,recall,sensitivity,specificity,f1,confusion_matrix,fold,best_params,inner_best_score,n_selected_features,train_brier,val_brier
0.5,19,8,0.8181818181818182,0.8387362637362636,0.1776011695906433,0.6306818181818181,0.631578947368421,0.5555555555555556,0.625,0.625,0.6363636363636364,0.5882352941176471,"{'tn': 7, 'fp': 4, 'fn': 3, 'tp': 5}",0,"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 300}",0.875,35,0.022950370370370374,0.1776011695906433
0.5,19,9,0.6,0.7063474107591754,0.24805908073190983,0.4777777777777778,0.47368421052631576,0.45454545454545453,0.5555555555555556,0.5555555555555556,0.4,0.5,"{'tn': 4, 'fp': 6, 'fn': 4, 'tp': 5}",1,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8863756613756614,32,0.025620681111446827,0.24805908073190983
0.5,19,9,0.5,0.589829669241434,0.27379005847953214,0.4777777777777778,0.47368421052631576,0.45454545454545453,0.5555555555555556,0.5555555555555556,0.4,0.5,"{'tn': 4, 'fp': 6, 'fn': 4, 'tp': 5}",2,"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8739417989417989,43,0.02068414814814815,0.27379005847953214
0.5,19,9,0.6611111111111111,0.7440883190883192,0.2178982456140351,0.6222222222222222,0.631578947368421,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.8,0.5333333333333333,"{'tn': 8, 'fp': 2, 'fn': 5, 'tp': 4}",3,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8531746031746031,37,0.020319259259259256,0.2178982456140351
0.5,18,8,0.5875,0.6721493783993784,0.2483154320987654,0.575,0.6111111111111112,0.6666666666666666,0.25,0.25,0.9,0.36363636363636365,"{'tn': 9, 'fp': 1, 'fn': 6, 'tp': 2}",4,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9515873015873015,39,0.019537719298245614,0.24831543209876544
0.5,19,8,0.5909090909090909,0.5747615334012393,0.24691520467836256,0.6136363636363636,0.631578947368421,0.5714285714285714,0.5,0.5,0.7272727272727273,0.5333333333333333,"{'tn': 8, 'fp': 3, 'fn': 4, 'tp': 4}",5,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8964285714285714,39,0.021339703703703698,0.24691520467836256
0.5,19,9,0.6111111111111112,0.7208754208754209,0.2187279115019997,0.6222222222222222,0.631578947368421,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.8,0.5333333333333333,"{'tn': 8, 'fp': 2, 'fn': 5, 'tp': 4}",6,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 300}",0.9357142857142857,39,0.02228873426133621,0.2187279115019997
0.5,19,9,0.611111111111111,0.7074175337333233,0.23999502566342837,0.6277777777777778,0.631578947368421,0.625,0.5555555555555556,0.5555555555555556,0.7,0.5882352941176471,"{'tn': 7, 'fp': 3, 'fn': 4, 'tp': 5}",7,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8705026455026456,27,0.023447873035280148,0.23999502566342837
0.5,19,9,0.6777777777777778,0.7302761508643862,0.21875130646627144,0.5277777777777778,0.5263157894736842,0.5,0.5555555555555556,0.5555555555555556,0.5,0.5263157894736842,"{'tn': 5, 'fp': 5, 'fn': 4, 'tp': 5}",8,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8425925925925926,42,0.027945252389508343,0.21875130646627144
0.5,18,8,0.6375000000000001,0.6713979341736696,0.23566873133854774,0.5875,0.6111111111111112,0.6,0.375,0.375,0.8,0.46153846153846156,"{'tn': 8, 'fp': 2, 'fn': 5, 'tp': 3}",9,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8853174603174605,38,0.025876199321821548,0.23566873133854768
