feature,stability_frequency,rf_importance
162_U-PAR,1.0,0.0726432529043682
BTN3A2,0.68,0.0541369120609204
NAAA,0.91,0.051765596526417
143_RETN,0.83,0.0349582373926344
MCP-3,0.86,0.0346845265519725
179_EGFR,0.85,0.0339512504836337
167_MMP-7,0.64,0.0334302884795415
IL-5R-alpha,0.94,0.0333818802995155
BCAN,0.97,0.0301450408930459
177_FABP2,1.0,0.0277534861909402
PSG1,1.0,0.0260345594798166
140_SPON2,0.63,0.025956541533146
CST5,0.77,0.0255582145390658
185_CTSZ,0.68,0.0252600666940409
186_MMP-3,0.84,0.0239501823501999
CD200R1,0.78,0.0238120602993113
LAG3,0.94,0.0238031999143323
116_IDUA,0.71,0.0237202832112631
WFIKKN1,0.73,0.022211218359341
159_XCL1,0.79,0.0216659711147424
CD83,0.96,0.0213225830272257
CTF1,0.69,0.0211673577306949
DSG3,0.98,0.0210208741303541
170_DCN,0.67,0.0204347795592523
188_ICAM-2,0.93,0.0187347579803397
148_TR-AP,0.85,0.0186557859749305
RPS6KB1,0.76,0.0183264064484798
CCL20,0.71,0.0180582333938705
SH2D1A,1.0,0.0178472595236262
CXCL12,0.78,0.0175504333512871
IL10,0.69,0.0170580563026844
TNFRSF13C,0.72,0.0167699961983954
LY75,0.67,0.0144549022143548
DEFB4A,0.62,0.0141202526004214
ITGB6,0.71,0.0138005183945946
IL10.1,0.72,0.0129131221973341
157_PRELP,0.74,0.0128741079428836
IL-20RA,0.81,0.0114854157248577
175_CHI3L1,0.77,0.0111828240750962
Alpha-2-MRAP,0.75,0.0105882118885813
Nr-CAM,0.73,0.0097285066375743
NRTN,0.76,0.0038535517720912
ARTN,0.64,0.0038474363103329
IL33,0.69,0.0030459352753312
IL-2RB,0.66,0.0018975594395664
IL-22 RA1,0.79,0.0004383626275888
