n_features,fold,roc_auc,average_precision,balanced_accuracy,accuracy,f1,precision,recall,sensitivity,specificity,brier_score
1,0,0.5555555555555556,0.6844840402115944,0.4777777777777778,0.47368421052631576,0.5,0.45454545454545453,0.5555555555555556,0.5555555555555556,0.4,0.28516013907522686
1,1,0.8,0.7865800865800867,0.6888888888888889,0.6842105263157895,0.7,0.6363636363636364,0.7777777777777778,0.7777777777777778,0.6,0.19306458805009802
1,2,0.5722222222222223,0.6259557547715442,0.6222222222222222,0.631578947368421,0.6956521739130435,0.6153846153846154,0.8,0.8,0.4444444444444444,0.28545147212562955
1,3,0.8666666666666667,0.8523595848595849,0.788888888888889,0.7894736842105263,0.8,0.8,0.8,0.8,0.7777777777777778,0.16182891133045252
1,4,0.617283950617284,0.6226911976911977,0.5,0.5,0.3076923076923077,0.5,0.2222222222222222,0.2222222222222222,0.7777777777777778,0.356587037037037
1,5,0.6833333333333333,0.6558891782833991,0.7388888888888889,0.7368421052631579,0.7368421052631579,0.7,0.7777777777777778,0.7777777777777778,0.7,0.23087053617853304
1,6,0.6777777777777778,0.7156666919824815,0.6888888888888889,0.6842105263157895,0.7,0.6363636363636364,0.7777777777777778,0.7777777777777778,0.6,0.2456562332651427
1,7,0.5722222222222222,0.6256330219488114,0.5277777777777778,0.5263157894736842,0.5263157894736842,0.5555555555555556,0.5,0.5,0.5555555555555556,0.2799736208773942
1,8,0.6333333333333333,0.7210453272217977,0.5722222222222222,0.5789473684210527,0.6363636363636364,0.5833333333333334,0.7,0.7,0.4444444444444444,0.3095463709346292
1,9,0.7283950617283951,0.7507834757834759,0.6111111111111112,0.6111111111111112,0.5882352941176471,0.625,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.2186748128883057
1,10,0.7055555555555555,0.5974747474747475,0.6944444444444444,0.6842105263157895,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.8888888888888888,0.5,0.2100450105743968
1,11,0.4,0.44431376539219675,0.4222222222222222,0.42105263157894735,0.42105263157894735,0.4,0.4444444444444444,0.4444444444444444,0.4,0.4199463826195221
1,12,0.7888888888888889,0.8270634920634921,0.6222222222222222,0.631578947368421,0.6956521739130435,0.6153846153846154,0.8,0.8,0.4444444444444444,0.19765484273005707
1,13,0.65,0.7559107997265891,0.5777777777777777,0.5789473684210527,0.6,0.6,0.6,0.6,0.5555555555555556,0.23798770058683522
1,14,0.7839506172839507,0.7712894585443605,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.8888888888888888,0.20211872324164443
2,0,0.6777777777777778,0.7099788612946507,0.6222222222222222,0.631578947368421,0.5333333333333333,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.8,0.23410701304593348
2,1,0.7888888888888889,0.8212361712361713,0.6333333333333333,0.631578947368421,0.631578947368421,0.6,0.6666666666666666,0.6666666666666666,0.6,0.1856640892394347
2,2,0.6222222222222222,0.7105716505716505,0.6722222222222223,0.6842105263157895,0.75,0.6428571428571429,0.9,0.9,0.4444444444444444,0.24572747538796133
2,3,0.9,0.9246503496503495,0.7833333333333333,0.7894736842105263,0.8181818181818182,0.75,0.9,0.9,0.6666666666666666,0.13464093567251462
2,4,0.8271604938271606,0.8268398268398269,0.6111111111111112,0.6111111111111112,0.5333333333333333,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.7777777777777778,0.20527592592592592
2,5,0.8444444444444444,0.8426517926517927,0.7944444444444444,0.7894736842105263,0.8,0.7272727272727273,0.8888888888888888,0.8888888888888888,0.7,0.15361574896826338
2,6,0.8222222222222221,0.8409171075837745,0.788888888888889,0.7894736842105263,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8,0.1449109293093533
2,7,0.6,0.7087667887667887,0.5333333333333333,0.5263157894736842,0.47058823529411764,0.5714285714285714,0.4,0.4,0.6666666666666666,0.25766271424238874
2,8,0.7,0.8007303807303806,0.5722222222222222,0.5789473684210527,0.6363636363636364,0.5833333333333334,0.7,0.7,0.4444444444444444,0.29797363495874435
2,9,0.7654320987654322,0.8217864923747278,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.19220883280631912
2,10,0.8444444444444443,0.8555555555555556,0.7444444444444445,0.7368421052631579,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.6,0.17583264527219913
2,11,0.47777777777777775,0.5827394827394827,0.5388888888888889,0.5263157894736842,0.6086956521739131,0.5,0.7777777777777778,0.7777777777777778,0.3,0.29621448430236874
2,12,0.8333333333333334,0.8808658008658009,0.8388888888888889,0.8421052631578947,0.8571428571428571,0.8181818181818182,0.9,0.9,0.7777777777777778,0.17344123288800878
2,13,0.8,0.8653544116702011,0.6888888888888889,0.6842105263157895,0.6666666666666666,0.75,0.6,0.6,0.7777777777777778,0.17560569822488645
2,14,0.888888888888889,0.9134479717813051,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.8888888888888888,0.14400890699320093
3,0,0.711111111111111,0.7545306001188354,0.6722222222222223,0.6842105263157895,0.5714285714285714,0.8,0.4444444444444444,0.4444444444444444,0.9,0.21573157894736844
3,1,0.9222222222222223,0.9355089355089357,0.7944444444444444,0.7894736842105263,0.8,0.7272727272727273,0.8888888888888888,0.8888888888888888,0.7,0.12561511269313513
3,2,0.7333333333333333,0.754155844155844,0.7277777777777779,0.7368421052631579,0.782608695652174,0.6923076923076923,0.9,0.9,0.5555555555555556,0.2070681916826305
3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06718780024390965
3,4,0.888888888888889,0.8794973544973546,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.1374848213057875
