n_features,roc_auc_mean,roc_auc_std,roc_auc_pooled,average_precision_mean,average_precision_std,average_precision_pooled,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_pooled,accuracy_mean,accuracy_std,accuracy_pooled,f1_mean,f1_std,f1_pooled,precision_mean,precision_std,precision_pooled,recall_mean,recall_std,recall_pooled,sensitivity_mean,sensitivity_std,sensitivity_pooled,specificity_mean,specificity_std,specificity_pooled,brier_score_mean,brier_score_std,brier_score_pooled,pooled_youden_balanced_accuracy,pooled_youden_f1,youden_threshold
1,0.6690123456790125,0.11869434158437879,0.6496152105024897,0.6958093748356907,0.10458414877683672,0.6125366293620358,0.6170370370370369,0.10502092398107589,0.6170212765957447,0.6169590643274854,0.10451792262678974,0.6170212765957447,0.6201163670836574,0.1325446662142052,0.6301369863013698,0.6113765863765864,0.11335558533236344,0.609271523178808,0.6503703703703704,0.17989153437208188,0.6524822695035462,0.6503703703703704,0.17989153437208188,0.6524822695035462,0.5837037037037037,0.15205045729555042,0.5815602836879432,0.25563775876766026,0.068586867647444,0.25560064069367444,0.6312056737588653,0.6645161290322581,0.45926743176323415
2,0.7595061728395063,0.1199068087346793,0.7576832151300237,0.8070728429541638,0.09193221857180005,0.7880782511245767,0.6807407407407406,0.0965193793689556,0.6808510638297872,0.6807017543859649,0.09795602185535893,0.6808510638297872,0.6785933568582646,0.11425375712163294,0.6875,0.6813900913900913,0.09494150369770751,0.673469387755102,0.7007407407407409,0.18070343964124633,0.7021276595744681,0.7007407407407409,0.18070343964124633,0.7021276595744681,0.6607407407407409,0.1613909265049999,0.6595744680851063,0.20112601781583353,0.053577715059619446,0.20134546599924508,0.7127659574468085,0.7395498392282959,0.3933333333333333
3,0.8539094650205762,0.08921977736732241,0.8486494643126603,0.8719849855008094,0.08037123676168283,0.8601848951224697,0.785925925925926,0.10892424650004509,0.7872340425531915,0.7879142300194933,0.10635897327105096,0.7872340425531915,0.778250214909254,0.12158395696658197,0.7841726618705036,0.805894105894106,0.12544957202615123,0.7956204379562044,0.7696296296296298,0.15688022519058767,0.7730496453900709,0.7696296296296298,0.15688022519058767,0.7730496453900709,0.8022222222222223,0.15090555580390927,0.8014184397163121,0.15653346925714154,0.04694622560510541,0.15671545398754452,0.7872340425531914,0.781021897810219,0.53157572575913
4,0.8297119341563787,0.08704168582612572,0.8217896484080277,0.8606386128395933,0.07156157370043346,0.8441277173645186,0.7466666666666668,0.10567662230068595,0.74822695035461,0.7487329434697856,0.10508005672334375,0.74822695035461,0.7431288330231661,0.11448568206133769,0.7473309608540926,0.7537728937728938,0.11077663412895425,0.75,0.7414814814814815,0.13701701555442058,0.7446808510638298,0.7414814814814815,0.13701701555442058,0.7446808510638298,0.751851851851852,0.1369011194975932,0.75177304964539,0.17063363442978716,0.043361680933666005,0.17075793406014048,0.7624113475177305,0.7759197324414716,0.40200002728569173
5,0.8268724279835392,0.07477434523780982,0.8209094109954227,0.8566874892425288,0.06024242310746458,0.8447309018582588,0.7292592592592592,0.0949906397195679,0.7304964539007093,0.7307992202729046,0.09549539714999204,0.7304964539007093,0.7261463298769801,0.10009959957074395,0.7304964539007093,0.737008177008177,0.09988267695998354,0.7304964539007093,0.7281481481481482,0.13819615603417482,0.7304964539007093,0.7281481481481482,0.13819615603417482,0.7304964539007093,0.7303703703703704,0.1386166644347789,0.7304964539007093,0.17180518044079485,0.039765858203766706,0.1718548650508662,0.74822695035461,0.7625418060200669,0.405441042174273
6,0.860082304526749,0.06879627618567308,0.8489261103566218,0.8867334269458452,0.05520259243635868,0.867758064012644,0.7681481481481481,0.10014246172140841,0.7695035460992907,0.769785575048733,0.10015247446122283,0.7695035460992907,0.7602753758508235,0.09839482934968587,0.7619047619047619,0.8042226292226292,0.13139908462761354,0.7878787878787878,0.7348148148148149,0.12141629429238195,0.7375886524822695,0.7348148148148149,0.12141629429238195,0.7375886524822695,0.8014814814814816,0.15963288276678783,0.8014184397163121,0.16094574227697744,0.036157939118568655,0.16099177253816227,0.7836879432624113,0.7918088737201365,0.4272925525561777
7,0.8543209876543211,0.08393505406108542,0.8498063477692269,0.8820667397236025,0.06672605082136121,0.8636521574572866,0.7648148148148147,0.08644116640729131,0.7659574468085106,0.7662768031189082,0.08568703110259521,0.7659574468085106,0.7548270327709014,0.09565206840023736,0.7591240875912408,0.7916420616420616,0.09918755849490554,0.7819548872180451,0.7355555555555555,0.13361082236051036,0.7375886524822695,0.7355555555555555,0.13361082236051036,0.7375886524822695,0.7940740740740743,0.13206183861398793,0.7943262411347518,0.1588700730223069,0.04106607536428135,0.1589854187776883,0.7765957446808511,0.7725631768953068,0.494023818572469
8,0.8710699588477365,0.0838412461466172,0.8703536039434636,0.9015879106560222,0.06699433237697554,0.8883198927077752,0.8037037037037038,0.09807824205085451,0.8049645390070922,0.8056530214424952,0.09606540471603571,0.8049645390070922,0.8072858617131063,0.09659042313582945,0.8083623693379791,0.8085281385281385,0.11433937810624485,0.7945205479452054,0.8207407407407409,0.13206183861398793,0.8226950354609929,0.8207407407407409,0.13206183861398793,0.8226950354609929,0.7866666666666667,0.1663595053155014,0.7872340425531915,0.1500301160708062,0.03397966954207565,0.1500487689122914,0.8262411347517731,0.8205128205128205,0.5330822423202541
9,0.8529629629629629,0.07582879033336269,0.8512650269101153,0.8792521074302121,0.06476350102395556,0.8663508054932574,0.7574074074074074,0.08440231474824517,0.7588652482269503,0.7586744639376217,0.08460690231040158,0.7588652482269503,0.7493852643569967,0.09578543759865721,0.7553956834532374,0.7728878528878529,0.08129351415409952,0.7664233576642335,0.7429629629629629,0.1490041408149846,0.7446808510638298,0.7429629629629629,0.1490041408149846,0.7446808510638298,0.7718518518518519,0.11667548467557284,0.7730496453900709,0.1586762109039948,0.03657290937853318,0.15874187463092193,0.7872340425531915,0.7674418604651163,0.5566666666666666
10,0.8581481481481481,0.07525231362636359,0.8576278859212312,0.8879294751675213,0.057073333816497734,0.8733810363866124,0.7788888888888889,0.09301438321576301,0.7801418439716312,0.7805068226120858,0.09224251927487531,0.7801418439716312,0.7748848421785559,0.09351897432761205,0.7769784172661871,0.8025271025271025,0.11014748000546276,0.7883211678832117,0.7651851851851853,0.13098909217661361,0.7659574468085106,0.7651851851851853,0.13098909217661361,0.7659574468085106,0.7925925925925926,0.14828036428169064,0.7943262411347518,0.1566100857710461,0.0348175172803235,0.1566332867979815,0.7943262411347518,0.7851851851851852,0.5102121191370108
11,0.8615226337448559,0.07992598513256745,0.8585081233338363,0.890111187166743,0.06571949641991183,0.8752552708110599,0.7785185185185185,0.1045032481092014,0.7801418439716312,0.7803118908382065,0.10295118751209457,0.7801418439716312,0.7734444548686034,0.09792736375107257,0.7737226277372263,0.8115079365079365,0.12354960652713014,0.7969924812030075,0.7496296296296295,0.11407682261513907,0.75177304964539,0.7496296296296295,0.11407682261513907,0.75177304964539,0.8074074074074074,0.1619799597129795,0.8085106382978723,0.15622148332398553,0.030634964280643818,0.15630476361951434,0.7872340425531915,0.7674418604651163,0.5573425306530708
12,0.8618930041152264,0.06538027741704198,0.8566721995875459,0.8852609864113133,0.05758430643997065,0.8705494126368817,0.7607407407407407,0.07097415714029595,0.7624113475177305,0.7625730994152046,0.0709732565429615,0.7624113475177305,0.7567931408515605,0.07772155798932474,0.7615658362989324,0.7734626484626486,0.08012224199682941,0.7642857142857142,0.7562962962962962,0.1366948394414492,0.7588652482269503,0.7562962962962962,0.1366948394414492,0.7588652482269503,0.7651851851851852,0.12639811873967455,0.7659574468085106,0.15884326181792657,0.027546899015088232,0.15890544872774148,0.7801418439716312,0.7651515151515151,0.54670114696491
13,0.8604938271604937,0.06422126816612324,0.857049444192948,0.8857087346204994,0.05166880346502331,0.8732475816244579,0.7644444444444445,0.08346022085765448,0.7659574468085106,0.7656920077972708,0.08259811883753411,0.7659574468085106,0.7543337466739002,0.0891026221713587,0.7591240875912408,0.7934121434121433,0.10246354565518212,0.7819548872180451,0.7355555555555555,0.13885396386284146,0.7375886524822695,0.7355555555555555,0.13885396386284146,0.7375886524822695,0.7933333333333334,0.13522468075656266,0.7943262411347518,0.15862937356851825,0.0277446031563384,0.15858705661726488,0.7730496453900709,0.7575757575757576,0.5306155868316794
14,0.8501234567901236,0.0697625284302627,0.8479201247422162,0.8730621075849836,0.05650587831289401,0.8635605540352116,0.7614814814814815,0.07762077880801685,0.7624113475177305,0.7621832358674463,0.07740586915833544,0.7624113475177305,0.7449771629984309,0.10377969961725138,0.7545787545787546,0.7877026677026678,0.07501250496522015,0.7803030303030303,0.7296296296296296,0.173086243637747,0.7304964539007093,0.7296296296296296,0.173086243637747,0.7304964539007093,0.7933333333333334,0.11399433755546369,0.7943262411347518,0.16241533070095066,0.027217045139967047,0.16246276026434922,0.7624113475177305,0.7527675276752768,0.5029349088248463
15,0.8508230452674898,0.07540964786057461,0.8464111463206077,0.8829052380877287,0.05130192619527589,0.8677155688029058,0.74,0.09793277757810331,0.7411347517730497,0.7411306042884989,0.09757290142894554,0.7411347517730497,0.7344507653048507,0.10041258002996818,0.7364620938628159,0.7588113738113738,0.11172541914953261,0.75,0.7222222222222222,0.1271031188518578,0.723404255319149,0.7222222222222222,0.1271031188518578,0.723404255319149,0.7577777777777778,0.13828121029877172,0.7588652482269503,0.1620739063856916,0.03071514864950852,0.1621505333818411,0.7695035460992907,0.7389558232931727,0.5666666666666667
