n_features,roc_auc_mean,roc_auc_std,roc_auc_pooled,average_precision_mean,average_precision_std,average_precision_pooled,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_pooled,accuracy_mean,accuracy_std,accuracy_pooled,f1_mean,f1_std,f1_pooled,precision_mean,precision_std,precision_pooled,recall_mean,recall_std,recall_pooled,sensitivity_mean,sensitivity_std,sensitivity_pooled,specificity_mean,specificity_std,specificity_pooled,brier_score_mean,brier_score_std,brier_score_pooled,pooled_youden_balanced_accuracy,pooled_youden_f1,youden_threshold
1,0.745528083028083,0.11481251761144463,0.7317148297491038,0.6839870872898294,0.14011382569689876,0.5946121012027763,0.6769230769230768,0.11771913526925218,0.677755376344086,0.687914230019493,0.11983956394558219,0.6879432624113475,0.5870567341155576,0.1372773860486784,0.5849056603773585,0.5512350612350612,0.15164054631498883,0.5344827586206896,0.6444444444444444,0.15547107706550717,0.6458333333333334,0.6444444444444444,0.15547107706550717,0.6458333333333334,0.7094017094017093,0.15475287342426708,0.7096774193548387,0.2106509091129753,0.06780304599022241,0.21008357503040156,0.7022849462365591,0.6091370558375635,0.573494537597479
2,0.7850732600732601,0.14227610972178006,0.7641409050179211,0.6931898831589234,0.17300790614349676,0.5979848090173456,0.741239316239316,0.14563985983508074,0.7473118279569892,0.7725146198830409,0.1151605664267938,0.7730496453900709,0.6429792538616066,0.20990804256672926,0.6666666666666666,0.6535185185185186,0.1864504462623907,0.6666666666666666,0.6555555555555556,0.26110990495210396,0.6666666666666666,0.6555555555555556,0.26110990495210396,0.6666666666666666,0.826923076923077,0.09342903558596306,0.8279569892473119,0.18376680722272282,0.06153801424473783,0.18315778361189292,0.7678091397849462,0.693069306930693,0.43621755055264144
3,0.7872710622710624,0.1140788635034386,0.7778897849462366,0.7041274782381225,0.16288684570720535,0.6327277680922095,0.7478327228327228,0.11700890212695121,0.7501680107526882,0.7797270955165693,0.08787695847433988,0.7801418439716312,0.6498544048544049,0.1684589043943056,0.6702127659574468,0.6928571428571428,0.17278382418796792,0.6847826086956522,0.6507936507936507,0.23512891422794957,0.65625,0.6507936507936507,0.23512891422794957,0.65625,0.8448717948717949,0.09210651663529204,0.8440860215053764,0.17855366652414664,0.04604974015611554,0.1782965826947258,0.7752016129032258,0.7014218009478673,0.4066666666666667
4,0.8536986161986161,0.1110107215605629,0.8455421146953405,0.7492336014955062,0.16956177605870015,0.6769265788903046,0.7410561660561661,0.14295269729353008,0.7446236559139785,0.7690058479532166,0.11192704851694274,0.7695035460992907,0.6410854069677598,0.19502976800301838,0.6632124352331606,0.6576190476190475,0.17250160208267176,0.6597938144329897,0.6603174603174602,0.2662695455726601,0.6666666666666666,0.6603174603174602,0.2662695455726601,0.6666666666666666,0.8217948717948719,0.10508575932183951,0.8225806451612904,0.15430647023514904,0.0459314562047998,0.15400696283216994,0.8108198924731183,0.7381974248927039,0.3337454775807211
5,0.8427248677248679,0.10567379095892482,0.8276769713261649,0.7393642732928446,0.17537517012429166,0.635599596735396,0.743040293040293,0.15842001199318909,0.7476478494623656,0.7795321637426902,0.1193971038626694,0.7801418439716312,0.6354926554926554,0.24239996406794787,0.6666666666666666,0.6685353535353535,0.22604989693732244,0.6888888888888889,0.6365079365079366,0.2955323674261807,0.6458333333333334,0.6365079365079366,0.2955323674261807,0.6458333333333334,0.8495726495726497,0.10201509043425609,0.8494623655913979,0.16260248043859812,0.0452290186734805,0.16232085687787495,0.773521505376344,0.6970954356846473,0.3232563748650706
6,0.8406491656491657,0.11264747318141086,0.8289090501792115,0.7300164209688019,0.18188957130545547,0.6361827792123053,0.7228327228327227,0.15619476045597352,0.7266465053763441,0.7617933723196881,0.11488271118205308,0.7624113475177305,0.6016672325495854,0.2519264837930153,0.6378378378378379,0.6328835978835979,0.2592601163467098,0.6629213483146067,0.6063492063492064,0.30529113628887994,0.6145833333333334,0.6063492063492064,0.30529113628887994,0.6145833333333334,0.8393162393162393,0.09530968474931041,0.8387096774193549,0.1615545196680216,0.0446307785695837,0.1612103916979848,0.7950268817204301,0.721030042918455,0.3472188752188743
7,0.8335978835978837,0.10281156790064706,0.8200044802867382,0.7169476827249938,0.1738938995129267,0.6098566031388293,0.711111111111111,0.13620725354398996,0.7135416666666667,0.7512670565302144,0.09740125955376248,0.75177304964539,0.5864309764309764,0.22441465547529713,0.6195652173913043,0.6398051948051949,0.2506454594018013,0.6477272727272727,0.5888888888888889,0.29027910491758563,0.59375,0.5888888888888889,0.29027910491758563,0.59375,0.8333333333333334,0.10870468679911437,0.8333333333333334,0.1674392426513591,0.04375449076144154,0.16711455625580832,0.7982190860215054,0.726457399103139,0.3689512107127483
8,0.8339641839641839,0.10423889085606174,0.8262768817204301,0.7320066661733329,0.17015716650955154,0.6443116993132955,0.6938644688644688,0.16864819101175468,0.6979166666666667,0.7403508771929825,0.1288172061322528,0.7411347517730497,0.5631148481148481,0.26839940205989704,0.5966850828729282,0.5987566137566137,0.2711944556414071,0.6352941176470588,0.553968253968254,0.3028408130339909,0.5625,0.553968253968254,0.3028408130339909,0.5625,0.8337606837606837,0.09881740229154087,0.8333333333333334,0.16281732370644683,0.045805071598678755,0.16252797283819478,0.7797379032258065,0.7053571428571429,0.3679578852451629
9,0.8614875864875865,0.09201925951894553,0.8485103046594982,0.765291172672125,0.15781527228335607,0.7154022451173427,0.7361416361416361,0.1366514673553633,0.7395833333333334,0.7690058479532165,0.10833379839512704,0.7695035460992907,0.6352997111820641,0.19657456329551676,0.656084656084656,0.6721428571428573,0.20736646387527577,0.6666666666666666,0.638095238095238,0.25136491669997757,0.6458333333333334,0.638095238095238,0.25136491669997757,0.6458333333333334,0.8341880341880342,0.11192059782956804,0.8333333333333334,0.15219751255495817,0.04163282961261776,0.15200208883460953,0.7772177419354839,0.7027027027027027,0.39367478400786604
10,0.8309727309727309,0.12808087663159734,0.828405017921147,0.7530158730158729,0.1776432417489707,0.7070271873139762,0.7162393162393162,0.15257958939645178,0.7192540322580645,0.7651072124756337,0.11006003021578192,0.7659574468085106,0.5864169164169163,0.25910986399812896,0.625,0.6524603174603174,0.26869086676142595,0.6875,0.5666666666666667,0.2983596228189542,0.5729166666666666,0.5666666666666667,0.2983596228189542,0.5729166666666666,0.8658119658119658,0.09102521109461831,0.8655913978494624,0.15871488391590027,0.04895940025673619,0.15855801566763436,0.7691532258064516,0.6933333333333334,0.3699688201269
11,0.8510785510785511,0.107966834883128,0.8394097222222222,0.7722790789457457,0.16773120356529733,0.7428463737058258,0.6981684981684981,0.150670169388152,0.7007728494623656,0.7477582846003898,0.1232263332426457,0.74822695035461,0.5741306841306842,0.23958285517997635,0.5988700564971752,0.6513227513227514,0.2461990903100394,0.654320987654321,0.5476190476190476,0.26786659091424736,0.5520833333333334,0.5476190476190476,0.26786659091424736,0.5520833333333334,0.8487179487179488,0.12344172888520365,0.8494623655913979,0.15214932983383056,0.043593961665836206,0.15198640754175452,0.759744623655914,0.6825396825396826,0.29196529786003467
12,0.8513634513634514,0.11630899108526799,0.8509184587813621,0.7827530978721454,0.1614367992524601,0.7651190641969465,0.7291514041514042,0.14967614523627826,0.7296706989247312,0.7730994152046783,0.11373909274796286,0.7730496453900709,0.613918303918304,0.22905065484011175,0.6404494382022472,0.6801587301587301,0.21409225330994502,0.6951219512195121,0.5920634920634921,0.27706094744568976,0.59375,0.5920634920634921,0.27706094744568976,0.59375,0.8662393162393163,0.08482971338513028,0.8655913978494624,0.14795456302982476,0.039758884044877,0.14781450320141937,0.7814180107526881,0.7053941908713693,0.31696472971472966
