n_features,fold,roc_auc,average_precision,balanced_accuracy,accuracy,f1,precision,recall,sensitivity,specificity,brier_score
1,0,0.7628205128205129,0.6706871345029238,0.8012820512820513,0.7894736842105263,0.7142857142857143,0.625,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.18319776420014727
1,1,0.8076923076923077,0.7703703703703704,0.6858974358974359,0.631578947368421,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.8333333333333334,0.5384615384615384,0.19619092985534947
1,2,0.886904761904762,0.8310451453308596,0.7738095238095238,0.7894736842105263,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.1286818354505217
1,3,0.7440476190476191,0.7757608306480487,0.5238095238095238,0.47368421052631576,0.5,0.38461538461538464,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.2364104144114836
1,4,0.5,0.3604076479076479,0.5,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3527023930479926
1,5,0.7628205128205128,0.5910353535353535,0.717948717948718,0.7368421052631579,0.6153846153846154,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.7692307692307693,0.2027136998716168
1,6,0.6858974358974359,0.6491415504573399,0.5961538461538461,0.631578947368421,0.46153846153846156,0.42857142857142855,0.5,0.5,0.6923076923076923,0.25019730963768166
1,7,0.7261904761904762,0.7438375350140056,0.7321428571428572,0.7368421052631579,0.6666666666666666,0.625,0.7142857142857143,0.7142857142857143,0.75,0.19763389818795515
1,8,0.8214285714285714,0.7328231292517007,0.6904761904761905,0.6842105263157895,0.625,0.5555555555555556,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.1632435844784911
1,9,0.6805555555555556,0.7029914529914529,0.6666666666666667,0.7222222222222222,0.5454545454545454,0.6,0.5,0.5,0.8333333333333334,0.21831322649198417
1,10,0.9230769230769231,0.8964646464646464,0.8397435897435898,0.8421052631578947,0.7692307692307693,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8461538461538461,0.11083376160983345
1,11,0.6602564102564101,0.5080409356725146,0.5961538461538461,0.631578947368421,0.46153846153846156,0.42857142857142855,0.5,0.5,0.6923076923076923,0.258246783625731
1,12,0.6011904761904762,0.5800144300144301,0.4642857142857143,0.47368421052631576,0.375,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.5,0.31825929103685835
1,13,0.9047619047619048,0.838095238095238,0.8154761904761905,0.8421052631578947,0.7692307692307693,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.9166666666666666,0.12221342570425035
1,14,0.7152777777777778,0.609090909090909,0.75,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.22092531908473223
2,0,0.8461538461538461,0.7727564102564103,0.6282051282051282,0.7368421052631579,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.9230769230769231,0.16359883040935672
2,1,0.7564102564102564,0.6271825396825397,0.717948717948718,0.7368421052631579,0.6153846153846154,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.7692307692307693,0.19171287716448132
2,2,0.9642857142857142,0.9379251700680271,0.8154761904761905,0.8421052631578947,0.7692307692307693,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.9166666666666666,0.10665104286401687
2,3,0.7678571428571428,0.7380057286072323,0.8035714285714286,0.7894736842105263,0.75,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.75,0.1875637979791593
2,4,0.6388888888888888,0.4761904761904762,0.75,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.24431859557804053
2,5,0.8397435897435896,0.6402777777777777,0.7948717948717949,0.8421052631578947,0.7272727272727273,0.8,0.6666666666666666,0.6666666666666666,0.9230769230769231,0.14756608187134504
2,6,0.6923076923076924,0.4687830687830688,0.46794871794871795,0.5789473684210527,0.2,0.25,0.16666666666666666,0.16666666666666666,0.7692307692307693,0.24562748538011697
2,7,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11143916845582728
2,8,0.9047619047619048,0.857142857142857,0.875,0.8421052631578947,0.8235294117647058,0.7,1.0,1.0,0.75,0.12860907355490378
2,9,0.5763888888888888,0.5138499844382197,0.5416666666666666,0.6111111111111112,0.36363636363636365,0.4,0.3333333333333333,0.3333333333333333,0.75,0.26849506172839505
2,10,0.9102564102564101,0.8218253968253967,0.7115384615384616,0.7894736842105263,0.6,0.75,0.5,0.5,0.9230769230769231,0.12720642702606288
2,11,0.6538461538461539,0.5222896986054881,0.7564102564102564,0.7894736842105263,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8461538461538461,0.20580157118549117
2,12,0.5357142857142857,0.5055477104349284,0.5476190476190476,0.5789473684210527,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.30018362573099416
2,13,0.9047619047619048,0.8007936507936508,0.9166666666666667,0.8947368421052632,0.875,0.7777777777777778,1.0,1.0,0.8333333333333334,0.11749704679688146
2,14,0.7847222222222222,0.7152777777777778,0.7916666666666667,0.7777777777777778,0.7142857142857143,0.625,0.8333333333333334,0.8333333333333334,0.75,0.21023142261577
3,0,0.782051282051282,0.6704365079365079,0.5897435897435898,0.6842105263157895,0.4,0.5,0.3333333333333333,0.3333333333333333,0.8461538461538461,0.163058352514094
