threshold,n,n_positive,roc_auc,average_precision,brier_score,balanced_accuracy,accuracy,precision,recall,sensitivity,specificity,f1,confusion_matrix,fold,best_params,inner_best_score,n_selected_features,train_brier,val_brier
0.5,19,6,0.6153846153846154,0.42083333333333334,0.22249532163742688,0.46153846153846156,0.631578947368421,0.0,0.0,0.0,0.9230769230769231,0.0,"{'tn': 12, 'fp': 1, 'fn': 6, 'tp': 0}",0,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9374814814814814,39,0.02199111111111111,0.2224953216374269
0.5,19,6,0.7051282051282051,0.6241092241092241,0.18840206208938245,0.5128205128205128,0.5789473684210527,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6923076923076923,0.3333333333333333,"{'tn': 9, 'fp': 4, 'fn': 4, 'tp': 2}",1,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8497777777777777,41,0.024015897695823338,0.18840206208938245
0.5,19,7,0.8333333333333333,0.8333333333333333,0.17141068866715609,0.7142857142857143,0.7894736842105263,1.0,0.42857142857142855,0.42857142857142855,1.0,0.6,"{'tn': 12, 'fp': 0, 'fn': 4, 'tp': 3}",2,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.8280000000000001,46,0.052024739549073815,0.17141068866715609
0.5,19,7,0.7023809523809524,0.6445816923260532,0.21428070175438596,0.6309523809523809,0.6842105263157895,0.6,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.5,"{'tn': 10, 'fp': 2, 'fn': 4, 'tp': 3}",3,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8960000000000001,33,0.021353185185185187,0.21428070175438593
0.5,18,6,0.4236111111111111,0.3490021008403362,0.2813907407407407,0.5,0.6111111111111112,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.2222222222222222,"{'tn': 10, 'fp': 2, 'fn': 5, 'tp': 1}",4,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9263333333333333,46,0.017555701754385963,0.2813907407407407
0.5,19,6,0.5384615384615384,0.37727272727272726,0.24513976608187135,0.5448717948717949,0.6842105263157895,0.5,0.16666666666666666,0.16666666666666666,0.9230769230769231,0.25,"{'tn': 12, 'fp': 1, 'fn': 5, 'tp': 1}",5,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9085925925925926,42,0.019087259259259262,0.24513976608187135
0.5,19,6,0.48717948717948717,0.37066822066822064,0.27235344506987874,0.5064102564102564,0.631578947368421,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.8461538461538461,0.2222222222222222,"{'tn': 11, 'fp': 2, 'fn': 5, 'tp': 1}",6,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.9331851851851851,43,0.046067740678198035,0.27235344506987874
0.5,19,7,0.6666666666666666,0.5444159850174888,0.21699990568856173,0.6309523809523809,0.6842105263157895,0.6,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.5,"{'tn': 10, 'fp': 2, 'fn': 4, 'tp': 3}",7,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9199999999999999,35,0.023973459093555062,0.21699990568856173
0.5,19,7,0.7380952380952381,0.6713744588744588,0.1942781928696211,0.6726190476190476,0.7368421052631579,0.75,0.42857142857142855,0.42857142857142855,0.9166666666666666,0.5454545454545454,"{'tn': 11, 'fp': 1, 'fn': 4, 'tp': 3}",8,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.892,42,0.023439372383271945,0.1942781928696211
0.5,18,6,0.5555555555555556,0.4694295900178253,0.23707491857918198,0.625,0.6666666666666666,0.5,0.5,0.5,0.75,0.5,"{'tn': 9, 'fp': 3, 'fn': 3, 'tp': 3}",9,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.9013333333333333,36,0.04859325161824782,0.23707491857918198
0.5,19,6,0.6282051282051282,0.5863247863247862,0.22571632162304686,0.47435897435897434,0.5263157894736842,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.6153846153846154,0.3076923076923077,"{'tn': 8, 'fp': 5, 'fn': 4, 'tp': 2}",10,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8623703703703705,40,0.02442157850377714,0.22571632162304686
0.5,19,6,0.6794871794871795,0.45909090909090905,0.2188567251461988,0.5448717948717949,0.6842105263157895,0.5,0.16666666666666666,0.16666666666666666,0.9230769230769231,0.25,"{'tn': 12, 'fp': 1, 'fn': 5, 'tp': 1}",11,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8703703703703705,38,0.02072281481481481,0.2188567251461988
0.5,19,7,0.5357142857142857,0.48180450501879074,0.2629035906705538,0.4464285714285714,0.5263157894736842,0.25,0.14285714285714285,0.14285714285714285,0.75,0.18181818181818182,"{'tn': 9, 'fp': 3, 'fn': 6, 'tp': 1}",12,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9440000000000002,38,0.01774137697904474,0.2629035906705538
0.5,19,7,0.9523809523809524,0.9367346938775509,0.14869298245614038,0.7857142857142857,0.8421052631578947,1.0,0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,"{'tn': 12, 'fp': 0, 'fn': 3, 'tp': 4}",13,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.85,31,0.02291866666666667,0.14869298245614038
0.5,18,6,0.7222222222222223,0.6468253968253969,0.18097654320987655,0.75,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,"{'tn': 10, 'fp': 2, 'fn': 2, 'tp': 4}",14,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.9213333333333333,37,0.019291666666666662,0.18097654320987655
