feature,mean_selection_freq,selected_in_n_folds
186_MMP-3,0.8626666666666665,15
IL-2RB,0.7553333333333333,14
IKZF2,0.8353333333333335,13
145_PAPPA,0.7926666666666666,13
LAG3,0.7879999999999998,13
ARTN,0.7126666666666666,13
185_CTSZ,0.8033333333333333,12
ITGB6,0.6913333333333332,12
157_PRELP,0.7286666666666667,10
DEFB4A,0.652,10
175_CHI3L1,0.696,9
BTN3A2,0.6500000000000001,9
MAPT,0.65,9
102_LDL receptor,0.5993333333333335,9
148_TR-AP,0.586,9
184_PON3,0.5846666666666667,9
153_THBS2,0.6539999999999999,8
SH2D1A,0.6046666666666667,8
SKR3,0.6033333333333334,8
164_CTSD,0.5966666666666666,8
LY75,0.592,8
Flt3L,0.588,8
CD200R1,0.5813333333333333,8
ITGA11,0.562,8
LILRB4,0.6306666666666666,7
190_CA5A,0.6006666666666668,7
103_ADM,0.594,7
GPNMB,0.5913333333333333,7
FGF-5,0.5033333333333334,7
CCL20,0.4779999999999999,7
CD63,0.5660000000000001,6
CD200,0.5313333333333333,6
162_U-PAR,0.5026666666666666,6
170_DCN,0.494,6
EIF5A,0.48800000000000004,6
TGF-alpha,0.4306666666666666,6
NXPH1,0.42999999999999994,6
179_EGFR,0.4126666666666666,6
IL-20RA,0.5093333333333333,5
PSG1,0.47400000000000003,5
BCAN,0.466,5
CASP-8,0.458,5
IL-1 alpha,0.44800000000000006,5
CLEC6A,0.44666666666666666,5
DPEP1,0.43599999999999994,5
MASP1,0.414,5
GALNT3,0.37933333333333336,5
SNCG,0.5073333333333333,4
FGF-19,0.46066666666666667,4
PIK3AP1,0.4533333333333333,4
CXCL11,0.4520000000000001,4
177_FABP2,0.448,4
GDNF.1,0.43333333333333335,4
HMOX2,0.4246666666666667,4
UBE2F,0.41866666666666663,4
NT-3,0.412,4
PVR,0.4080000000000001,4
CD83,0.3893333333333333,4
113_IL-6,0.3733333333333333,4
195_NT-pro BNP,0.362,4
FCRL6,0.49533333333333324,3
128_TLT-2,0.478,3
EDA2R,0.442,3
NEFL,0.42666666666666675,3
135_GDF-15,0.39933333333333326,3
168_IgG Fc receptor II-b,0.3626666666666667,3
138_CTRC,0.358,3
CTSC,0.3513333333333334,3
KPNA1,0.3460000000000001,3
142_IL-6RA,0.34533333333333327,3
ARNT,0.34466666666666673,3
188_ICAM-2,0.3313333333333333,3
CST5,0.32733333333333337,3
127_IL-17D,0.3013333333333333,3
