feature,mean_selection_freq,selected_in_n_folds
DSG3,0.9339999999999999,15
PSG1,0.9193333333333332,15
MCP-3,0.7819999999999998,15
SH2D1A,0.912,14
177_FABP2,0.8733333333333333,14
162_U-PAR,0.8033333333333333,14
BCAN,0.7926666666666667,12
188_ICAM-2,0.776,12
CD83,0.7706666666666666,12
179_EGFR,0.7533333333333334,12
IL-5R-alpha,0.7533333333333333,11
NAAA,0.7120000000000001,11
LAG3,0.7053333333333333,11
Alpha-2-MRAP,0.6039999999999999,11
CCL20,0.5619999999999999,11
IL-22 RA1,0.55,11
TNFRSF13C,0.5326666666666667,11
CST5,0.616,10
143_RETN,0.668,9
BTN3A2,0.664,9
WFIKKN1,0.626,9
148_TR-AP,0.6053333333333334,9
IL-20RA,0.604,9
159_XCL1,0.5886666666666667,9
186_MMP-3,0.6246666666666667,8
175_CHI3L1,0.5786666666666668,8
NRTN,0.5433333333333332,8
ITGB6,0.564,7
167_MMP-7,0.5559999999999999,7
140_SPON2,0.5346666666666666,7
IL10.1,0.5273333333333333,7
IL33,0.5113333333333333,7
170_DCN,0.47933333333333333,7
157_PRELP,0.478,7
CXCL12,0.604,6
RPS6KB1,0.5293333333333333,6
CTF1,0.5160000000000001,6
CNTN5,0.47133333333333327,6
145_PAPPA,0.46466666666666673,6
CD200R1,0.5433333333333333,5
116_IDUA,0.52,5
135_GDF-15,0.4953333333333333,5
185_CTSZ,0.4653333333333334,5
IL10,0.45,5
PTS,0.442,5
IL-2RB,0.4286666666666666,5
LY75,0.4139999999999999,5
HGF,0.40666666666666657,5
128_TLT-2,0.4053333333333333,5
196_CCL16,0.3993333333333334,5
DEFB4A,0.47066666666666657,4
PAEP,0.45333333333333337,4
ARTN,0.442,4
Nr-CAM,0.442,4
TREM1,0.42200000000000004,4
ROBO2,0.41666666666666674,4
139_FGF-23,0.35666666666666663,4
FCRL3,0.3506666666666666,4
UBE2F,0.34533333333333344,4
CSF-1,0.4193333333333334,3
CRTAM,0.39466666666666667,3
CCL11,0.3906666666666666,3
ABHD14B,0.35933333333333334,3
120_MEPE,0.3413333333333333,3
DPEP1,0.3413333333333332,3
163_OPN,0.3373333333333334,3
ATP6V1F,0.3253333333333333,3
IL2,0.2686666666666666,3
176_GDF-2,0.41333333333333333,2
103_ADM,0.38866666666666666,2
160_PRTN3,0.35733333333333334,2
107_PlGF,0.3333333333333333,2
CLM-6,0.32399999999999995,2
NTRK3,0.316,2
CLEC1B,0.3133333333333333,2
CLEC4C,0.312,2
CD6,0.312,2
110_OPG,0.30666666666666664,2
CXCL1,0.30066666666666664,2
FCAR,0.2986666666666667,2
102_LDL receptor,0.2973333333333334,2
IL-17C,0.2913333333333333,2
NRP2,0.284,2
CCL19,0.2826666666666667,2
TGF-alpha,0.2793333333333333,2
155_VSIG2,0.27466666666666667,2
CD302,0.27466666666666667,2
117_Gal-3,0.272,2
DDR1,0.2613333333333333,2
DFFA,0.24733333333333338,2
189_KLK6,0.23666666666666666,2
CLEC6A,0.21666666666666667,2
AOC1,0.20600000000000002,2
SIGLEC1,0.1713333333333333,2
IL5,0.32066666666666666,1
IL12RB1,0.3153333333333333,1
TRANCE,0.3146666666666667,1
FKBP7,0.3146666666666666,1
CD63,0.29866666666666664,1
ITGA11,0.29200000000000004,1
142_FS,0.2800000000000001,1
153_THBS2,0.2793333333333333,1
IKZF2,0.26866666666666666,1
DUSP3,0.2673333333333333,1
IL4,0.26666666666666666,1
ISLR2,0.26533333333333337,1
CLEC4D,0.2653333333333333,1
GZMA,0.25466666666666665,1
103_ITGB2,0.252,1
CD244,0.252,1
172_LPL,0.24866666666666667,1
NXPH1,0.246,1
CCL27,0.24533333333333332,1
KIR2DL3,0.23999999999999996,1
MAPT,0.23600000000000002,1
DCBLD2,0.22933333333333333,1
KLB,0.21799999999999997,1
151_MERTK,0.2126666666666667,1
166_CCL3,0.20600000000000002,1
LILRB4,0.19266666666666665,1
EPHA10,0.17866666666666667,1
LIF,0.178,1
170_SHPS-1,0.17666666666666667,1
160_IL16,0.1753333333333333,1
LAIR-2,0.17333333333333337,1
FGF-5,0.16266666666666665,1
TPPP3,0.15999999999999998,1
EDAR,0.15866666666666668,1
191_HSP 27,0.15733333333333335,1
106_SLAMF7,0.15399999999999997,1
HMOX2,0.152,1
SKR3,0.14666666666666667,1
IFN-gamma,0.14400000000000002,1
CDH15,0.14333333333333337,1
112_IL-1ra,0.13666666666666666,1
IL-10RA,0.13533333333333336,1
121_BLM hydrolase,0.13066666666666668,1
CXADR,0.12999999999999998,1
RSPO1,0.12866666666666668,1
IL15,0.12733333333333335,1
CLM-1,0.12666666666666668,1
IL32,0.12466666666666668,1
AKT1S1,0.1206666666666667,1
185_CTSL1,0.11600000000000002,1
ADA,0.10600000000000002,1
CDSN,0.10333333333333333,1
EDA2R,0.09866666666666667,1
CX3CL1,0.09400000000000001,1
IRF9,0.34400000000000003,0
109_Protein BOC,0.28333333333333327,0
IL-20,0.27866666666666673,0
CCL11.1,0.25666666666666665,0
114_CSTB,0.2546666666666667,0
169_IL-1RT2,0.24933333333333332,0
131_GIF,0.24533333333333335,0
IL-10RB,0.24399999999999997,0
NCAN,0.23666666666666666,0
KPNA1,0.2293333333333333,0
107_MMP-9,0.22733333333333336,0
LAMP3,0.22666666666666668,0
TNFRSF21,0.22533333333333333,0
FGF-23,0.22333333333333336,0
HAGH,0.22,0
156_MMP-2,0.21800000000000003,0
149_CCL22,0.21733333333333335,0
GDF-8,0.21466666666666664,0
CCL3,0.2106666666666666,0
116_CD163,0.20866666666666672,0
NTF4,0.20533333333333334,0
PLA2G10,0.202,0
PADI2,0.20066666666666666,0
141_GH,0.2,0
ARNT,0.19866666666666669,0
FGF-19,0.1953333333333333,0
122_TIE2,0.19399999999999998,0
NFATC3,0.1933333333333333,0
132_CCL24,0.19199999999999998,0
145_CHIT1,0.18866666666666662,0
105_IL-17RA,0.18666666666666665,0
129_FABP4,0.186,0
176_ST2,0.18599999999999997,0
GLB1,0.18533333333333335,0
ADAM 22,0.1846666666666667,0
138_CTRC,0.184,0
134_TNFRSF10C,0.17933333333333337,0
120_TRAIL-R2,0.17866666666666667,0
EIF5A,0.17466666666666666,0
CARHSP1,0.1726666666666667,0
IL3RA,0.17133333333333328,0
183_ACE2,0.16400000000000003,0
Flt3L,0.16266666666666665,0
188_TGM2,0.1606666666666667,0
VEGFA,0.15666666666666665,0
HSP90B1,0.156,0
131_PAI,0.15533333333333335,0
OPG,0.152,0
138_DLK-1,0.14933333333333335,0
HNMT,0.14733333333333337,0
174_CPB1,0.14733333333333334,0
SFRP1,0.14733333333333334,0
ECE1,0.14466666666666667,0
134_FGF-21,0.144,0
113_IL-6,0.142,0
178_SCGB3A2,0.1406666666666667,0
154_AXL,0.14066666666666666,0
SMOC1,0.13799999999999998,0
SCF,0.13733333333333336,0
IL-15RA,0.1373333333333333,0
TPSAB1,0.1366666666666667,0
183_COL1A1,0.13600000000000004,0
CLEC4A,0.13533333333333336,0
164_CTSD,0.13266666666666668,0
109_IL2-RA,0.132,0
CLEC4G,0.13066666666666668,0
ANXA10,0.13066666666666665,0
184_PON3,0.13,0
NT-3,0.13,0
152_Ep-CAM,0.12866666666666668,0
GBP2,0.12866666666666668,0
143_GLO1,0.12800000000000003,0
181_BNP,0.12733333333333335,0
IL-18R1,0.126,0
179_MARCO,0.12533333333333335,0
GALNT3,0.12533333333333335,0
CD28,0.12466666666666668,0
VSTM1,0.12466666666666666,0
CCL25,0.12400000000000003,0
GDNFR-alpha-3,0.12400000000000003,0
GPNMB,0.12400000000000001,0
4E-BP1,0.12399999999999999,0
156_AMBP,0.12266666666666669,0
CCL23,0.11933333333333335,0
IL-1 alpha,0.11933333333333333,0
CDH17,0.1186666666666667,0
CXCL9,0.11866666666666668,0
169_ITGB1BP2,0.11666666666666667,0
ING1,0.1146666666666667,0
174_AGRP,0.11466666666666668,0
GDNF.1,0.11066666666666668,0
sFRP-3,0.11000000000000003,0
190_PDGF subunit A,0.11000000000000001,0
136_RAGE,0.10933333333333335,0
194_VEGF-D,0.10733333333333336,0
AARSD1,0.10666666666666667,0
MCP-4,0.10600000000000001,0
SMOC2,0.10600000000000001,0
IFI30,0.10533333333333335,0
IFNL1,0.10466666666666669,0
TNFRSF9,0.10400000000000001,0
CCL28,0.10333333333333335,0
148_SERPINA12,0.10333333333333333,0
GM-CSF-R-alpha,0.10266666666666668,0
CD38,0.10266666666666667,0
CPM,0.10200000000000002,0
PSME1,0.10200000000000001,0
TN-R,0.10133333333333334,0
177_t-PA,0.10133333333333333,0
CXCL6,0.10133333333333333,0
GGT5,0.10133333333333333,0
RGMA,0.10133333333333333,0
123_LTBR,0.10000000000000002,0
168_IgG Fc receptor II-b,0.10000000000000002,0
FcRL2,0.09933333333333334,0
CEACAM3,0.09933333333333333,0
MCP-2,0.09866666666666668,0
142_IL-6RA,0.09866666666666667,0
G-CSF,0.09866666666666667,0
164_PSGL-1,0.09800000000000002,0
ADAM15,0.09800000000000002,0
NBL1,0.09466666666666669,0
140_MPO,0.09466666666666668,0
161_PCSK9,0.09466666666666668,0
126_IL27,0.09400000000000001,0
Beta-NGF,0.09400000000000001,0
N2DL-2,0.09333333333333335,0
152_TIM,0.09333333333333334,0
127_CDH5,0.09266666666666667,0
COL4A3BP,0.09266666666666667,0
150_PSP-D,0.09133333333333335,0
LAP TGF-beta-1,0.09133333333333334,0
FLRT2,0.09133333333333334,0
108_ADAM-TS13,0.09066666666666669,0
124_IL1RL2,0.08866666666666667,0
128_CXCL1,0.08866666666666667,0
TNF,0.08800000000000002,0
TNFRSF12A,0.08800000000000001,0
158_MB,0.0866666666666667,0
PRTG,0.08666666666666667,0
187_TNFRSF13B,0.08600000000000002,0
CXCL11,0.08600000000000002,0
101_TNFRSF14,0.08600000000000001,0
GSTP1,0.08600000000000001,0
MASP1,0.086,0
PHOSPHO1,0.08466666666666668,0
N-CDase,0.08466666666666668,0
MMP-10,0.08466666666666667,0
133_TR,0.08400000000000002,0
IL7,0.08400000000000002,0
IL13,0.08333333333333333,0
TDGF1,0.08266666666666668,0
CLEC10A,0.08200000000000002,0
118_PAR-1,0.08133333333333334,0
149_REN,0.08133333333333334,0
CLEC7A,0.08066666666666666,0
DGKZ,0.08000000000000002,0
FGFR2,0.08,0
CADM3,0.08,0
CD33,0.07933333333333333,0
RNF31,0.07933333333333333,0
GDNF,0.07866666666666668,0
SRP14,0.07800000000000001,0
CPA2,0.07666666666666667,0
115_MCP-1,0.07533333333333334,0
135_PIgR,0.07533333333333334,0
PLXNB1,0.07466666666666669,0
TRIM21,0.07400000000000001,0
KLRD1,0.07200000000000001,0
IL5.1,0.07200000000000001,0
CLSTN1,0.07133333333333335,0
MMP-1,0.07066666666666668,0
132_SCF,0.07066666666666667,0
JUN,0.07066666666666667,0
MILR1,0.07,0
130_TFPI,0.06933333333333334,0
MGMT,0.068,0
124_Notch 3,0.06666666666666667,0
PD-L1,0.06666666666666667,0
173_uPA,0.066,0
BMP-4,0.06533333333333334,0
IL-24,0.06533333333333333,0
CXCL10,0.06533333333333333,0
182_MMP-12,0.06466666666666668,0
190_CA5A,0.06400000000000002,0
TSLP,0.064,0
CETN2,0.06266666666666668,0
PFDN2,0.06266666666666668,0
FCRL6,0.06200000000000001,0
Beta-NGF.1,0.06199999999999999,0
ITM2A,0.061333333333333344,0
JAM-B,0.06133333333333334,0
