feature,stability_frequency,rf_importance
162_U-PAR,1.0,0.07264325290436828
BTN3A2,0.68,0.05413691206092049
NAAA,0.91,0.05176559652641704
143_RETN,0.83,0.03495823739263444
MCP-3,0.86,0.034684526551972544
179_EGFR,0.85,0.03395125048363371
167_MMP-7,0.64,0.03343028847954153
IL-5R-alpha,0.94,0.03338188029951559
BCAN,0.97,0.030145040893045965
177_FABP2,1.0,0.027753486190940244
PSG1,1.0,0.026034559479816637
140_SPON2,0.63,0.025956541533146023
CST5,0.77,0.02555821453906583
185_CTSZ,0.68,0.025260066694040968
186_MMP-3,0.84,0.023950182350199963
CD200R1,0.78,0.02381206029931134
LAG3,0.94,0.0238031999143323
116_IDUA,0.71,0.023720283211263113
WFIKKN1,0.73,0.022211218359341065
159_XCL1,0.79,0.021665971114742437
CD83,0.96,0.021322583027225783
CTF1,0.69,0.021167357730694943
DSG3,0.98,0.021020874130354167
170_DCN,0.67,0.020434779559252332
188_ICAM-2,0.93,0.01873475798033974
148_TR-AP,0.85,0.01865578597493056
RPS6KB1,0.76,0.01832640644847982
CCL20,0.71,0.018058233393870533
SH2D1A,1.0,0.017847259523626244
CXCL12,0.78,0.01755043335128717
IL10,0.69,0.017058056302684466
TNFRSF13C,0.72,0.01676999619839541
LY75,0.67,0.014454902214354871
DEFB4A,0.62,0.014120252600421485
ITGB6,0.71,0.013800518394594674
IL10.1,0.72,0.012913122197334198
157_PRELP,0.74,0.012874107942883649
IL-20RA,0.81,0.011485415724857766
175_CHI3L1,0.77,0.01118282407509628
Alpha-2-MRAP,0.75,0.010588211888581328
Nr-CAM,0.73,0.009728506637574328
NRTN,0.76,0.0038535517720912718
ARTN,0.64,0.003847436310332926
IL33,0.69,0.003045935275331279
IL-2RB,0.66,0.001897559439566452
IL-22 RA1,0.79,0.00043836262758888
