threshold,n,n_positive,roc_auc,average_precision,brier_score,balanced_accuracy,accuracy,precision,recall,sensitivity,specificity,f1,confusion_matrix,fold,best_params,inner_best_score,n_selected_features,train_brier,val_brier
0.5,19,9,0.7,0.6964692714692715,0.21344619883040936,0.6222222222222222,0.631578947368421,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.8,0.5333333333333333,"{'tn': 8, 'fp': 2, 'fn': 5, 'tp': 4}",0,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8607142857142858,43,0.023049185185185186,0.21344619883040936
0.5,19,9,0.6888888888888889,0.7768768326043869,0.2321543252830235,0.5833333333333333,0.5789473684210527,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.5,0.6,"{'tn': 5, 'fp': 5, 'fn': 3, 'tp': 6}",1,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.85,37,0.02592734912449388,0.2321543252830235
0.5,19,10,0.6555555555555556,0.647578940667176,0.2328461988304094,0.6277777777777778,0.631578947368421,0.6363636363636364,0.7,0.7,0.5555555555555556,0.6666666666666666,"{'tn': 5, 'fp': 4, 'fn': 3, 'tp': 7}",2,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8892857142857142,46,0.02217674074074074,0.2328461988304094
0.5,19,10,0.8333333333333334,0.89,0.18786129386505657,0.7333333333333334,0.7368421052631579,0.7272727272727273,0.8,0.8,0.6666666666666666,0.7619047619047619,"{'tn': 6, 'fp': 3, 'fn': 2, 'tp': 8}",3,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.875,40,0.03194459328342679,0.18786129386505657
0.5,18,9,0.7407407407407407,0.793655980910883,0.20578638079053585,0.7222222222222222,0.7222222222222222,0.7,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7368421052631579,"{'tn': 6, 'fp': 3, 'fn': 2, 'tp': 7}",4,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.8620535714285713,42,0.05267590366469057,0.20578638079053585
0.5,19,9,0.8,0.8025030525030525,0.18149649122807016,0.7388888888888889,0.7368421052631579,0.7,0.7777777777777778,0.7777777777777778,0.7,0.7368421052631579,"{'tn': 7, 'fp': 3, 'fn': 2, 'tp': 7}",5,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8642857142857142,39,0.024081037037037036,0.18149649122807016
0.5,19,9,0.7111111111111111,0.7630698005698007,0.21323333333333336,0.7277777777777779,0.7368421052631579,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.9,0.6666666666666666,"{'tn': 9, 'fp': 1, 'fn': 4, 'tp': 5}",6,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.875,42,0.021850666666666668,0.21323333333333336
0.5,19,10,0.611111111111111,0.7596012759170654,0.25144308788507197,0.5277777777777778,0.5263157894736842,0.5555555555555556,0.5,0.5,0.5555555555555556,0.5263157894736842,"{'tn': 5, 'fp': 4, 'fn': 5, 'tp': 5}",7,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.9142857142857143,32,0.05075394540158551,0.25144308788507197
0.5,19,10,0.588888888888889,0.7311499559951572,0.2463326591639298,0.5222222222222221,0.5263157894736842,0.5454545454545454,0.6,0.6,0.4444444444444444,0.5714285714285714,"{'tn': 4, 'fp': 5, 'fn': 4, 'tp': 6}",8,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.9,41,0.05551315711751712,0.2463326591639298
0.5,18,9,0.6728395061728395,0.7755549461431814,0.20489012345679009,0.7222222222222222,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.8888888888888888,0.6666666666666666,"{'tn': 8, 'fp': 1, 'fn': 4, 'tp': 5}",9,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8901785714285715,41,0.023066228070175436,0.20489012345679009
0.5,19,9,0.7444444444444445,0.776935047523283,0.20081584925221985,0.7333333333333334,0.7368421052631579,0.75,0.6666666666666666,0.6666666666666666,0.8,0.7058823529411765,"{'tn': 8, 'fp': 2, 'fn': 3, 'tp': 6}",10,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.85,41,0.03000881118858631,0.20081584925221985
0.5,19,9,0.5777777777777777,0.6603476283300844,0.2607054796951508,0.5333333333333333,0.5263157894736842,0.5,0.6666666666666666,0.6666666666666666,0.4,0.5714285714285714,"{'tn': 4, 'fp': 6, 'fn': 3, 'tp': 6}",11,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",0.8857142857142858,38,0.047326563672878755,0.2607054796951508
0.5,19,10,0.6666666666666667,0.7406131806789701,0.23586361326353794,0.6777777777777778,0.6842105263157895,0.6666666666666666,0.8,0.8,0.5555555555555556,0.7272727272727273,"{'tn': 5, 'fp': 4, 'fn': 2, 'tp': 8}",12,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8785714285714287,42,0.02757338354982368,0.23586361326353794
0.5,19,10,0.7222222222222222,0.7764194139194138,0.21680147262695804,0.5888888888888889,0.5789473684210527,0.6666666666666666,0.4,0.4,0.7777777777777778,0.5,"{'tn': 7, 'fp': 2, 'fn': 6, 'tp': 4}",13,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.8714285714285713,37,0.02698310316013488,0.21680147262695804
