n_features,fold,roc_auc,average_precision,balanced_accuracy,accuracy,f1,precision,recall,sensitivity,specificity,brier_score
1,0,0.8011363636363636,0.8680476089567,0.7045454545454546,0.7368421052631579,0.8,0.7142857142857143,0.9090909090909091,0.9090909090909091,0.5,0.16782689817234428
1,1,0.5511363636363636,0.7521640725975092,0.6647727272727273,0.631578947368421,0.5882352941176471,0.8333333333333334,0.45454545454545453,0.45454545454545453,0.875,0.278892035817387
1,2,0.46022727272727276,0.6074194670451355,0.5965909090909092,0.631578947368421,0.72,0.6428571428571429,0.8181818181818182,0.8181818181818182,0.375,0.30452632573954036
1,3,0.75,0.8581454425204426,0.6904761904761905,0.6842105263157895,0.7272727272727273,0.8,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.22047416048411536
1,4,0.8181818181818182,0.9081168831168831,0.8376623376623377,0.8333333333333334,0.8571428571428571,0.9,0.8181818181818182,0.8181818181818182,0.8571428571428571,0.17234645078043054
1,5,0.8409090909090909,0.8844797878888788,0.7556818181818181,0.7368421052631579,0.7368421052631579,0.875,0.6363636363636364,0.6363636363636364,0.875,0.1873784163485903
1,6,0.5965909090909091,0.7511125097812404,0.4602272727272727,0.47368421052631576,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.375,0.3588350877192983
1,7,0.7556818181818181,0.7938615677252041,0.6136363636363636,0.631578947368421,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.5,0.24634912280701757
1,8,0.755952380952381,0.872739045010717,0.6785714285714286,0.631578947368421,0.631578947368421,0.8571428571428571,0.5,0.5,0.8571428571428571,0.22473338405789875
1,9,0.6363636363636364,0.7832415356479527,0.487012987012987,0.5,0.5714285714285714,0.6,0.5454545454545454,0.5454545454545454,0.42857142857142855,0.27129396131095584
1,10,0.7272727272727273,0.81424774056353,0.7386363636363636,0.7368421052631579,0.7619047619047619,0.8,0.7272727272727273,0.7272727272727273,0.75,0.21261234575632856
1,11,0.6988636363636364,0.8140312903470799,0.7386363636363636,0.7368421052631579,0.7619047619047619,0.8,0.7272727272727273,0.7272727272727273,0.75,0.21387162288433217
1,12,0.7897727272727273,0.8852656115814012,0.6761363636363636,0.6842105263157895,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.625,0.1792849282349735
1,13,0.738095238095238,0.8643713040771865,0.6607142857142857,0.6842105263157895,0.75,0.75,0.75,0.75,0.5714285714285714,0.22228844235949388
1,14,0.7012987012987013,0.8073346142864859,0.6298701298701299,0.6111111111111112,0.631578947368421,0.75,0.5454545454545454,0.5454545454545454,0.7142857142857143,0.24429674470043747
2,0,0.8295454545454546,0.8886724386724387,0.6761363636363636,0.6842105263157895,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.625,0.17540991049685714
2,1,0.7954545454545454,0.8284632034632036,0.7386363636363636,0.7368421052631579,0.7619047619047619,0.8,0.7272727272727273,0.7272727272727273,0.75,0.19209742147567754
2,2,0.7045454545454546,0.7665888404524769,0.5965909090909092,0.631578947368421,0.72,0.6428571428571429,0.8181818181818182,0.8181818181818182,0.375,0.20820337998583338
2,3,0.8452380952380952,0.9057250619750621,0.7321428571428572,0.7368421052631579,0.782608695652174,0.8181818181818182,0.75,0.75,0.7142857142857143,0.1594453055511562
2,4,0.8181818181818181,0.8958942572578936,0.7402597402597402,0.7777777777777778,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.9090909090909091,0.5714285714285714,0.16442822133772458
2,5,0.7954545454545454,0.7839150748241658,0.8295454545454546,0.8421052631578947,0.8695652173913043,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.75,0.1631856117357601
2,6,0.8409090909090908,0.8721254755345664,0.7840909090909092,0.7894736842105263,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.75,0.15249173182916836
2,7,0.8295454545454546,0.8825937950937952,0.7215909090909092,0.7368421052631579,0.782608695652174,0.75,0.8181818181818182,0.8181818181818182,0.625,0.15525735566642068
2,8,0.7619047619047619,0.856851481851482,0.5773809523809523,0.5789473684210527,0.6363636363636364,0.7,0.5833333333333334,0.5833333333333334,0.5714285714285714,0.16942530586361326
2,9,0.7402597402597402,0.802207388571025,0.6948051948051948,0.7222222222222222,0.782608695652174,0.75,0.8181818181818182,0.8181818181818182,0.5714285714285714,0.18222321533346733
2,10,0.7045454545454546,0.7293191656828021,0.7215909090909092,0.7368421052631579,0.782608695652174,0.75,0.8181818181818182,0.8181818181818182,0.625,0.21240169171528447
2,11,0.7954545454545454,0.7839150748241658,0.7840909090909092,0.7894736842105263,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.75,0.1721205711108503
2,12,0.7727272727272727,0.853217489581126,0.7670454545454546,0.7894736842105263,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.9090909090909091,0.625,0.18698258142937543
