feature,stability_frequency,rf_importance
135_GDF-15,0.97,0.0610260470620978
CKAP4,0.86,0.0609295338361029
162_U-PAR,0.85,0.0549606391919622
179_EGFR,0.98,0.0509501827435793
114_CSTB,0.77,0.0486038922080244
ATP6V1F,0.99,0.0420761454573387
IFI30,0.83,0.0414967763080521
BCAN,0.98,0.0323591457214423
107_PlGF,0.81,0.0312335696442072
177_FABP2,1.0,0.025703773257646
159_XCL1,0.87,0.0236895153641202
139_FGF-23,0.68,0.02277357234781
FLRT2,0.61,0.0224775913192621
NRP2,0.66,0.0195280214968822
PSG1,0.97,0.0190354986993069
116_IDUA,0.93,0.0184185168428203
ANXA10,0.77,0.0174989623164325
CD200R1,0.83,0.0173992267579163
TNFRSF13C,0.67,0.0172071578009992
RPS6KB1,0.93,0.0170116323055052
167_MMP-7,0.71,0.0169964539836985
IL-10RB,0.61,0.01675442455465
Alpha-2-MRAP,0.95,0.0162937467867177
140_SPON2,0.68,0.0162758613038545
IL10,0.81,0.0160987620721627
IL-17C,0.73,0.0160715645980817
DPEP1,0.69,0.0159098086499571
WFIKKN1,0.77,0.015017163452656
169_IL-1RT2,0.83,0.0142585328188382
DFFA,0.61,0.0133539968519491
138_DLK-1,0.65,0.0133289974728836
148_TR-AP,0.82,0.0132980046443677
134_TNFRSF10C,0.61,0.0127924382315392
186_MMP-3,0.77,0.012683035353263
145_PAPPA,0.84,0.0126781822402724
CD83,0.79,0.012658596349438
IL-20RA,0.98,0.0118792272994019
IL10.1,0.72,0.0118385513119396
CCL20,0.64,0.0111949637169169
DEFB4A,0.69,0.0109654031391156
CXCL12,0.89,0.0109318365720556
CDH17,0.77,0.0105557438191134
PTS,0.86,0.0105547373402627
NTRK3,0.68,0.0102362207065597
149_CCL22,0.76,0.0100076066769026
DSG3,0.89,0.0075640199044671
IL5,0.79,0.0063946368886947
FCAR,0.66,0.0048231379426749
NRTN,0.79,0.0042049446360557
